# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.3833040259189
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.004288077
# ISS.sample_y_position: -0.63095138
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:07:00
# Scan.end_time: 02/22/2022  16:07:24
# Scan.duration: 00:24
# Scan.transient_id: 197197
# Scan.uid: 415a5c24-a7d9-4fca-9572-fa1f506d66ac
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.612256e-05 -2.690040e-06 -4.197080e-07 -4.093428e-09 -1.356754e-04 -1.112120e-04 -2.561938e-05 -7.665262e-05
 7614.000000 -2.374130e-05 -3.975561e-06 -6.213115e-07 -6.037605e-09 -2.090068e-04 -1.700992e-04 -4.715740e-05 -1.136017e-04
 7619.000000 -2.391058e-05 -4.024112e-06 -6.303475e-07 -6.106805e-09 -2.101210e-04 -1.644870e-04 -4.154720e-05 -1.045965e-04
 7624.000000 -2.387571e-05 -4.037219e-06 -6.337419e-07 -6.119394e-09 -2.014624e-04 -1.672087e-04 -3.069223e-05 -9.902519e-05
 7629.000000 -2.400891e-05 -4.078472e-06 -6.414120e-07 -6.169434e-09 -2.023407e-04 -1.833746e-04 -3.906419e-05 -1.028473e-04
 7634.000000 -2.405224e-05 -4.104001e-06 -6.466838e-07 -6.209494e-09 -1.988216e-04 -1.819189e-04 -4.176687e-05 -1.034092e-04
 7639.000000 -2.401288e-05 -4.114925e-06 -6.496458e-07 -6.220863e-09 -1.892081e-04 -1.891468e-04 -4.000992e-05 -1.162480e-04
 7644.000000 -2.415924e-05 -4.160709e-06 -6.580296e-07 -6.278932e-09 -1.929995e-04 -1.872089e-04 -4.769877e-05 -1.398526e-04
 7649.000000 -2.423214e-05 -4.192888e-06 -6.644255e-07 -6.331773e-09 -1.881062e-04 -1.712550e-04 -4.292832e-05 -1.449317e-04
 7654.000000 -2.419464e-05 -4.204528e-06 -6.674952e-07 -6.350521e-09 -1.924433e-04 -1.771073e-04 -4.407593e-05 -1.493753e-04
 7659.000000 -2.427376e-05 -4.236979e-06 -6.737836e-07 -6.383105e-09 -1.873457e-04 -1.709660e-04 -4.487139e-05 -1.558214e-04
 7664.000000 -2.433482e-05 -4.266624e-06 -6.796365e-07 -6.429883e-09 -1.869609e-04 -1.677410e-04 -4.585961e-05 -1.478693e-04
 7669.000000 -2.443481e-05 -4.303255e-06 -6.865670e-07 -6.484139e-09 -1.855508e-04 -1.707675e-04 -3.861542e-05 -1.514370e-04
 7674.000000 -2.445553e-05 -4.325584e-06 -6.910898e-07 -6.515396e-09 -1.861703e-04 -1.779692e-04 -4.716287e-05 -1.349247e-04
 7679.000000 -2.445585e-05 -4.345034e-06 -6.950935e-07 -6.550199e-09 -1.889646e-04 -1.687313e-04 -6.091969e-05 -1.252595e-04
