# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4221312951203
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.004097342
# ISS.sample_y_position: -0.631485438
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:23:56
# Scan.end_time: 02/22/2022  16:24:20
# Scan.duration: 00:23
# Scan.transient_id: 197227
# Scan.uid: 853b8533-c605-4a95-a76c-172deab07eda
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.286476e-06 -3.810983e-07 -2.955126e-08 -8.358551e-11 -1.377213e-04 -1.238903e-04 -3.130883e-05 -7.049999e-05
 6444.000000 -1.258119e-05 -5.822334e-07 -4.529089e-08 -1.268171e-10 -2.045011e-04 -1.819127e-04 -4.003568e-05 -9.926284e-05
 6449.000000 -1.265391e-05 -5.909017e-07 -4.614322e-08 -1.300431e-10 -1.983620e-04 -1.867685e-04 -4.184396e-05 -9.259949e-05
 6454.000000 -1.265822e-05 -5.961340e-07 -4.676385e-08 -1.317012e-10 -2.043679e-04 -1.814117e-04 -3.590090e-05 -9.866627e-05
 6459.000000 -1.276385e-05 -6.060485e-07 -4.769846e-08 -1.393041e-10 -1.996554e-04 -1.840899e-04 -3.513307e-05 -9.852126e-05
 6464.000000 -1.282666e-05 -6.137629e-07 -4.850414e-08 -1.386292e-10 -2.017463e-04 -1.845757e-04 -3.492637e-05 -9.869800e-05
 6469.000000 -1.284226e-05 -6.196922e-07 -4.922038e-08 -1.466058e-10 -2.073642e-04 -1.810139e-04 -3.114792e-05 -1.002287e-04
 6474.000000 -1.293296e-05 -6.292947e-07 -5.013307e-08 -1.494506e-10 -2.002306e-04 -1.802784e-04 -4.663772e-05 -1.033179e-04
 6479.000000 -1.301164e-05 -6.381054e-07 -5.099676e-08 -1.495315e-10 -2.025864e-04 -1.880512e-04 -5.386661e-05 -1.023891e-04
 6484.000000 -1.308757e-05 -6.470010e-07 -5.187889e-08 -1.554054e-10 -2.038615e-04 -1.906685e-04 -5.730854e-05 -1.065113e-04
 6489.000000 -1.316382e-05 -6.555784e-07 -5.279700e-08 -1.582087e-10 -2.056736e-04 -1.871556e-04 -5.783003e-05 -1.048654e-04
 6494.000000 -1.320666e-05 -6.624066e-07 -5.357713e-08 -1.600916e-10 -2.073098e-04 -1.965944e-04 -5.286760e-05 -1.044649e-04
 6499.000000 -1.326112e-05 -6.705903e-07 -5.443076e-08 -1.643648e-10 -2.137298e-04 -1.984701e-04 -5.172090e-05 -1.120804e-04
 6504.000000 -1.330689e-05 -6.781263e-07 -5.531219e-08 -1.683783e-10 -2.139606e-04 -1.930324e-04 -3.606752e-05 -1.044624e-04
 6509.000000 -1.330794e-05 -6.846630e-07 -5.605000e-08 -1.735244e-10 -2.118917e-04 -1.914692e-04 -3.284988e-05 -1.011351e-04
 6513.000000 -1.325286e-05 -6.870813e-07 -5.641751e-08 -1.748330e-10 -2.120850e-04 -1.984634e-04 -3.686800e-05 -1.082423e-04
 6516.000000 -1.338628e-05 -6.981766e-07 -5.746209e-08 -1.763433e-10 -2.130372e-04 -1.982938e-04 -3.919920e-05 -1.049554e-04
 6518.000000 -1.342133e-05 -7.020424e-07 -5.790762e-08 -1.787036e-10 -2.174265e-04 -2.041920e-04 -4.727839e-05 -1.079605e-04
 6519.000000 -1.343093e-05 -7.036242e-07 -5.805929e-08 -1.824637e-10 -2.151040e-04 -2.097536e-04 -5.907858e-05 -1.047686e-04
 6519.200000 -1.342737e-05 -7.036581e-07 -5.804638e-08 -1.837760e-10 -2.228797e-04 -2.029565e-04 -6.502884e-05 -1.062079e-04
 6519.400000 -1.344191e-05 -7.048263e-07 -5.812404e-08 -1.819501e-10 -2.141740e-04 -1.995413e-04 -5.326857e-05 -9.084654e-05
 6519.600000 -1.343185e-05 -7.040467e-07 -5.811235e-08 -1.880915e-10 -2.113937e-04 -2.054180e-04 -4.871373e-05 -8.689031e-05
 6519.800000 -1.342727e-05 -7.053442e-07 -5.822565e-08 -1.857312e-10 -2.130899e-04 -2.037859e-04 -3.951911e-05 -7.932422e-05
 6520.000000 -1.343448e-05 -7.049231e-07 -5.828044e-08 -1.891546e-10 -2.159975e-04 -2.033345e-04 -4.201130e-05 -8.419045e-05
 6520.200000 -1.344699e-05 -7.056513e-07 -5.831503e-08 -1.816891e-10 -2.101127e-04 -1.963796e-04 -4.086901e-05 -9.449656e-05
 6520.400000 -1.344723e-05 -7.060441e-07 -5.839354e-08 -1.778849e-10 -2.071608e-04 -1.920982e-04 -3.998131e-05 -8.581917e-05
 6520.600000 -1.342765e-05 -7.053719e-07 -5.827939e-08 -1.659254e-10 -2.111598e-04 -1.880775e-04 -3.578748e-05 -8.348908e-05
 6520.800000 -1.343893e-05 -7.056245e-07 -5.831827e-08 -1.755671e-10 -2.091692e-04 -1.817537e-04 -3.293401e-05 -8.432396e-05
 6521.000000 -1.344460e-05 -7.054975e-07 -5.843844e-08 -1.882560e-10 -2.128701e-04 -1.856824e-04 -4.431369e-05 -8.898946e-05
 6521.200000 -1.343936e-05 -7.049596e-07 -5.841653e-08 -1.864812e-10 -2.149739e-04 -1.919325e-04 -4.370903e-05 -9.245505e-05
 6521.400000 -1.341963e-05 -7.048179e-07 -5.843823e-08 -1.718940e-10 -2.222023e-04 -1.900262e-04 -2.799965e-05 -8.868649e-05
 6521.600000 -1.341898e-05 -7.049013e-07 -5.842649e-08 -1.915708e-10 -2.152684e-04 -1.912702e-04 -2.748450e-05 -9.267597e-05
 6521.800000 -1.343149e-05 -7.066533e-07 -5.849557e-08 -1.903254e-10 -2.141753e-04 -1.853886e-04 -3.915974e-05 -1.011504e-04
 6522.000000 -1.344709e-05 -7.072841e-07 -5.851178e-08 -1.847366e-10 -2.250292e-04 -2.015141e-04 -3.839760e-05 -9.487048e-05
 6522.200000 -1.342812e-05 -7.075384e-07 -5.847790e-08 -1.832251e-10 -2.179129e-04 -2.098386e-04 -4.089093e-05 -8.285766e-05
 6522.400000 -1.343027e-05 -7.069201e-07 -5.852047e-08 -1.839680e-10 -2.147154e-04 -2.038655e-04 -3.413200e-05 -8.613319e-05
 6522.600000 -1.344119e-05 -7.075429e-07 -5.860075e-08 -1.785543e-10 -2.220453e-04 -1.931005e-04 -3.953138e-05 -9.099904e-05
 6522.800000 -1.344062e-05 -7.079464e-07 -5.865772e-08 -1.722957e-10 -2.215123e-04 -1.850738e-04 -4.026648e-05 -8.457383e-05
 6523.000000 -1.341887e-05 -7.071310e-07 -5.855529e-08 -1.796225e-10 -2.174731e-04 -1.923581e-04 -4.285943e-05 -8.115053e-05
 6523.200000 -1.344607e-05 -7.087491e-07 -5.873665e-08 -1.779474e-10 -2.220897e-04 -1.913107e-04 -5.343963e-05 -8.964844e-05
 6523.400000 -1.346259e-05 -7.107196e-07 -5.901691e-08 -1.820353e-10 -2.150229e-04 -1.936455e-04 -3.904437e-05 -8.699477e-05
 6523.600000 -1.346832e-05 -7.114132e-07 -5.899352e-08 -1.778374e-10 -2.151738e-04 -1.810969e-04 -4.122108e-05 -7.938252e-05
 6523.800000 -1.346218e-05 -7.113825e-07 -5.884105e-08 -1.717193e-10 -2.102121e-04 -1.762807e-04 -4.431233e-05 -8.251011e-05
 6524.000000 -1.346490e-05 -7.116688e-07 -5.896728e-08 -1.799770e-10 -2.071286e-04 -1.774776e-04 -4.647129e-05 -8.090527e-05
 6524.200000 -1.346923e-05 -7.119780e-07 -5.892472e-08 -1.815721e-10 -2.245332e-04 -1.807124e-04 -3.808236e-05 -8.101939e-05
 6524.400000 -1.348229e-05 -7.130884e-07 -5.921650e-08 -1.836722e-10 -2.249135e-04 -1.868047e-04 -3.468596e-05 -8.715320e-05
 6524.600000 -1.348144e-05 -7.122081e-07 -5.897611e-08 -1.853485e-10 -2.245829e-04 -1.954396e-04 -3.684976e-05 -7.988375e-05
 6524.800000 -1.348268e-05 -7.125231e-07 -5.900897e-08 -1.815116e-10 -2.139224e-04 -1.879287e-04 -3.926291e-05 -8.328191e-05
