# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1525226454006
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.004707694
# ISS.sample_y_position: -0.6315808055
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:50:14
# Scan.end_time: 02/22/2022  15:50:39
# Scan.duration: 00:25
# Scan.transient_id: 197167
# Scan.uid: ab3fd087-d570-42a2-858a-7f8631ed7df5
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.923154e-05 -4.747392e-06 -2.890994e-07 -1.777977e-08 -1.403965e-04 -1.360822e-04 -2.561039e-05 -1.145352e-04
 8238.000000 -2.755916e-05 -6.821635e-06 -4.158962e-07 -2.556703e-08 -2.019972e-04 -1.942791e-04 -3.272554e-05 -1.567326e-04
 8243.000000 -2.770409e-05 -6.881480e-06 -4.199718e-07 -2.580882e-08 -1.962546e-04 -1.912767e-04 -3.924104e-05 -1.561287e-04
 8248.000000 -2.774159e-05 -6.914451e-06 -4.221489e-07 -2.596767e-08 -1.920990e-04 -1.918813e-04 -4.345470e-05 -1.637762e-04
 8253.000000 -2.767325e-05 -6.922928e-06 -4.226689e-07 -2.600624e-08 -1.816941e-04 -1.957507e-04 -4.423689e-05 -1.729756e-04
 8258.000000 -2.760248e-05 -6.932056e-06 -4.232846e-07 -2.605688e-08 -1.918812e-04 -1.927554e-04 -4.862821e-05 -1.572195e-04
 8263.000000 -2.775135e-05 -6.994406e-06 -4.274104e-07 -2.632029e-08 -1.976734e-04 -1.828220e-04 -4.204948e-05 -1.559923e-04
 8268.000000 -2.766293e-05 -6.996067e-06 -4.283216e-07 -2.637430e-08 -1.969969e-04 -1.787673e-04 -3.599930e-05 -1.569353e-04
 8273.000000 -2.767397e-05 -7.022068e-06 -4.315120e-07 -2.655001e-08 -1.988919e-04 -1.801094e-04 -2.813415e-05 -1.495177e-04
 8278.000000 -2.779395e-05 -7.075518e-06 -4.369922e-07 -2.685107e-08 -1.999950e-04 -1.884734e-04 -3.802262e-05 -1.553734e-04
 8283.000000 -2.782303e-05 -7.105946e-06 -4.412803e-07 -2.705797e-08 -1.997163e-04 -1.866156e-04 -4.275451e-05 -1.555813e-04
 8288.000000 -2.787289e-05 -7.140643e-06 -4.458255e-07 -2.737044e-08 -2.035951e-04 -1.803323e-04 -4.420290e-05 -1.509666e-04
 8293.000000 -2.782031e-05 -7.147474e-06 -4.484922e-07 -2.760497e-08 -2.050477e-04 -1.779774e-04 -3.838893e-05 -1.579112e-04
 8298.000000 -2.781165e-05 -7.163271e-06 -4.517395e-07 -2.794487e-08 -2.057419e-04 -1.768755e-04 -3.123490e-05 -1.608217e-04
 8303.000000 -2.785184e-05 -7.189710e-06 -4.555391e-07 -2.840020e-08 -2.146907e-04 -1.808761e-04 -3.020613e-05 -1.648970e-04
 8307.000000 -2.791401e-05 -7.216942e-06 -4.587672e-07 -2.888185e-08 -2.149110e-04 -1.875082e-04 -4.592812e-05 -1.629614e-04
 8310.000000 -2.783809e-05 -7.204783e-06 -4.591133e-07 -2.918018e-08 -2.060173e-04 -1.883035e-04 -4.634909e-05 -1.585800e-04
 8312.000000 -2.774444e-05 -7.186348e-06 -4.586917e-07 -2.937588e-08 -1.988585e-04 -1.869973e-04 -5.969586e-05 -1.611170e-04
 8313.000000 -2.787302e-05 -7.220989e-06 -4.612626e-07 -2.966246e-08 -1.991827e-04 -1.731469e-04 -5.286173e-05 -1.779110e-04
 8313.200000 -2.790514e-05 -7.229573e-06 -4.617593e-07 -2.972875e-08 -2.025665e-04 -1.726911e-04 -6.260968e-05 -1.804787e-04
 8313.400000 -2.786904e-05 -7.220090e-06 -4.612080e-07 -2.974061e-08 -2.079595e-04 -1.686632e-04 -6.586411e-05 -1.758759e-04
 8313.600000 -2.785353e-05 -7.218483e-06 -4.612285e-07 -2.975727e-08 -2.089876e-04 -1.713935e-04 -6.732877e-05 -1.622276e-04
 8313.800000 -2.786507e-05 -7.220903e-06 -4.616615e-07 -2.980021e-08 -2.067029e-04 -1.735317e-04 -7.693667e-05 -1.599367e-04
 8314.000000 -2.777149e-05 -7.195659e-06 -4.601212e-07 -2.973836e-08 -2.155553e-04 -1.764358e-04 -6.748695e-05 -1.558654e-04
