# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0246242592042
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.007263543
# ISS.sample_y_position: -0.632973171
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:07:32
# Scan.end_time: 02/22/2022  16:07:58
# Scan.duration: 00:26
# Scan.transient_id: 197198
# Scan.uid: 5646550d-f7cf-4a24-8504-422aff4f90c0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.611305e-05 -2.687888e-06 -4.195594e-07 -4.082033e-09 -1.454036e-04 -1.262802e-04 -4.058376e-05 -9.357931e-05
 7614.000000 -2.380114e-05 -3.987495e-06 -6.236419e-07 -6.046326e-09 -2.082546e-04 -1.802655e-04 -5.982459e-05 -1.397878e-04
 7619.000000 -2.384801e-05 -4.013708e-06 -6.290909e-07 -6.079750e-09 -2.124700e-04 -1.827526e-04 -6.565288e-05 -1.424816e-04
 7624.000000 -2.397644e-05 -4.053562e-06 -6.365526e-07 -6.133957e-09 -2.063781e-04 -1.884331e-04 -7.058335e-05 -1.375507e-04
 7629.000000 -2.402713e-05 -4.080345e-06 -6.419992e-07 -6.171340e-09 -2.057776e-04 -1.976957e-04 -6.443136e-05 -1.384501e-04
 7634.000000 -2.411388e-05 -4.113943e-06 -6.485532e-07 -6.217831e-09 -2.135268e-04 -1.994844e-04 -7.143316e-05 -1.456655e-04
 7639.000000 -2.404263e-05 -4.119925e-06 -6.506803e-07 -6.220842e-09 -2.109817e-04 -1.923089e-04 -7.198690e-05 -1.503073e-04
 7644.000000 -2.410225e-05 -4.148590e-06 -6.564169e-07 -6.261387e-09 -2.062101e-04 -1.897351e-04 -6.817964e-05 -1.452527e-04
 7649.000000 -2.409103e-05 -4.165405e-06 -6.602702e-07 -6.284208e-09 -2.176212e-04 -1.830481e-04 -6.744679e-05 -1.474803e-04
 7654.000000 -2.404968e-05 -4.176046e-06 -6.632159e-07 -6.290714e-09 -2.198108e-04 -1.907497e-04 -6.971155e-05 -1.494425e-04
 7659.000000 -2.418139e-05 -4.217787e-06 -6.709572e-07 -6.351694e-09 -2.066552e-04 -1.875020e-04 -7.263049e-05 -1.394801e-04
