# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.02597284595714
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.0072444695
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:24:29
# Scan.end_time: 02/22/2022  16:24:54
# Scan.duration: 00:25
# Scan.transient_id: 197228
# Scan.uid: 97b7d4ed-26f7-453e-812b-a266fa52f6d8
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.273539e-06 -3.808865e-07 -2.951677e-08 -8.387435e-11 -1.420740e-04 -1.358542e-04 -3.367197e-05 -8.085955e-05
 6444.000000 -1.252819e-05 -5.803742e-07 -4.515819e-08 -1.301115e-10 -2.160112e-04 -2.019639e-04 -5.246701e-05 -1.189669e-04
 6449.000000 -1.259944e-05 -5.888600e-07 -4.602261e-08 -1.319045e-10 -2.168929e-04 -1.865752e-04 -5.028855e-05 -1.144638e-04
 6454.000000 -1.260363e-05 -5.941785e-07 -4.657526e-08 -1.332033e-10 -2.178715e-04 -1.886830e-04 -7.080900e-05 -1.040785e-04
 6459.000000 -1.271158e-05 -6.044822e-07 -4.756406e-08 -1.368016e-10 -2.131209e-04 -1.891797e-04 -7.756749e-05 -1.096231e-04
 6464.000000 -1.279009e-05 -6.126662e-07 -4.841209e-08 -1.361497e-10 -2.090851e-04 -1.852785e-04 -5.708522e-05 -9.857223e-05
 6469.000000 -1.282374e-05 -6.193270e-07 -4.914619e-08 -1.404275e-10 -2.123092e-04 -1.871588e-04 -5.282355e-05 -9.731680e-05
 6474.000000 -1.290915e-05 -6.284549e-07 -5.003934e-08 -1.481124e-10 -2.022917e-04 -1.852148e-04 -5.023994e-05 -1.000932e-04
 6479.000000 -1.298787e-05 -6.368036e-07 -5.092787e-08 -1.551834e-10 -1.958027e-04 -1.874387e-04 -4.322126e-05 -9.781992e-05
 6484.000000 -1.303952e-05 -6.438171e-07 -5.169742e-08 -1.520356e-10 -2.001861e-04 -1.832346e-04 -3.964337e-05 -9.768128e-05
 6489.000000 -1.312673e-05 -6.530923e-07 -5.261694e-08 -1.578030e-10 -1.904067e-04 -1.844126e-04 -3.767145e-05 -1.099258e-04
