# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8276551801031
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.0072063225
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:50:47
# Scan.end_time: 02/22/2022  15:51:11
# Scan.duration: 00:23
# Scan.transient_id: 197168
# Scan.uid: 638db080-c0f9-49ea-9729-fccb1ca6088d
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.916691e-05 -4.730318e-06 -2.879335e-07 -1.770614e-08 -1.254076e-04 -1.203966e-04 -3.642180e-05 -1.081480e-04
 8238.000000 -2.742907e-05 -6.789092e-06 -4.138950e-07 -2.542483e-08 -1.892971e-04 -1.694695e-04 -5.859250e-05 -1.551219e-04
 8243.000000 -2.749326e-05 -6.829318e-06 -4.168608e-07 -2.559090e-08 -1.872551e-04 -1.822102e-04 -6.645161e-05 -1.509899e-04
 8248.000000 -2.753705e-05 -6.865456e-06 -4.193229e-07 -2.574788e-08 -1.812483e-04 -1.773452e-04 -6.847780e-05 -1.508315e-04
 8253.000000 -2.763188e-05 -6.914994e-06 -4.223969e-07 -2.595068e-08 -1.781664e-04 -1.817011e-04 -6.279819e-05 -1.463464e-04
 8258.000000 -2.759425e-05 -6.931089e-06 -4.232816e-07 -2.602952e-08 -1.731990e-04 -1.936559e-04 -4.841502e-05 -1.428928e-04
 8263.000000 -2.763121e-05 -6.964313e-06 -4.255232e-07 -2.616944e-08 -1.843928e-04 -1.948123e-04 -4.182315e-05 -1.389691e-04
 8268.000000 -2.774152e-05 -7.015255e-06 -4.294989e-07 -2.643923e-08 -1.817072e-04 -1.944920e-04 -3.843953e-05 -1.360243e-04
 8273.000000 -2.763352e-05 -7.011851e-06 -4.309647e-07 -2.651417e-08 -1.758211e-04 -1.990798e-04 -3.258501e-05 -1.433015e-04
 8278.000000 -2.750212e-05 -7.001886e-06 -4.325125e-07 -2.653253e-08 -1.708896e-04 -1.952437e-04 -3.675721e-05 -1.536392e-04
 8283.000000 -2.746356e-05 -7.013555e-06 -4.355853e-07 -2.668664e-08 -1.726718e-04 -1.876719e-04 -4.679136e-05 -1.434617e-04
 8288.000000 -2.764082e-05 -7.079906e-06 -4.419658e-07 -2.712462e-08 -1.703191e-04 -1.822363e-04 -4.957183e-05 -1.468937e-04
 8293.000000 -2.757262e-05 -7.082481e-06 -4.444067e-07 -2.733263e-08 -1.723066e-04 -1.865389e-04 -4.436041e-05 -1.469132e-04
 8298.000000 -2.762412e-05 -7.115019e-06 -4.487935e-07 -2.772629e-08 -1.671402e-04 -1.874276e-04 -4.625106e-05 -1.319411e-04
 8303.000000 -2.771724e-05 -7.157434e-06 -4.538343e-07 -2.824621e-08 -1.770515e-04 -1.951642e-04 -4.300485e-05 -1.301090e-04
 8307.000000 -2.781001e-05 -7.193754e-06 -4.578176e-07 -2.876394e-08 -1.892575e-04 -1.817520e-04 -5.485022e-05 -1.305489e-04
 8310.000000 -2.777060e-05 -7.191610e-06 -4.587228e-07 -2.908567e-08 -1.861871e-04 -1.781931e-04 -5.679166e-05 -1.258749e-04
 8312.000000 -2.783292e-05 -7.211037e-06 -4.606647e-07 -2.944155e-08 -1.858397e-04 -1.769710e-04 -6.540372e-05 -1.253384e-04
 8313.000000 -2.783435e-05 -7.213116e-06 -4.612214e-07 -2.960594e-08 -1.904958e-04 -1.781742e-04 -6.032957e-05 -1.276507e-04
 8313.200000 -2.789338e-05 -7.229270e-06 -4.621804e-07 -2.968226e-08 -1.929618e-04 -1.775290e-04 -5.649187e-05 -1.259718e-04
 8313.400000 -2.792447e-05 -7.237304e-06 -4.628232e-07 -2.977610e-08 -1.829382e-04 -1.735431e-04 -5.821733e-05 -1.299386e-04
 8313.600000 -2.788377e-05 -7.228320e-06 -4.624270e-07 -2.977427e-08 -1.955281e-04 -1.693980e-04 -6.295807e-05 -1.379749e-04
 8313.800000 -2.785193e-05 -7.219474e-06 -4.618642e-07 -2.975483e-08 -1.941192e-04 -1.745954e-04 -5.659830e-05 -1.365512e-04
 8314.000000 -2.778964e-05 -7.202746e-06 -4.608082e-07 -2.974532e-08 -1.960677e-04 -1.807712e-04 -5.294538e-05 -1.345101e-04
 8314.200000 -2.783991e-05 -7.218419e-06 -4.620543e-07 -2.979335e-08 -1.987590e-04 -1.810123e-04 -5.074976e-05 -1.370175e-04
 8314.400000 -2.780440e-05 -7.206286e-06 -4.612649e-07 -2.981196e-08 -1.978511e-04 -1.777555e-04 -4.506258e-05 -1.402043e-04
 8314.600000 -2.778331e-05 -7.201746e-06 -4.610564e-07 -2.983940e-08 -1.922122e-04 -1.696635e-04 -4.231331e-05 -1.430275e-04
 8314.800000 -2.773836e-05 -7.190956e-06 -4.605810e-07 -2.981670e-08 -1.889186e-04 -1.781416e-04 -3.331049e-05 -1.460027e-04
 8315.000000 -2.769135e-05 -7.179329e-06 -4.597382e-07 -2.981191e-08 -1.812261e-04 -1.812944e-04 -4.615276e-05 -1.472871e-04
 8315.200000 -2.779321e-05 -7.205858e-06 -4.614107e-07 -2.994508e-08 -1.845838e-04 -1.803944e-04 -5.435543e-05 -1.381857e-04
 8315.400000 -2.785490e-05 -7.221536e-06 -4.625788e-07 -3.007558e-08 -1.799039e-04 -1.801216e-04 -5.430140e-05 -1.410847e-04
 8315.600000 -2.781518e-05 -7.210941e-06 -4.620033e-07 -3.004087e-08 -1.819526e-04 -1.719677e-04 -4.422536e-05 -1.366328e-04
 8315.800000 -2.780912e-05 -7.209728e-06 -4.619305e-07 -3.007393e-08 -1.875974e-04 -1.769009e-04 -4.597697e-05 -1.382818e-04
 8316.000000 -2.787574e-05 -7.226852e-06 -4.630624e-07 -3.019766e-08 -1.844563e-04 -1.719703e-04 -3.977647e-05 -1.397746e-04
 8316.200000 -2.779013e-05 -7.206578e-06 -4.618951e-07 -3.013398e-08 -1.862065e-04 -1.767171e-04 -4.723290e-05 -1.513581e-04
 8316.400000 -2.775870e-05 -7.198261e-06 -4.615353e-07 -3.015689e-08 -1.946131e-04 -1.762507e-04 -4.286864e-05 -1.568772e-04
 8316.600000 -2.775260e-05 -7.196638e-06 -4.614150e-07 -3.020693e-08 -1.936707e-04 -1.804663e-04 -3.923028e-05 -1.471122e-04
 8316.800000 -2.780816e-05 -7.212449e-06 -4.624753e-07 -3.026744e-08 -1.962367e-04 -1.825471e-04 -3.612465e-05 -1.398785e-04
 8317.000000 -2.779084e-05 -7.206958e-06 -4.622530e-07 -3.034782e-08 -2.064039e-04 -1.747885e-04 -3.564872e-05 -1.429055e-04
 8317.200000 -2.785758e-05 -7.222723e-06 -4.632055e-07 -3.041121e-08 -2.110013e-04 -1.643135e-04 -4.440389e-05 -1.444738e-04
 8317.400000 -2.787293e-05 -7.227294e-06 -4.636380e-07 -3.049108e-08 -2.091459e-04 -1.593959e-04 -3.772970e-05 -1.503856e-04
 8317.600000 -2.787221e-05 -7.227773e-06 -4.636990e-07 -3.055746e-08 -1.977481e-04 -1.640537e-04 -4.490321e-05 -1.504219e-04
 8317.800000 -2.789444e-05 -7.233456e-06 -4.641253e-07 -3.064706e-08 -1.963276e-04 -1.723067e-04 -4.374170e-05 -1.429869e-04
 8318.000000 -2.790550e-05 -7.236018e-06 -4.643704e-07 -3.066078e-08 -1.902320e-04 -1.767918e-04 -4.473175e-05 -1.547550e-04
 8318.200000 -2.787763e-05 -7.229185e-06 -4.639572e-07 -3.072913e-08 -1.931479e-04 -1.745007e-04 -4.235785e-05 -1.518117e-04
 8318.400000 -2.789009e-05 -7.232659e-06 -4.644326e-07 -3.078385e-08 -1.981192e-04 -1.747865e-04 -4.454017e-05 -1.494908e-04
 8318.600000 -2.788885e-05 -7.230029e-06 -4.643163e-07 -3.083764e-08 -2.002214e-04 -1.839789e-04 -5.648713e-05 -1.605719e-04
 8318.800000 -2.787243e-05 -7.226425e-06 -4.640348e-07 -3.081912e-08 -2.015067e-04 -1.778002e-04 -5.474361e-05 -1.582802e-04
 8319.000000 -2.785036e-05 -7.220330e-06 -4.637314e-07 -3.084236e-08 -1.970047e-04 -1.837938e-04 -4.246467e-05 -1.470319e-04
 8319.200000 -2.783554e-05 -7.217216e-06 -4.635669e-07 -3.089766e-08 -1.984386e-04 -1.868533e-04 -5.057722e-05 -1.495062e-04
