# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5926903486847
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.00703466099999
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:08:07
# Scan.end_time: 02/22/2022  16:08:31
# Scan.duration: 00:24
# Scan.transient_id: 197199
# Scan.uid: 7ae12011-1828-44e1-9701-d6959f259a94
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.609530e-05 -2.680714e-06 -4.179526e-07 -4.074172e-09 -1.414598e-04 -1.205446e-04 -3.293045e-05 -1.043612e-04
 7614.000000 -2.385545e-05 -3.989168e-06 -6.230706e-07 -6.057556e-09 -2.129718e-04 -1.746442e-04 -4.474048e-05 -1.596446e-04
 7619.000000 -2.397220e-05 -4.029281e-06 -6.307881e-07 -6.112102e-09 -2.153969e-04 -1.859657e-04 -4.126787e-05 -1.655582e-04
 7624.000000 -2.394789e-05 -4.043735e-06 -6.343573e-07 -6.125496e-09 -2.123803e-04 -1.904288e-04 -3.973678e-05 -1.639651e-04
 7629.000000 -2.389386e-05 -4.052720e-06 -6.370650e-07 -6.125120e-09 -2.112950e-04 -1.983504e-04 -3.925591e-05 -1.596031e-04
 7634.000000 -2.392144e-05 -4.075716e-06 -6.418779e-07 -6.158409e-09 -2.143421e-04 -1.984224e-04 -4.416049e-05 -1.629237e-04
 7639.000000 -2.407485e-05 -4.120769e-06 -6.501687e-07 -6.221821e-09 -2.059056e-04 -2.067855e-04 -4.713438e-05 -1.548631e-04
 7644.000000 -2.412516e-05 -4.149650e-06 -6.560223e-07 -6.261808e-09 -1.996836e-04 -2.107065e-04 -4.097937e-05 -1.536160e-04
 7649.000000 -2.410231e-05 -4.166123e-06 -6.600265e-07 -6.276282e-09 -1.995767e-04 -2.061126e-04 -4.077908e-05 -1.641359e-04
 7654.000000 -2.407351e-05 -4.179778e-06 -6.633934e-07 -6.298217e-09 -1.999875e-04 -1.951127e-04 -4.050578e-05 -1.746565e-04
 7659.000000 -2.421172e-05 -4.222638e-06 -6.712832e-07 -6.360351e-09 -2.010832e-04 -1.933700e-04 -4.152053e-05 -1.769628e-04
 7664.000000 -2.433697e-05 -4.263523e-06 -6.788434e-07 -6.412288e-09 -2.092803e-04 -2.022000e-04 -4.720792e-05 -1.778169e-04
 7669.000000 -2.435397e-05 -4.286162e-06 -6.836351e-07 -6.449917e-09 -1.983341e-04 -1.930010e-04 -5.192945e-05 -1.690652e-04
 7674.000000 -2.437178e-05 -4.309363e-06 -6.884294e-07 -6.481973e-09 -1.922613e-04 -1.821081e-04 -4.770526e-05 -1.460090e-04
 7679.000000 -2.436420e-05 -4.326949e-06 -6.921961e-07 -6.512674e-09 -2.057424e-04 -1.835337e-04 -4.029855e-05 -1.328839e-04
 7683.000000 -2.440698e-05 -4.351198e-06 -6.965892e-07 -6.552073e-09 -2.153941e-04 -1.810402e-04 -3.159918e-05 -1.339448e-04
 7686.000000 -2.443869e-05 -4.368009e-06 -6.995312e-07 -6.570655e-09 -2.168166e-04 -1.774449e-04 -4.042568e-05 -1.346835e-04
 7688.000000 -2.444276e-05 -4.376566e-06 -7.010573e-07 -6.593631e-09 -2.211639e-04 -1.828517e-04 -3.897609e-05 -1.302592e-04
 7689.000000 -2.441492e-05 -4.375450e-06 -7.009532e-07 -6.574727e-09 -2.216448e-04 -1.802038e-04 -4.413520e-05 -1.229005e-04
 7689.200000 -2.444574e-05 -4.380715e-06 -7.019268e-07 -6.604336e-09 -2.205123e-04 -1.782933e-04 -4.489917e-05 -1.279390e-04
 7689.400000 -2.449749e-05 -4.392316e-06 -7.035217e-07 -6.615239e-09 -2.161839e-04 -1.843670e-04 -4.662253e-05 -1.229808e-04
 7689.600000 -2.450655e-05 -4.395765e-06 -7.041542e-07 -6.632570e-09 -2.137502e-04 -1.841407e-04 -4.384286e-05 -1.158634e-04
 7689.800000 -2.447574e-05 -4.389844e-06 -7.032069e-07 -6.615893e-09 -2.135531e-04 -1.823701e-04 -3.303914e-05 -1.232054e-04
 7690.000000 -2.446565e-05 -4.389768e-06 -7.034261e-07 -6.606396e-09 -2.153235e-04 -1.771590e-04 -3.192550e-05 -1.562533e-04
