# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6648156296872
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.00703466099999
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:25:03
# Scan.end_time: 02/22/2022  16:25:27
# Scan.duration: 00:23
# Scan.transient_id: 197229
# Scan.uid: de77f4aa-a546-43ec-8b1b-30d165c5bafc
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.293337e-06 -3.816802e-07 -2.958683e-08 -8.384994e-11 -1.350224e-04 -1.328735e-04 -2.243906e-05 -8.224927e-05
 6444.000000 -1.256105e-05 -5.819194e-07 -4.525337e-08 -1.276207e-10 -2.005860e-04 -1.924193e-04 -2.789598e-05 -1.269599e-04
 6449.000000 -1.265857e-05 -5.908689e-07 -4.612033e-08 -1.327760e-10 -2.154446e-04 -1.970619e-04 -2.682984e-05 -1.252265e-04
 6454.000000 -1.265958e-05 -5.966460e-07 -4.673923e-08 -1.382033e-10 -2.115698e-04 -2.076843e-04 -2.297518e-05 -1.262560e-04
 6459.000000 -1.275001e-05 -6.061016e-07 -4.768822e-08 -1.419105e-10 -2.063579e-04 -2.029787e-04 -2.047733e-05 -1.310551e-04
 6464.000000 -1.282827e-05 -6.143113e-07 -4.856289e-08 -1.449260e-10 -2.024549e-04 -1.981299e-04 -1.352790e-05 -1.257766e-04
 6469.000000 -1.287051e-05 -6.209384e-07 -4.932015e-08 -1.472531e-10 -2.002851e-04 -1.986059e-04 -2.132968e-05 -1.192559e-04
 6474.000000 -1.295811e-05 -6.300289e-07 -5.023800e-08 -1.481664e-10 -2.056923e-04 -2.058573e-04 -1.704718e-05 -1.068364e-04
 6479.000000 -1.301189e-05 -6.380923e-07 -5.106492e-08 -1.519861e-10 -2.042289e-04 -2.064489e-04 -2.330639e-05 -1.117702e-04
 6484.000000 -1.303982e-05 -6.449538e-07 -5.180229e-08 -1.516956e-10 -1.989247e-04 -1.997941e-04 -3.816208e-05 -1.117264e-04
 6489.000000 -1.311525e-05 -6.540377e-07 -5.271930e-08 -1.596042e-10 -2.022589e-04 -1.923800e-04 -5.680147e-05 -1.136736e-04
 6494.000000 -1.318255e-05 -6.632187e-07 -5.363294e-08 -1.620665e-10 -2.050509e-04 -1.829827e-04 -5.727301e-05 -1.140073e-04
 6499.000000 -1.323954e-05 -6.714245e-07 -5.453304e-08 -1.626080e-10 -2.061860e-04 -1.735579e-04 -4.523606e-05 -1.094365e-04
 6504.000000 -1.329850e-05 -6.795272e-07 -5.539859e-08 -1.694060e-10 -1.931913e-04 -1.845075e-04 -2.423924e-05 -1.058473e-04
 6509.000000 -1.333773e-05 -6.866012e-07 -5.620742e-08 -1.745839e-10 -1.861848e-04 -1.871103e-04 -2.135177e-05 -1.027380e-04
 6513.000000 -1.332043e-05 -6.898705e-07 -5.660364e-08 -1.760378e-10 -1.912977e-04 -1.842749e-04 -4.150095e-05 -1.060605e-04
 6516.000000 -1.348906e-05 -7.013893e-07 -5.769442e-08 -1.779738e-10 -1.994217e-04 -1.918248e-04 -4.605507e-05 -1.146536e-04
 6518.000000 -1.353224e-05 -7.054694e-07 -5.812815e-08 -1.785165e-10 -1.978023e-04 -1.941688e-04 -4.474194e-05 -1.106444e-04
 6519.000000 -1.355841e-05 -7.082829e-07 -5.844579e-08 -1.838563e-10 -1.972869e-04 -1.797032e-04 -4.623822e-05 -1.000633e-04
 6519.200000 -1.357664e-05 -7.096287e-07 -5.850546e-08 -1.840506e-10 -2.010110e-04 -1.839159e-04 -4.448263e-05 -9.275937e-05
 6519.400000 -1.357001e-05 -7.087961e-07 -5.853851e-08 -1.815585e-10 -1.981880e-04 -1.751385e-04 -6.381930e-05 -9.687308e-05
 6519.600000 -1.356147e-05 -7.084063e-07 -5.850600e-08 -1.876778e-10 -1.963252e-04 -1.859101e-04 -6.554078e-05 -9.697458e-05
 6519.800000 -1.357185e-05 -7.099150e-07 -5.851995e-08 -1.918025e-10 -1.956934e-04 -1.910732e-04 -6.504747e-05 -9.816136e-05
 6520.000000 -1.357149e-05 -7.100258e-07 -5.844918e-08 -1.834085e-10 -2.065194e-04 -2.004322e-04 -5.434844e-05 -9.715905e-05
 6520.200000 -1.357937e-05 -7.102431e-07 -5.861217e-08 -1.898935e-10 -2.128733e-04 -1.975149e-04 -4.960362e-05 -1.033781e-04
 6520.400000 -1.358146e-05 -7.108345e-07 -5.872729e-08 -1.802680e-10 -1.936402e-04 -1.848356e-04 -4.906576e-05 -1.117407e-04
 6520.600000 -1.357373e-05 -7.106990e-07 -5.863415e-08 -1.737648e-10 -2.065971e-04 -1.730021e-04 -4.650838e-05 -1.132298e-04
 6520.800000 -1.357134e-05 -7.105937e-07 -5.868069e-08 -1.783496e-10 -2.019688e-04 -1.790231e-04 -4.547025e-05 -1.149407e-04
 6521.000000 -1.356466e-05 -7.107520e-07 -5.868366e-08 -1.828295e-10 -1.950531e-04 -1.870648e-04 -4.004354e-05 -1.144976e-04
 6521.200000 -1.356826e-05 -7.109008e-07 -5.868323e-08 -1.827395e-10 -1.908630e-04 -1.969550e-04 -3.565730e-05 -1.117360e-04
 6521.400000 -1.354690e-05 -7.103641e-07 -5.861370e-08 -1.741387e-10 -1.936803e-04 -1.959883e-04 -4.307967e-05 -1.200233e-04
 6521.600000 -1.351945e-05 -7.090202e-07 -5.858287e-08 -1.820537e-10 -1.875591e-04 -2.051475e-04 -4.842830e-05 -1.149566e-04
 6521.800000 -1.355383e-05 -7.107746e-07 -5.875602e-08 -1.925309e-10 -1.891343e-04 -2.093488e-04 -5.056755e-05 -1.139978e-04
