# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.48814345319477
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.00703466099999
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:51:19
# Scan.end_time: 02/22/2022  15:51:43
# Scan.duration: 00:24
# Scan.transient_id: 197169
# Scan.uid: 0e2e99e6-c968-4505-94af-21dc7c180450
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.912117e-05 -4.718134e-06 -2.871378e-07 -1.766750e-08 -1.347446e-04 -1.286785e-04 -3.811675e-05 -9.444241e-05
 8238.000000 -2.750767e-05 -6.807523e-06 -4.149414e-07 -2.550196e-08 -1.980307e-04 -1.877385e-04 -5.891131e-05 -1.377245e-04
 8243.000000 -2.746954e-05 -6.824314e-06 -4.166035e-07 -2.555547e-08 -1.957470e-04 -1.888536e-04 -5.905650e-05 -1.392808e-04
 8248.000000 -2.749552e-05 -6.854799e-06 -4.186197e-07 -2.568773e-08 -1.949853e-04 -1.926455e-04 -5.139594e-05 -1.298260e-04
 8253.000000 -2.754004e-05 -6.890259e-06 -4.206711e-07 -2.584956e-08 -1.871441e-04 -1.926008e-04 -4.887593e-05 -1.320770e-04
 8258.000000 -2.759051e-05 -6.927250e-06 -4.228225e-07 -2.602085e-08 -1.873524e-04 -1.853828e-04 -4.977641e-05 -1.367174e-04
 8263.000000 -2.767372e-05 -6.974695e-06 -4.260949e-07 -2.622830e-08 -1.925509e-04 -1.861381e-04 -5.122437e-05 -1.318120e-04
 8268.000000 -2.763594e-05 -6.993257e-06 -4.283943e-07 -2.630597e-08 -1.853804e-04 -1.831316e-04 -5.423310e-05 -1.372748e-04
 8273.000000 -2.769447e-05 -7.031651e-06 -4.323989e-07 -2.653188e-08 -1.869715e-04 -1.885634e-04 -6.582646e-05 -1.417125e-04
 8278.000000 -2.768261e-05 -7.050461e-06 -4.356582e-07 -2.670939e-08 -1.865968e-04 -1.835885e-04 -6.689726e-05 -1.399444e-04
 8283.000000 -2.762920e-05 -7.058170e-06 -4.384814e-07 -2.685125e-08 -1.905145e-04 -1.803800e-04 -6.657079e-05 -1.370524e-04
 8288.000000 -2.772268e-05 -7.102856e-06 -4.435928e-07 -2.719160e-08 -1.931682e-04 -1.805963e-04 -6.878719e-05 -1.358471e-04
 8293.000000 -2.774019e-05 -7.126788e-06 -4.473755e-07 -2.750001e-08 -1.908614e-04 -1.860004e-04 -6.251948e-05 -1.308254e-04
 8298.000000 -2.769722e-05 -7.135271e-06 -4.502124e-07 -2.780244e-08 -1.861904e-04 -1.821100e-04 -5.874026e-05 -1.317136e-04
 8303.000000 -2.776063e-05 -7.168349e-06 -4.545671e-07 -2.828381e-08 -1.700494e-04 -1.889035e-04 -5.914019e-05 -1.315479e-04
 8307.000000 -2.782813e-05 -7.197603e-06 -4.580134e-07 -2.876248e-08 -1.794307e-04 -2.015642e-04 -6.346079e-05 -1.251495e-04
 8310.000000 -2.776925e-05 -7.189044e-06 -4.585312e-07 -2.906955e-08 -1.801162e-04 -1.917567e-04 -7.244678e-05 -1.289226e-04
 8312.000000 -2.769878e-05 -7.174624e-06 -4.582945e-07 -2.927538e-08 -1.876852e-04 -1.884655e-04 -7.462701e-05 -1.253027e-04
 8313.000000 -2.751021e-05 -7.125029e-06 -4.553501e-07 -2.924321e-08 -1.866282e-04 -1.906784e-04 -8.101593e-05 -1.245136e-04
 8313.200000 -2.762103e-05 -7.151723e-06 -4.570068e-07 -2.942548e-08 -1.818680e-04 -1.873196e-04 -8.213440e-05 -1.240085e-04
 8313.400000 -2.758224e-05 -7.144762e-06 -4.566012e-07 -2.939050e-08 -1.838179e-04 -1.859198e-04 -8.084695e-05 -1.221586e-04
 8313.600000 -2.758510e-05 -7.146271e-06 -4.569717e-07 -2.946846e-08 -1.783202e-04 -1.823266e-04 -7.416172e-05 -1.121105e-04
 8313.800000 -2.764569e-05 -7.162625e-06 -4.580562e-07 -2.952096e-08 -1.751847e-04 -1.812651e-04 -8.562655e-05 -1.073419e-04
 8314.000000 -2.764887e-05 -7.162436e-06 -4.579550e-07 -2.954271e-08 -1.760113e-04 -1.873856e-04 -9.261225e-05 -1.186722e-04
 8314.200000 -2.769901e-05 -7.174782e-06 -4.587766e-07 -2.966171e-08 -1.868239e-04 -1.958931e-04 -9.285491e-05 -1.203848e-04
 8314.400000 -2.770989e-05 -7.178123e-06 -4.590582e-07 -2.973122e-08 -1.734307e-04 -2.036042e-04 -8.056778e-05 -1.208233e-04
