# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.2080795402042
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.006996514
# ISS.sample_y_position: -0.633011318
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:08:39
# Scan.end_time: 02/22/2022  16:09:02
# Scan.duration: 00:22
# Scan.transient_id: 197200
# Scan.uid: 4489fbac-2bfa-4131-93ab-6d8b97eb6942
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.615508e-05 -2.691051e-06 -4.198000e-07 -4.091788e-09 -1.453360e-04 -1.286662e-04 -3.908755e-05 -8.160474e-05
 7614.000000 -2.386298e-05 -3.990230e-06 -6.235324e-07 -6.060684e-09 -2.093587e-04 -1.884193e-04 -6.085896e-05 -9.747934e-05
 7619.000000 -2.382719e-05 -4.003023e-06 -6.268965e-07 -6.068934e-09 -2.142253e-04 -1.858902e-04 -5.961736e-05 -9.081207e-05
 7624.000000 -2.387391e-05 -4.031089e-06 -6.326873e-07 -6.108662e-09 -2.167796e-04 -1.766230e-04 -6.979691e-05 -8.652792e-05
 7629.000000 -2.399286e-05 -4.070213e-06 -6.400516e-07 -6.156324e-09 -2.245444e-04 -1.773050e-04 -7.135324e-05 -9.131864e-05
 7634.000000 -2.407037e-05 -4.101909e-06 -6.462387e-07 -6.192047e-09 -2.242143e-04 -1.912272e-04 -7.917553e-05 -1.036984e-04
 7639.000000 -2.418381e-05 -4.139811e-06 -6.534508e-07 -6.258467e-09 -2.166783e-04 -1.828203e-04 -8.594327e-05 -1.274344e-04
 7644.000000 -2.414579e-05 -4.152462e-06 -6.567373e-07 -6.262696e-09 -2.167926e-04 -1.894313e-04 -7.398950e-05 -1.276916e-04
 7649.000000 -2.421634e-05 -4.185042e-06 -6.631557e-07 -6.307988e-09 -2.048228e-04 -1.963630e-04 -6.609487e-05 -1.316676e-04
 7654.000000 -2.425525e-05 -4.211477e-06 -6.685805e-07 -6.341892e-09 -2.065381e-04 -1.991496e-04 -5.714171e-05 -1.316584e-04
 7659.000000 -2.425700e-05 -4.230264e-06 -6.727509e-07 -6.362797e-09 -2.081071e-04 -2.020363e-04 -5.689392e-05 -1.300716e-04
 7664.000000 -2.435559e-05 -4.266480e-06 -6.795566e-07 -6.418419e-09 -2.124431e-04 -2.005300e-04 -6.328799e-05 -1.357346e-04
 7669.000000 -2.444664e-05 -4.302057e-06 -6.863718e-07 -6.476562e-09 -2.094603e-04 -1.953206e-04 -5.717462e-05 -1.380590e-04
 7674.000000 -2.441323e-05 -4.318169e-06 -6.902091e-07 -6.498556e-09 -2.087877e-04 -1.937233e-04 -4.594685e-05 -1.340463e-04
 7679.000000 -2.449199e-05 -4.351115e-06 -6.963389e-07 -6.542958e-09 -2.121207e-04 -1.912918e-04 -3.722748e-05 -1.020360e-04
 7683.000000 -2.455072e-05 -4.376683e-06 -7.010143e-07 -6.585071e-09 -2.200078e-04 -1.830687e-04 -4.813552e-05 -9.627561e-05
 7686.000000 -2.453812e-05 -4.387967e-06 -7.031894e-07 -6.601278e-09 -2.238089e-04 -1.854357e-04 -5.473852e-05 -9.951104e-05
 7688.000000 -2.448445e-05 -4.388636e-06 -7.035676e-07 -6.588392e-09 -2.223127e-04 -1.924975e-04 -5.839770e-05 -1.015463e-04
 7689.000000 -2.452982e-05 -4.400883e-06 -7.056447e-07 -6.609528e-09 -2.159942e-04 -1.870112e-04 -4.851238e-05 -1.129942e-04
 7689.200000 -2.456612e-05 -4.408626e-06 -7.068195e-07 -6.628367e-09 -2.140969e-04 -1.790899e-04 -5.469218e-05 -1.148698e-04
