# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 401.2180262460379
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.006996514
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:25:36
# Scan.end_time: 02/22/2022  16:25:59
# Scan.duration: 00:23
# Scan.transient_id: 197230
# Scan.uid: ac32ec98-8717-4d6f-998b-80f3d3364416
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.315524e-06 -3.818430e-07 -2.960954e-08 -8.334237e-11 -1.230273e-04 -1.310664e-04 -2.071193e-05 -6.915693e-05
 6444.000000 -1.257293e-05 -5.819970e-07 -4.530332e-08 -1.278728e-10 -1.888456e-04 -1.972280e-04 -2.815158e-05 -1.098341e-04
 6449.000000 -1.266590e-05 -5.914578e-07 -4.619373e-08 -1.304641e-10 -1.835588e-04 -2.056068e-04 -2.925990e-05 -1.101836e-04
 6454.000000 -1.267770e-05 -5.965870e-07 -4.680407e-08 -1.335324e-10 -1.845129e-04 -2.024039e-04 -2.871929e-05 -1.071105e-04
 6459.000000 -1.277563e-05 -6.060942e-07 -4.776575e-08 -1.374743e-10 -1.900363e-04 -2.066051e-04 -3.152528e-05 -1.014710e-04
 6464.000000 -1.285181e-05 -6.146625e-07 -4.856112e-08 -1.432926e-10 -1.980813e-04 -1.971132e-04 -2.816396e-05 -1.105103e-04
 6469.000000 -1.288963e-05 -6.216792e-07 -4.931571e-08 -1.456031e-10 -1.851947e-04 -1.974360e-04 -2.619284e-05 -1.114473e-04
 6474.000000 -1.298327e-05 -6.304943e-07 -5.022454e-08 -1.477018e-10 -1.809627e-04 -2.019297e-04 -2.777758e-05 -1.049493e-04
 6479.000000 -1.306916e-05 -6.394704e-07 -5.113925e-08 -1.566666e-10 -1.778416e-04 -1.932627e-04 -3.193542e-05 -1.024516e-04
 6484.000000 -1.313551e-05 -6.480765e-07 -5.200359e-08 -1.537195e-10 -1.838099e-04 -1.939532e-04 -2.944977e-05 -1.023324e-04
 6489.000000 -1.319371e-05 -6.569657e-07 -5.288312e-08 -1.565283e-10 -1.732737e-04 -1.954628e-04 -2.637591e-05 -1.049910e-04
