# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.0971803721613
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.006996514
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:51:52
# Scan.end_time: 02/22/2022  15:52:14
# Scan.duration: 00:22
# Scan.transient_id: 197170
# Scan.uid: d7cb1a54-814b-4b3a-bf52-f54cf35774d5
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.922072e-05 -4.739771e-06 -2.884805e-07 -1.775146e-08 -1.356316e-04 -1.403298e-04 -5.921631e-05 -1.122311e-04
 8238.000000 -2.752888e-05 -6.808411e-06 -4.150588e-07 -2.551078e-08 -1.913148e-04 -1.965653e-04 -7.731004e-05 -1.631779e-04
 8243.000000 -2.758750e-05 -6.847733e-06 -4.179698e-07 -2.567613e-08 -1.863817e-04 -2.040151e-04 -8.606560e-05 -1.660425e-04
 8248.000000 -2.742571e-05 -6.831384e-06 -4.171037e-07 -2.561577e-08 -1.872288e-04 -2.105612e-04 -8.525980e-05 -1.621613e-04
 8253.000000 -2.754904e-05 -6.885632e-06 -4.203297e-07 -2.585877e-08 -1.849150e-04 -2.057530e-04 -7.746712e-05 -1.603875e-04
 8258.000000 -2.743263e-05 -6.882011e-06 -4.200170e-07 -2.587115e-08 -1.882028e-04 -1.931257e-04 -8.008090e-05 -1.651897e-04
 8263.000000 -2.753615e-05 -6.935351e-06 -4.237002e-07 -2.607968e-08 -1.884650e-04 -1.995430e-04 -8.694176e-05 -1.638641e-04
 8268.000000 -2.762240e-05 -6.982412e-06 -4.275575e-07 -2.628138e-08 -1.884092e-04 -1.985834e-04 -9.395337e-05 -1.659282e-04
 8273.000000 -2.766816e-05 -7.018359e-06 -4.313652e-07 -2.648490e-08 -1.937512e-04 -2.025183e-04 -9.155438e-05 -1.677973e-04
 8278.000000 -2.765573e-05 -7.039696e-06 -4.350010e-07 -2.667367e-08 -1.883477e-04 -1.998128e-04 -7.848658e-05 -1.627957e-04
 8283.000000 -2.769985e-05 -7.076883e-06 -4.398876e-07 -2.692730e-08 -1.894129e-04 -1.984950e-04 -7.855322e-05 -1.694565e-04
