# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.89100379708145
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.006996514
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:09:10
# Scan.end_time: 02/22/2022  16:09:35
# Scan.duration: 00:25
# Scan.transient_id: 197201
# Scan.uid: ca5a08f6-f990-473b-b89a-f461c5c893a5
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.652850e-05 -2.749955e-06 -4.288655e-07 -4.188178e-09 -1.498196e-04 -1.316992e-04 -2.707989e-05 -9.115625e-05
 7614.000000 -2.395883e-05 -4.002706e-06 -6.254062e-07 -6.084466e-09 -2.133296e-04 -1.882987e-04 -4.405551e-05 -1.424220e-04
 7619.000000 -2.405724e-05 -4.042411e-06 -6.331749e-07 -6.134810e-09 -2.147619e-04 -1.829746e-04 -4.785989e-05 -1.703557e-04
 7624.000000 -2.409778e-05 -4.069731e-06 -6.388423e-07 -6.165371e-09 -2.133058e-04 -1.925960e-04 -4.180403e-05 -1.705255e-04
 7629.000000 -2.412721e-05 -4.092944e-06 -6.437448e-07 -6.200302e-09 -2.140174e-04 -1.891318e-04 -3.539577e-05 -1.594097e-04
 7634.000000 -2.420830e-05 -4.125666e-06 -6.501141e-07 -6.236459e-09 -2.086470e-04 -1.879170e-04 -4.100981e-05 -1.585989e-04
 7639.000000 -2.423227e-05 -4.149146e-06 -6.551832e-07 -6.268121e-09 -2.102489e-04 -1.882131e-04 -5.407585e-05 -1.594335e-04
 7644.000000 -2.423913e-05 -4.171461e-06 -6.602097e-07 -6.290421e-09 -2.102499e-04 -1.805900e-04 -4.906666e-05 -1.623247e-04
 7649.000000 -2.422251e-05 -4.188516e-06 -6.641995e-07 -6.313848e-09 -2.109610e-04 -1.858254e-04 -4.868403e-05 -1.690263e-04
 7654.000000 -2.421219e-05 -4.205475e-06 -6.680750e-07 -6.341731e-09 -2.108716e-04 -1.858450e-04 -4.538821e-05 -1.642723e-04
 7659.000000 -2.426917e-05 -4.233933e-06 -6.737721e-07 -6.383647e-09 -2.144226e-04 -1.870275e-04 -4.084290e-05 -1.663592e-04
 7664.000000 -2.440511e-05 -4.276868e-06 -6.816709e-07 -6.442006e-09 -2.079762e-04 -1.867651e-04 -3.561400e-05 -1.577483e-04
 7669.000000 -2.444643e-05 -4.303324e-06 -6.870046e-07 -6.478559e-09 -2.080670e-04 -1.839464e-04 -3.949431e-05 -1.597499e-04
 7674.000000 -2.447574e-05 -4.328583e-06 -6.921325e-07 -6.515226e-09 -2.135299e-04 -1.804243e-04 -4.628048e-05 -1.643745e-04
 7679.000000 -2.448444e-05 -4.347556e-06 -6.958668e-07 -6.549067e-09 -2.117738e-04 -1.717106e-04 -5.582213e-05 -1.642891e-04
 7683.000000 -2.445483e-05 -4.355847e-06 -6.976898e-07 -6.557362e-09 -2.072332e-04 -1.782886e-04 -5.863350e-05 -1.640628e-04
 7686.000000 -2.431899e-05 -4.343521e-06 -6.961486e-07 -6.540515e-09 -2.064958e-04 -1.825458e-04 -5.732694e-05 -1.655742e-04
 7688.000000 -2.444196e-05 -4.375564e-06 -7.013456e-07 -6.582911e-09 -1.978392e-04 -1.749849e-04 -5.706065e-05 -1.691899e-04
 7689.000000 -2.456152e-05 -4.400806e-06 -7.054235e-07 -6.623772e-09 -1.998232e-04 -1.787841e-04 -4.393828e-05 -1.655566e-04
 7689.200000 -2.461786e-05 -4.411678e-06 -7.070220e-07 -6.642185e-09 -2.002678e-04 -1.829407e-04 -4.920334e-05 -1.642517e-04
 7689.400000 -2.455213e-05 -4.400285e-06 -7.053568e-07 -6.627563e-09 -1.926084e-04 -1.814749e-04 -5.700458e-05 -1.583864e-04
 7689.600000 -2.452006e-05 -4.394433e-06 -7.044737e-07 -6.604557e-09 -1.923621e-04 -1.865310e-04 -5.908661e-05 -1.577949e-04
 7689.800000 -2.447756e-05 -4.384797e-06 -7.027218e-07 -6.588566e-09 -1.988221e-04 -1.828775e-04 -6.457993e-05 -1.526871e-04
 7690.000000 -2.440010e-05 -4.373436e-06 -7.011832e-07 -6.587594e-09 -2.054023e-04 -1.821057e-04 -5.738298e-05 -1.498394e-04
 7690.200000 -2.438477e-05 -4.371661e-06 -7.006373e-07 -6.578552e-09 -2.083176e-04 -1.961110e-04 -6.264138e-05 -1.543639e-04
 7690.400000 -2.444242e-05 -4.384810e-06 -7.028803e-07 -6.591306e-09 -2.024573e-04 -1.957807e-04 -5.339927e-05 -1.494789e-04
