# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.8287460302966
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.006996514
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:26:09
# Scan.end_time: 02/22/2022  16:26:31
# Scan.duration: 00:22
# Scan.transient_id: 197231
# Scan.uid: 18149e95-305d-4d0a-93fc-3c1892494deb
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.300253e-06 -3.811500e-07 -2.957099e-08 -8.282444e-11 -1.155646e-04 -1.275340e-04 -1.248262e-05 -6.476205e-05
 6444.000000 -1.256207e-05 -5.814134e-07 -4.524298e-08 -1.246215e-10 -1.835748e-04 -1.883640e-04 -2.234265e-05 -9.800702e-05
 6449.000000 -1.265206e-05 -5.907904e-07 -4.614006e-08 -1.295192e-10 -1.821903e-04 -1.894354e-04 -1.553261e-05 -9.548049e-05
 6454.000000 -1.266112e-05 -5.960759e-07 -4.674333e-08 -1.333287e-10 -1.819593e-04 -1.955654e-04 -1.250583e-05 -9.401798e-05
 6459.000000 -1.273000e-05 -6.042506e-07 -4.756147e-08 -1.368924e-10 -1.792273e-04 -1.922910e-04 -1.949701e-05 -8.636569e-05
 6464.000000 -1.278457e-05 -6.126408e-07 -4.844223e-08 -1.403729e-10 -1.953327e-04 -1.981917e-04 -2.517110e-05 -9.426617e-05
 6469.000000 -1.281991e-05 -6.194464e-07 -4.918272e-08 -1.402533e-10 -2.124162e-04 -1.939355e-04 -2.578264e-05 -9.041912e-05
 6474.000000 -1.290917e-05 -6.283089e-07 -5.007136e-08 -1.457976e-10 -2.091033e-04 -1.870794e-04 -3.023250e-05 -8.436175e-05
 6479.000000 -1.298136e-05 -6.366755e-07 -5.090414e-08 -1.478244e-10 -1.966063e-04 -1.871717e-04 -2.213341e-05 -8.391967e-05
 6484.000000 -1.306954e-05 -6.459841e-07 -5.178448e-08 -1.496039e-10 -1.930351e-04 -1.894465e-04 -2.302028e-05 -8.967989e-05
 6489.000000 -1.315335e-05 -6.551168e-07 -5.268811e-08 -1.534369e-10 -1.910971e-04 -1.885456e-04 -2.875633e-05 -9.817519e-05
 6494.000000 -1.322485e-05 -6.633832e-07 -5.361294e-08 -1.589356e-10 -1.926411e-04 -1.873270e-04 -2.948091e-05 -1.057252e-04
 6499.000000 -1.328321e-05 -6.714514e-07 -5.448317e-08 -1.655669e-10 -1.964925e-04 -1.886919e-04 -2.154112e-05 -9.632829e-05
 6504.000000 -1.332786e-05 -6.792173e-07 -5.531815e-08 -1.690122e-10 -2.062333e-04 -1.926325e-04 -1.722096e-05 -9.184680e-05
 6509.000000 -1.332715e-05 -6.848957e-07 -5.601805e-08 -1.712458e-10 -2.026831e-04 -2.056623e-04 -2.365680e-05 -9.557628e-05
 6513.000000 -1.327071e-05 -6.870642e-07 -5.639278e-08 -1.749967e-10 -2.023345e-04 -1.909604e-04 -2.081557e-05 -9.521087e-05
 6516.000000 -1.341726e-05 -6.978804e-07 -5.742984e-08 -1.756451e-10 -1.977352e-04 -1.845835e-04 -2.074045e-05 -9.979859e-05
 6518.000000 -1.344099e-05 -7.013180e-07 -5.780902e-08 -1.775619e-10 -1.959304e-04 -1.987221e-04 -2.331145e-05 -1.035012e-04
 6519.000000 -1.343124e-05 -7.024489e-07 -5.792135e-08 -1.766461e-10 -1.821750e-04 -1.965740e-04 -1.206713e-05 -9.373424e-05
 6519.200000 -1.343729e-05 -7.038932e-07 -5.808532e-08 -1.785868e-10 -1.788330e-04 -1.835133e-04 -2.828677e-06 -8.908768e-05
