# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.74809825829914
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMCA_1 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 75.006996514
# ISS.sample_y_position: -0.6329922445
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:52:22
# Scan.end_time: 02/22/2022  15:52:48
# Scan.duration: 00:25
# Scan.transient_id: 197171
# Scan.uid: 54a8939b-5e68-4944-958c-b28c49372bb0
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.904775e-05 -4.699335e-06 -2.862809e-07 -1.757517e-08 -1.501784e-04 -1.400938e-04 -5.509460e-05 -8.693688e-05
 8238.000000 -2.749690e-05 -6.803127e-06 -4.149410e-07 -2.546183e-08 -2.136599e-04 -1.925600e-04 -7.483605e-05 -1.288139e-04
 8243.000000 -2.762657e-05 -6.858900e-06 -4.188412e-07 -2.569701e-08 -2.164843e-04 -1.946559e-04 -8.594736e-05 -1.356705e-04
 8248.000000 -2.764521e-05 -6.888162e-06 -4.208152e-07 -2.582651e-08 -2.162037e-04 -2.021995e-04 -8.523427e-05 -1.396279e-04
 8253.000000 -2.769574e-05 -6.925372e-06 -4.230028e-07 -2.599510e-08 -2.104765e-04 -1.961694e-04 -7.848348e-05 -1.459562e-04
 8258.000000 -2.772617e-05 -6.957006e-06 -4.247957e-07 -2.612072e-08 -2.058137e-04 -1.995819e-04 -7.055608e-05 -1.491095e-04
 8263.000000 -2.779453e-05 -6.998526e-06 -4.275412e-07 -2.630409e-08 -2.060135e-04 -1.983971e-04 -8.775171e-05 -1.537778e-04
 8268.000000 -2.776596e-05 -7.015379e-06 -4.294612e-07 -2.642588e-08 -2.129322e-04 -1.978167e-04 -8.084422e-05 -1.531417e-04
 8273.000000 -2.773216e-05 -7.030226e-06 -4.319490e-07 -2.654118e-08 -2.138980e-04 -1.908061e-04 -8.678388e-05 -1.608083e-04
 8278.000000 -2.770555e-05 -7.046835e-06 -4.351118e-07 -2.670024e-08 -2.096358e-04 -1.896392e-04 -7.482506e-05 -1.620543e-04
 8283.000000 -2.776696e-05 -7.084452e-06 -4.398132e-07 -2.698017e-08 -2.070699e-04 -1.923711e-04 -6.324797e-05 -1.607837e-04
