# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.8260444478228
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4088594635
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:42:06
# Scan.end_time: 02/22/2022  15:42:30
# Scan.duration: 00:24
# Scan.transient_id: 197152
# Scan.uid: e4bd9a83-ac72-46f7-b6f7-1a8b951a3233
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.925001e-05 -3.798708e-06 -2.345086e-07 -2.706200e-08 -1.286666e-04 -1.227691e-04 -9.292651e-06 -7.491557e-05
 8238.000000 -2.755386e-05 -5.454629e-06 -3.372924e-07 -3.881688e-08 -1.891432e-04 -1.751989e-04 -1.340048e-05 -1.016310e-04
 8243.000000 -2.763482e-05 -5.487367e-06 -3.396914e-07 -3.905726e-08 -1.920426e-04 -1.879382e-04 -1.160455e-05 -1.034296e-04
 8248.000000 -2.778816e-05 -5.531542e-06 -3.425257e-07 -3.937643e-08 -1.867254e-04 -1.862550e-04 -1.947388e-05 -1.099521e-04
 8253.000000 -2.784287e-05 -5.561264e-06 -3.442764e-07 -3.956435e-08 -1.929377e-04 -1.883101e-04 -2.372849e-05 -1.055857e-04
 8258.000000 -2.781901e-05 -5.578175e-06 -3.451914e-07 -3.962215e-08 -2.061443e-04 -1.991026e-04 -2.218227e-05 -1.048414e-04
 8263.000000 -2.787103e-05 -5.609197e-06 -3.472692e-07 -3.979919e-08 -2.030129e-04 -1.957923e-04 -2.145820e-05 -9.990403e-05
 8268.000000 -2.793458e-05 -5.641385e-06 -3.500253e-07 -3.997521e-08 -1.987271e-04 -1.941816e-04 -1.601815e-05 -1.026358e-04
 8273.000000 -2.791725e-05 -5.659938e-06 -3.524421e-07 -4.003136e-08 -1.961702e-04 -1.905373e-04 -1.758570e-05 -1.102965e-04
 8278.000000 -2.783718e-05 -5.667089e-06 -3.546314e-07 -3.998995e-08 -1.985332e-04 -1.873086e-04 -3.071340e-05 -1.024084e-04
 8283.000000 -2.783295e-05 -5.689179e-06 -3.579486e-07 -4.010188e-08 -2.012341e-04 -1.864098e-04 -2.069346e-05 -9.829990e-05
 8288.000000 -2.777926e-05 -5.700149e-06 -3.605218e-07 -4.012523e-08 -1.951197e-04 -1.882450e-04 -2.567847e-05 -9.923428e-05
 8293.000000 -2.787592e-05 -5.735508e-06 -3.646694e-07 -4.042539e-08 -1.996433e-04 -1.880926e-04 -2.934260e-05 -1.094538e-04
 8298.000000 -2.790171e-05 -5.760327e-06 -3.682116e-07 -4.064356e-08 -1.956131e-04 -2.016895e-04 -3.282637e-05 -1.073030e-04
 8303.000000 -2.798246e-05 -5.792469e-06 -3.721315e-07 -4.096699e-08 -1.954833e-04 -1.948943e-04 -2.532668e-05 -1.000446e-04
 8307.000000 -2.803425e-05 -5.812135e-06 -3.746162e-07 -4.125360e-08 -2.026465e-04 -1.940632e-04 -3.295833e-05 -1.018162e-04
 8310.000000 -2.802580e-05 -5.817148e-06 -3.757387e-07 -4.141828e-08 -1.993603e-04 -1.939497e-04 -3.525466e-05 -9.489892e-05
 8312.000000 -2.803558e-05 -5.826138e-06 -3.769225e-07 -4.154561e-08 -2.059381e-04 -2.032012e-04 -4.501947e-05 -9.458624e-05
 8313.000000 -2.797725e-05 -5.818094e-06 -3.766184e-07 -4.150693e-08 -1.996620e-04 -2.101332e-04 -3.974447e-05 -8.890385e-05
 8313.200000 -2.793040e-05 -5.805440e-06 -3.758570e-07 -4.143742e-08 -1.907223e-04 -2.062918e-04 -4.147098e-05 -8.952015e-05
 8313.400000 -2.802096e-05 -5.828673e-06 -3.773987e-07 -4.160975e-08 -1.772803e-04 -2.015808e-04 -3.589790e-05 -8.592439e-05
 8313.600000 -2.799639e-05 -5.823401e-06 -3.769704e-07 -4.158138e-08 -1.883255e-04 -2.120569e-04 -2.288651e-05 -8.238298e-05
 8313.800000 -2.795852e-05 -5.816435e-06 -3.765982e-07 -4.153557e-08 -1.877401e-04 -2.140742e-04 -2.296497e-05 -8.858174e-05
 8314.000000 -2.790770e-05 -5.805262e-06 -3.761853e-07 -4.145462e-08 -1.915307e-04 -2.104480e-04 -2.394692e-05 -1.022593e-04
