# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.1896212038262
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4056551155
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:58:31
# Scan.end_time: 02/22/2022  15:58:57
# Scan.duration: 00:26
# Scan.transient_id: 197182
# Scan.uid: 5a375a65-9e13-42f2-8ccc-c02ecc4f09f3
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.643870e-05 -2.836383e-06 -4.505314e-07 -5.139967e-09 -1.423787e-04 -1.245732e-04 -5.573750e-05 -1.076209e-04
 7614.000000 -2.386483e-05 -4.135692e-06 -6.581089e-07 -7.472048e-09 -2.045299e-04 -1.784070e-04 -8.045580e-05 -1.599827e-04
 7619.000000 -2.397468e-05 -4.171743e-06 -6.651863e-07 -7.535617e-09 -2.039547e-04 -1.919430e-04 -8.606162e-05 -1.590154e-04
 7624.000000 -2.401724e-05 -4.196541e-06 -6.703347e-07 -7.574490e-09 -2.028698e-04 -1.932521e-04 -8.228396e-05 -1.558027e-04
 7629.000000 -2.401465e-05 -4.214664e-06 -6.744619e-07 -7.608738e-09 -2.033287e-04 -1.954564e-04 -8.438932e-05 -1.546009e-04
 7634.000000 -2.412366e-05 -4.251249e-06 -6.817345e-07 -7.670254e-09 -2.084503e-04 -1.887939e-04 -8.728303e-05 -1.513451e-04
 7639.000000 -2.418178e-05 -4.281644e-06 -6.881264e-07 -7.715432e-09 -1.997824e-04 -1.917128e-04 -8.428032e-05 -1.507886e-04
 7644.000000 -2.423888e-05 -4.309420e-06 -6.938568e-07 -7.765923e-09 -2.037778e-04 -1.956803e-04 -8.020905e-05 -1.533743e-04
 7649.000000 -2.427748e-05 -4.333748e-06 -6.990252e-07 -7.807281e-09 -2.111642e-04 -1.976111e-04 -7.768613e-05 -1.542391e-04
 7654.000000 -2.423183e-05 -4.343480e-06 -7.017275e-07 -7.820322e-09 -2.082881e-04 -1.913519e-04 -8.676522e-05 -1.546169e-04
 7659.000000 -2.433235e-05 -4.377938e-06 -7.084483e-07 -7.887082e-09 -2.110121e-04 -1.862808e-04 -8.170834e-05 -1.571902e-04
