# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.43560878054427
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4054262335
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:15:25
# Scan.end_time: 02/22/2022  16:15:50
# Scan.duration: 00:25
# Scan.transient_id: 197212
# Scan.uid: 631a9b2a-7629-4b0c-9d89-90b8afdc0db7
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.295306e-06 -5.877813e-07 -4.683376e-08 -6.970207e-11 -1.442914e-04 -1.379564e-04 -3.634622e-05 -9.838181e-05
 6444.000000 -1.254448e-05 -8.948177e-07 -7.158554e-08 -1.059893e-10 -2.183933e-04 -2.048212e-04 -5.544017e-05 -1.484151e-04
 6449.000000 -1.263396e-05 -9.075183e-07 -7.287876e-08 -1.112391e-10 -2.268479e-04 -2.033566e-04 -5.825769e-05 -1.436788e-04
 6454.000000 -1.265141e-05 -9.150928e-07 -7.373816e-08 -1.098723e-10 -2.223972e-04 -2.067290e-04 -6.560953e-05 -1.488968e-04
 6459.000000 -1.275914e-05 -9.291417e-07 -7.514927e-08 -1.144812e-10 -2.258677e-04 -2.063867e-04 -6.002242e-05 -1.500635e-04
 6464.000000 -1.281260e-05 -9.401459e-07 -7.632847e-08 -1.144496e-10 -2.227868e-04 -2.179302e-04 -6.034473e-05 -1.477283e-04
 6469.000000 -1.283517e-05 -9.481369e-07 -7.727178e-08 -1.140248e-10 -2.113903e-04 -2.197867e-04 -5.553342e-05 -1.538154e-04
 6474.000000 -1.293439e-05 -9.612714e-07 -7.866646e-08 -1.205701e-10 -2.159175e-04 -2.224287e-04 -6.261859e-05 -1.504069e-04
 6479.000000 -1.301641e-05 -9.737995e-07 -7.994663e-08 -1.242834e-10 -2.159702e-04 -2.153719e-04 -7.509589e-05 -1.539767e-04
 6484.000000 -1.308176e-05 -9.850726e-07 -8.120654e-08 -1.309520e-10 -2.119117e-04 -2.154683e-04 -6.905180e-05 -1.477944e-04
 6489.000000 -1.315674e-05 -9.973539e-07 -8.251097e-08 -1.318576e-10 -2.186962e-04 -2.181645e-04 -6.213146e-05 -1.550977e-04
