# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.30957067801
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.409298154
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:30:24
# Scan.end_time: 02/22/2022  15:30:46
# Scan.duration: 00:22
# Scan.transient_id: 197132
# Scan.uid: 9630ba9b-42e2-43e2-9b60-251a924b5650
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.307870e-09 -3.784929e-10 2.025800e-11 3.050324e-11 -1.214486e-04 -1.015023e-04 -1.543611e-05 -1.144130e-04
 8238.000000 -1.788760e-09 -3.520947e-10 3.675503e-11 4.675903e-11 -1.720004e-04 -1.545618e-04 -2.667647e-05 -1.602977e-04
 8243.000000 -1.654555e-09 1.139954e-10 4.146480e-11 4.349743e-11 -1.823646e-04 -1.588806e-04 -1.866193e-05 -1.679036e-04
 8248.000000 -1.612188e-09 -3.490647e-10 4.039102e-11 4.584892e-11 -1.821715e-04 -1.646556e-04 -1.407473e-05 -1.650134e-04
 8253.000000 -1.618782e-09 -5.376658e-10 2.109203e-11 4.695089e-11 -1.872615e-04 -1.581145e-04 -2.118224e-05 -1.646023e-04
 8258.000000 -1.623942e-09 -5.531057e-10 -2.474472e-12 4.602103e-11 -1.840852e-04 -1.513520e-04 -1.773617e-05 -1.560536e-04
 8263.000000 -1.601945e-09 -6.964846e-10 2.648575e-11 4.089146e-11 -1.868334e-04 -1.554092e-04 -1.757269e-05 -1.551075e-04
 8268.000000 -1.623047e-09 -5.164983e-10 6.171048e-11 4.360634e-11 -1.879378e-04 -1.580718e-04 -1.897116e-05 -1.506527e-04
 8273.000000 -1.634625e-09 -6.317639e-10 3.902689e-11 4.289615e-11 -1.815958e-04 -1.553794e-04 -1.715662e-05 -1.482347e-04
 8278.000000 -1.629178e-09 -6.926001e-10 -1.648231e-12 4.443542e-11 -1.809412e-04 -1.575576e-04 -1.004390e-05 -1.512229e-04
 8283.000000 -1.649768e-09 -6.698037e-10 1.752426e-11 4.448859e-11 -1.807535e-04 -1.630581e-04 -1.919181e-05 -1.589901e-04
 8288.000000 -1.665875e-09 -1.904372e-10 2.313027e-11 4.436185e-11 -1.813704e-04 -1.535748e-04 -2.348141e-05 -1.697713e-04
