# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4786023862529
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.40884039
# ISS.sample_y_position: 17.3670130285
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:42:38
# Scan.end_time: 02/22/2022  15:43:01
# Scan.duration: 00:22
# Scan.transient_id: 197153
# Scan.uid: 8815754d-37ef-4ebd-9c52-81f8b0041376
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.930535e-05 -3.808640e-06 -2.351206e-07 -2.711165e-08 -1.403932e-04 -1.362785e-04 -2.040213e-05 -6.170206e-05
 8238.000000 -2.769014e-05 -5.474418e-06 -3.384393e-07 -3.900128e-08 -2.021026e-04 -2.032655e-04 -3.457146e-05 -8.786183e-05
 8243.000000 -2.766284e-05 -5.488141e-06 -3.395727e-07 -3.908169e-08 -2.067302e-04 -1.963685e-04 -3.430905e-05 -8.742648e-05
 8248.000000 -2.761545e-05 -5.500200e-06 -3.404102e-07 -3.910205e-08 -2.090890e-04 -2.061736e-04 -3.217568e-05 -9.120535e-05
 8253.000000 -2.774776e-05 -5.543104e-06 -3.429682e-07 -3.940503e-08 -2.078979e-04 -2.114520e-04 -2.648832e-05 -9.402102e-05
 8258.000000 -2.782414e-05 -5.577860e-06 -3.450918e-07 -3.961630e-08 -2.039470e-04 -2.035590e-04 -3.234870e-05 -9.068822e-05
 8263.000000 -2.784442e-05 -5.603176e-06 -3.469160e-07 -3.971552e-08 -2.122211e-04 -2.104778e-04 -3.594457e-05 -9.587688e-05
 8268.000000 -2.785822e-05 -5.628580e-06 -3.492003e-07 -3.979976e-08 -2.045221e-04 -2.094222e-04 -3.003551e-05 -9.496680e-05
 8273.000000 -2.782581e-05 -5.648289e-06 -3.517317e-07 -3.982472e-08 -2.004608e-04 -2.030607e-04 -3.548108e-05 -1.008143e-04
 8278.000000 -2.786750e-05 -5.680731e-06 -3.557408e-07 -3.996899e-08 -1.989138e-04 -1.972468e-04 -2.755196e-05 -1.003596e-04
 8283.000000 -2.786389e-05 -5.701400e-06 -3.589113e-07 -4.005765e-08 -1.960720e-04 -1.985979e-04 -2.510800e-05 -1.008089e-04
