# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8041458848482
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4088594635
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:59:05
# Scan.end_time: 02/22/2022  15:59:30
# Scan.duration: 00:24
# Scan.transient_id: 197183
# Scan.uid: a4c338ca-9b48-4aba-9b43-eade15d5bf0a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.600582e-05 -2.765342e-06 -4.393687e-07 -4.989972e-09 -1.407396e-04 -1.143675e-04 -4.557532e-05 -9.199369e-05
 7614.000000 -2.377833e-05 -4.120063e-06 -6.556043e-07 -7.440546e-09 -2.061476e-04 -1.757363e-04 -7.311093e-05 -1.388642e-04
 7619.000000 -2.387618e-05 -4.154560e-06 -6.624167e-07 -7.496127e-09 -2.038189e-04 -1.827037e-04 -6.991941e-05 -1.413647e-04
 7624.000000 -2.397026e-05 -4.188540e-06 -6.692919e-07 -7.554267e-09 -2.050703e-04 -1.760452e-04 -6.422338e-05 -1.297135e-04
 7629.000000 -2.406705e-05 -4.222586e-06 -6.760432e-07 -7.614807e-09 -2.093506e-04 -1.716208e-04 -7.116855e-05 -1.237916e-04
 7634.000000 -2.413159e-05 -4.252261e-06 -6.821474e-07 -7.670832e-09 -2.088591e-04 -1.741571e-04 -7.117523e-05 -1.194119e-04
 7639.000000 -2.415336e-05 -4.277448e-06 -6.875942e-07 -7.702904e-09 -2.063715e-04 -1.784976e-04 -6.341037e-05 -1.227378e-04
 7644.000000 -2.417444e-05 -4.300882e-06 -6.928273e-07 -7.731575e-09 -2.149108e-04 -1.857194e-04 -6.264875e-05 -1.257190e-04
 7649.000000 -2.423905e-05 -4.328705e-06 -6.986186e-07 -7.787889e-09 -2.077942e-04 -1.882877e-04 -6.206455e-05 -1.304706e-04
 7654.000000 -2.423543e-05 -4.345993e-06 -7.025453e-07 -7.825347e-09 -2.046579e-04 -1.864717e-04 -7.063139e-05 -1.302225e-04
 7659.000000 -2.431078e-05 -4.377307e-06 -7.087140e-07 -7.864641e-09 -2.116586e-04 -1.717123e-04 -6.601794e-05 -1.259768e-04
 7664.000000 -2.434681e-05 -4.400886e-06 -7.136809e-07 -7.910107e-09 -2.110308e-04 -1.782139e-04 -7.262206e-05 -1.330595e-04
 7669.000000 -2.443365e-05 -4.433228e-06 -7.199789e-07 -7.976825e-09 -2.086819e-04 -1.739823e-04 -7.146038e-05 -1.348780e-04
 7674.000000 -2.445361e-05 -4.454724e-06 -7.244917e-07 -8.015198e-09 -2.103652e-04 -1.703307e-04 -7.023135e-05 -1.386518e-04
 7679.000000 -2.441753e-05 -4.468270e-06 -7.275282e-07 -8.046877e-09 -2.112103e-04 -1.738535e-04 -7.741302e-05 -1.409254e-04
 7683.000000 -2.439610e-05 -4.478347e-06 -7.296448e-07 -8.065170e-09 -2.169006e-04 -1.839962e-04 -7.435955e-05 -1.481360e-04
 7686.000000 -2.444390e-05 -4.496133e-06 -7.327663e-07 -8.109962e-09 -2.194141e-04 -1.814809e-04 -7.001527e-05 -1.455210e-04
 7688.000000 -2.444284e-05 -4.502672e-06 -7.339463e-07 -8.124892e-09 -2.180212e-04 -1.853673e-04 -6.391776e-05 -1.412461e-04
 7689.000000 -2.449530e-05 -4.513686e-06 -7.357242e-07 -8.148111e-09 -2.116990e-04 -1.854226e-04 -6.509420e-05 -1.456438e-04
 7689.200000 -2.452630e-05 -4.518436e-06 -7.365354e-07 -8.154472e-09 -2.047139e-04 -1.828663e-04 -6.835483e-05 -1.401989e-04
 7689.400000 -2.451712e-05 -4.520164e-06 -7.367462e-07 -8.171194e-09 -2.060999e-04 -1.880469e-04 -6.372947e-05 -1.438337e-04
 7689.600000 -2.451867e-05 -4.516748e-06 -7.360057e-07 -8.180477e-09 -2.130350e-04 -1.947803e-04 -7.089031e-05 -1.465455e-04
 7689.800000 -2.453848e-05 -4.525506e-06 -7.376292e-07 -8.221861e-09 -2.105674e-04 -1.942394e-04 -7.190435e-05 -1.419629e-04
 7690.000000 -2.454965e-05 -4.527753e-06 -7.380175e-07 -8.200100e-09 -2.062139e-04 -1.943248e-04 -6.401594e-05 -1.389561e-04
 7690.200000 -2.449321e-05 -4.518208e-06 -7.364358e-07 -8.161843e-09 -2.106252e-04 -1.995398e-04 -7.051714e-05 -1.373156e-04
 7690.400000 -2.457795e-05 -4.530059e-06 -7.384059e-07 -8.195789e-09 -2.170821e-04 -1.821117e-04 -6.178742e-05 -1.378580e-04
 7690.600000 -2.457268e-05 -4.529533e-06 -7.381219e-07 -8.219022e-09 -2.037722e-04 -1.767077e-04 -5.872553e-05 -1.361168e-04
 7690.800000 -2.459895e-05 -4.536450e-06 -7.395439e-07 -8.228277e-09 -1.993378e-04 -1.744930e-04 -6.220885e-05 -1.416778e-04
 7691.000000 -2.459925e-05 -4.538668e-06 -7.398134e-07 -8.213627e-09 -2.033915e-04 -1.800111e-04 -5.359347e-05 -1.472914e-04
 7691.200000 -2.462236e-05 -4.542197e-06 -7.404027e-07 -8.234669e-09 -2.071021e-04 -1.768100e-04 -5.695963e-05 -1.495386e-04
 7691.400000 -2.460933e-05 -4.540646e-06 -7.402469e-07 -8.225032e-09 -2.118560e-04 -1.811375e-04 -6.132118e-05 -1.479752e-04
 7691.600000 -2.460105e-05 -4.539484e-06 -7.399658e-07 -8.236739e-09 -2.110931e-04 -1.856397e-04 -6.657131e-05 -1.430082e-04
 7691.800000 -2.457220e-05 -4.537582e-06 -7.397195e-07 -8.212849e-09 -2.159248e-04 -1.900854e-04 -6.456538e-05 -1.434146e-04
 7692.000000 -2.454595e-05 -4.533841e-06 -7.389811e-07 -8.216880e-09 -2.206385e-04 -1.959348e-04 -5.563331e-05 -1.441476e-04
 7692.200000 -2.450077e-05 -4.528659e-06 -7.381710e-07 -8.190195e-09 -2.132752e-04 -1.868875e-04 -5.240146e-05 -1.298956e-04
 7692.400000 -2.455316e-05 -4.536000e-06 -7.392623e-07 -8.224632e-09 -2.070032e-04 -1.855153e-04 -5.015113e-05 -1.393606e-04
 7692.600000 -2.459748e-05 -4.543923e-06 -7.405754e-07 -8.260273e-09 -2.113685e-04 -1.849068e-04 -5.830032e-05 -1.422477e-04
 7692.800000 -2.461244e-05 -4.547443e-06 -7.412633e-07 -8.266902e-09 -2.202165e-04 -1.858293e-04 -5.200957e-05 -1.401893e-04
 7693.000000 -2.459885e-05 -4.547587e-06 -7.412388e-07 -8.255167e-09 -2.159297e-04 -1.878990e-04 -6.572506e-05 -1.399424e-04
 7693.200000 -2.461945e-05 -4.549764e-06 -7.416156e-07 -8.263567e-09 -2.137227e-04 -1.936182e-04 -6.062228e-05 -1.476576e-04
 7693.400000 -2.463025e-05 -4.552562e-06 -7.420697e-07 -8.268125e-09 -2.185454e-04 -1.955090e-04 -5.845082e-05 -1.451736e-04
 7693.600000 -2.463109e-05 -4.554818e-06 -7.422471e-07 -8.285368e-09 -2.210630e-04 -1.972927e-04 -5.974025e-05 -1.521047e-04
 7693.800000 -2.465388e-05 -4.557765e-06 -7.428060e-07 -8.293413e-09 -2.199967e-04 -1.862392e-04 -6.373682e-05 -1.465231e-04
 7694.000000 -2.465301e-05 -4.558170e-06 -7.426874e-07 -8.294288e-09 -2.238577e-04 -1.938456e-04 -7.175945e-05 -1.486514e-04
 7694.200000 -2.461074e-05 -4.553923e-06 -7.419340e-07 -8.264907e-09 -2.185299e-04 -1.941297e-04 -6.928547e-05 -1.461233e-04
 7694.400000 -2.460570e-05 -4.553518e-06 -7.416674e-07 -8.275671e-09 -2.174961e-04 -1.945480e-04 -6.944252e-05 -1.453556e-04
 7694.600000 -2.457832e-05 -4.549396e-06 -7.410822e-07 -8.264338e-09 -2.169988e-04 -1.962478e-04 -6.831868e-05 -1.455664e-04
 7694.800000 -2.456236e-05 -4.543888e-06 -7.400057e-07 -8.267866e-09 -2.188017e-04 -1.945266e-04 -6.980595e-05 -1.477046e-04
 7695.000000 -2.454827e-05 -4.547124e-06 -7.406819e-07 -8.259771e-09 -2.178858e-04 -1.907954e-04 -6.905147e-05 -1.510825e-04
 7695.200000 -2.454106e-05 -4.545660e-06 -7.403713e-07 -8.234723e-09 -2.268547e-04 -1.924213e-04 -6.565587e-05 -1.480868e-04
 7695.400000 -2.458565e-05 -4.552027e-06 -7.411960e-07 -8.274319e-09 -2.254154e-04 -1.851770e-04 -5.860377e-05 -1.397964e-04
 7695.600000 -2.457499e-05 -4.549386e-06 -7.407170e-07 -8.284010e-09 -2.197802e-04 -1.813598e-04 -5.622336e-05 -1.414453e-04
 7695.800000 -2.453089e-05 -4.548446e-06 -7.405335e-07 -8.257905e-09 -2.276074e-04 -1.886628e-04 -5.225153e-05 -1.351479e-04
 7696.000000 -2.447356e-05 -4.538649e-06 -7.388248e-07 -8.236328e-09 -2.321284e-04 -1.882494e-04 -5.927710e-05 -1.468227e-04
 7696.200000 -2.438014e-05 -4.519738e-06 -7.356866e-07 -8.228367e-09 -2.292392e-04 -1.866827e-04 -5.696989e-05 -1.557718e-04
 7696.400000 -2.444284e-05 -4.531166e-06 -7.373412e-07 -8.235988e-09 -2.209882e-04 -1.813815e-04 -5.093600e-05 -1.481725e-04
 7696.600000 -2.445992e-05 -4.534429e-06 -7.378586e-07 -8.244589e-09 -2.146758e-04 -1.849351e-04 -5.013156e-05 -1.505047e-04
 7696.800000 -2.438810e-05 -4.522126e-06 -7.358184e-07 -8.231874e-09 -2.073768e-04 -1.831634e-04 -5.388834e-05 -1.502237e-04
 7697.000000 -2.440718e-05 -4.526526e-06 -7.365269e-07 -8.251787e-09 -2.060459e-04 -1.882369e-04 -5.896711e-05 -1.390566e-04
 7697.200000 -2.441902e-05 -4.527626e-06 -7.367015e-07 -8.245118e-09 -2.116084e-04 -1.950168e-04 -7.255982e-05 -1.463393e-04
 7697.400000 -2.437731e-05 -4.521747e-06 -7.356637e-07 -8.201320e-09 -2.188460e-04 -1.968091e-04 -5.887639e-05 -1.462300e-04
 7697.600000 -2.440905e-05 -4.528528e-06 -7.366679e-07 -8.231697e-09 -2.266979e-04 -1.932854e-04 -5.762590e-05 -1.404851e-04
 7697.800000 -2.450374e-05 -4.544566e-06 -7.391707e-07 -8.272954e-09 -2.318058e-04 -1.928846e-04 -5.425342e-05 -1.473975e-04
 7698.000000 -2.449732e-05 -4.546723e-06 -7.397041e-07 -8.285956e-09 -2.322577e-04 -1.962706e-04 -6.363623e-05 -1.492543e-04
 7698.200000 -2.453338e-05 -4.551351e-06 -7.401854e-07 -8.292185e-09 -2.309525e-04 -1.887074e-04 -6.593711e-05 -1.511367e-04
 7698.400000 -2.460010e-05 -4.562410e-06 -7.419184e-07 -8.338488e-09 -2.272233e-04 -1.886614e-04 -6.029615e-05 -1.470154e-04
 7698.600000 -2.450952e-05 -4.548109e-06 -7.393110e-07 -8.304454e-09 -2.154200e-04 -2.000865e-04 -5.739867e-05 -1.477629e-04
 7698.800000 -2.446703e-05 -4.538135e-06 -7.375710e-07 -8.287789e-09 -2.169399e-04 -2.007618e-04 -5.815747e-05 -1.432959e-04
 7699.000000 -2.439698e-05 -4.523826e-06 -7.348052e-07 -8.270279e-09 -2.138856e-04 -1.983540e-04 -6.632876e-05 -1.492132e-04
 7699.200000 -2.432613e-05 -4.512882e-06 -7.328460e-07 -8.246553e-09 -2.000333e-04 -1.945415e-04 -5.654390e-05 -1.531763e-04
 7699.400000 -2.425836e-05 -4.505724e-06 -7.315657e-07 -8.220708e-09 -2.048971e-04 -1.915658e-04 -6.291812e-05 -1.403272e-04
 7699.600000 -2.422900e-05 -4.502035e-06 -7.309597e-07 -8.195031e-09 -2.125332e-04 -1.937046e-04 -7.726853e-05 -1.476318e-04
 7699.800000 -2.428472e-05 -4.514945e-06 -7.331455e-07 -8.230216e-09 -2.063872e-04 -1.937619e-04 -4.551347e-05 -1.249483e-04
 7700.000000 -2.432455e-05 -4.525677e-06 -7.347978e-07 -8.207734e-09 -2.086138e-04 -1.989057e-04 -6.645234e-05 -1.380129e-04
 7700.200000 -2.436063e-05 -4.530752e-06 -7.354478e-07 -8.265662e-09 -2.128777e-04 -1.892012e-04 -6.697351e-05 -1.497363e-04
 7700.400000 -2.435226e-05 -4.528178e-06 -7.345284e-07 -8.274221e-09 -2.132606e-04 -1.856757e-04 -6.175024e-05 -1.485500e-04
 7700.600000 -2.436429e-05 -4.530613e-06 -7.345428e-07 -8.269068e-09 -2.107950e-04 -1.808957e-04 -5.964938e-05 -1.415163e-04
 7700.800000 -2.439108e-05 -4.534613e-06 -7.351237e-07 -8.287440e-09 -2.128543e-04 -1.799191e-04 -7.532756e-05 -1.489448e-04
 7701.000000 -2.446410e-05 -4.542029e-06 -7.362490e-07 -8.305191e-09 -2.158722e-04 -1.829815e-04 -7.765402e-05 -1.534031e-04
 7701.200000 -2.452641e-05 -4.555126e-06 -7.381845e-07 -8.362913e-09 -2.162464e-04 -1.849172e-04 -6.358440e-05 -1.434820e-04
 7701.400000 -2.459586e-05 -4.567220e-06 -7.396672e-07 -8.372255e-09 -2.144738e-04 -1.850515e-04 -6.614345e-05 -1.488063e-04
 7701.600000 -2.463876e-05 -4.574741e-06 -7.405544e-07 -8.370889e-09 -2.150584e-04 -1.906045e-04 -6.543847e-05 -1.460317e-04
 7701.800000 -2.468044e-05 -4.583940e-06 -7.416418e-07 -8.419173e-09 -2.187277e-04 -1.965794e-04 -7.979137e-05 -1.451462e-04
 7702.000000 -2.469884e-05 -4.591027e-06 -7.425840e-07 -8.439010e-09 -2.293619e-04 -1.905440e-04 -6.483131e-05 -1.484400e-04
 7702.200000 -2.468915e-05 -4.592298e-06 -7.424142e-07 -8.417941e-09 -2.249251e-04 -1.783535e-04 -6.355223e-05 -1.406616e-04
 7702.400000 -2.471452e-05 -4.592093e-06 -7.419462e-07 -8.436007e-09 -2.281816e-04 -1.874320e-04 -6.835524e-05 -1.426961e-04
 7702.600000 -2.467854e-05 -4.591331e-06 -7.413781e-07 -8.426503e-09 -2.263773e-04 -1.849186e-04 -6.623702e-05 -1.487960e-04
 7702.800000 -2.466553e-05 -4.590978e-06 -7.408638e-07 -8.422882e-09 -2.206494e-04 -1.837624e-04 -7.013901e-05 -1.478263e-04
 7703.000000 -2.470035e-05 -4.594442e-06 -7.410284e-07 -8.462156e-09 -2.162214e-04 -1.836477e-04 -6.448549e-05 -1.376319e-04
 7703.200000 -2.471904e-05 -4.597153e-06 -7.411864e-07 -8.436947e-09 -2.094593e-04 -1.833703e-04 -5.973782e-05 -1.430659e-04
 7703.400000 -2.472886e-05 -4.600493e-06 -7.412728e-07 -8.445376e-09 -2.152999e-04 -1.873039e-04 -6.636255e-05 -1.449694e-04
 7703.600000 -2.475824e-05 -4.606614e-06 -7.418982e-07 -8.482384e-09 -2.177226e-04 -1.816346e-04 -7.835019e-05 -1.560180e-04
 7703.800000 -2.476299e-05 -4.606975e-06 -7.412513e-07 -8.518380e-09 -2.199824e-04 -1.797058e-04 -6.688838e-05 -1.504053e-04
 7704.000000 -2.477877e-05 -4.608674e-06 -7.407904e-07 -8.526205e-09 -2.242979e-04 -1.798894e-04 -7.547446e-05 -1.526798e-04
 7704.200000 -2.478540e-05 -4.612131e-06 -7.407740e-07 -8.533500e-09 -2.233752e-04 -1.844524e-04 -8.396441e-05 -1.456006e-04
 7704.400000 -2.477538e-05 -4.611489e-06 -7.400008e-07 -8.518300e-09 -2.242922e-04 -1.868058e-04 -7.273268e-05 -1.517272e-04
 7704.600000 -2.478002e-05 -4.612829e-06 -7.395174e-07 -8.535221e-09 -2.146728e-04 -1.902445e-04 -6.568542e-05 -1.487194e-04
 7704.800000 -2.476682e-05 -4.609391e-06 -7.381825e-07 -8.538698e-09 -2.068128e-04 -1.939931e-04 -8.400335e-05 -1.468624e-04
 7705.000000 -2.477112e-05 -4.609584e-06 -7.370798e-07 -8.544334e-09 -2.115633e-04 -1.886777e-04 -7.229308e-05 -1.341391e-04
 7705.200000 -2.476931e-05 -4.612389e-06 -7.365301e-07 -8.559728e-09 -2.095384e-04 -1.875012e-04 -7.145247e-05 -1.365337e-04
 7705.400000 -2.474144e-05 -4.608126e-06 -7.345324e-07 -8.564141e-09 -2.102312e-04 -1.890926e-04 -7.525444e-05 -1.374704e-04
 7705.600000 -2.472491e-05 -4.606298e-06 -7.332780e-07 -8.585669e-09 -2.199360e-04 -2.004550e-04 -6.150766e-05 -1.372467e-04
 7705.800000 -2.476268e-05 -4.613157e-06 -7.329824e-07 -8.571948e-09 -2.282143e-04 -1.957442e-04 -6.241173e-05 -1.416638e-04
 7706.000000 -2.472683e-05 -4.607218e-06 -7.303486e-07 -8.559609e-09 -2.307778e-04 -1.939115e-04 -6.284291e-05 -1.451810e-04
 7706.200000 -2.469912e-05 -4.605263e-06 -7.282546e-07 -8.550267e-09 -2.322140e-04 -1.987301e-04 -7.080314e-05 -1.367653e-04
 7706.400000 -2.474154e-05 -4.611348e-06 -7.268997e-07 -8.601658e-09 -2.300400e-04 -2.016631e-04 -6.432126e-05 -1.354276e-04
