# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0209803276857
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.40887853699999
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:15:59
# Scan.end_time: 02/22/2022  16:16:24
# Scan.duration: 00:25
# Scan.transient_id: 197213
# Scan.uid: c6257010-20de-433b-a3ba-632b1976d811
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.282816e-06 -5.866903e-07 -4.669916e-08 -7.016334e-11 -1.481915e-04 -1.336783e-04 -2.873529e-05 -8.711066e-05
 6444.000000 -1.259721e-05 -8.966021e-07 -7.158535e-08 -1.085787e-10 -2.239194e-04 -2.100084e-04 -3.536603e-05 -1.067608e-04
 6449.000000 -1.269804e-05 -9.098567e-07 -7.292992e-08 -1.107409e-10 -2.256155e-04 -2.104974e-04 -3.884056e-05 -9.158964e-05
 6454.000000 -1.268973e-05 -9.162014e-07 -7.377020e-08 -1.109404e-10 -2.122028e-04 -2.063966e-04 -3.887584e-05 -9.221220e-05
 6459.000000 -1.275696e-05 -9.281910e-07 -7.506205e-08 -1.126709e-10 -2.211223e-04 -2.010440e-04 -2.840566e-05 -9.262257e-05
 6464.000000 -1.283184e-05 -9.397236e-07 -7.626506e-08 -1.170272e-10 -2.213648e-04 -2.058225e-04 -3.046887e-05 -9.095486e-05
 6469.000000 -1.286718e-05 -9.485451e-07 -7.724690e-08 -1.178957e-10 -2.190683e-04 -2.024182e-04 -3.796111e-05 -9.765106e-05
 6474.000000 -1.295721e-05 -9.616719e-07 -7.860301e-08 -1.258917e-10 -2.259395e-04 -1.913144e-04 -3.653442e-05 -8.887018e-05
 6479.000000 -1.302979e-05 -9.737786e-07 -7.986450e-08 -1.282985e-10 -2.259047e-04 -2.016731e-04 -3.924842e-05 -9.032873e-05
 6484.000000 -1.308664e-05 -9.848933e-07 -8.113539e-08 -1.367221e-10 -2.197456e-04 -2.049978e-04 -3.428843e-05 -9.868334e-05
 6489.000000 -1.315756e-05 -9.970846e-07 -8.240969e-08 -1.344865e-10 -2.159877e-04 -1.982463e-04 -2.635389e-05 -9.788662e-05
