# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.99075429381423
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4088213165
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:30:54
# Scan.end_time: 02/22/2022  15:31:20
# Scan.duration: 00:25
# Scan.transient_id: 197133
# Scan.uid: b5869ba7-ec9c-4f5b-84de-3d37c5e835fe
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -9.633534e-10 -3.983996e-10 1.235716e-11 3.056981e-11 -1.273993e-04 -1.284165e-04 -1.047397e-05 -1.241167e-04
 8238.000000 -1.373027e-09 -4.738286e-10 2.136021e-13 4.338434e-11 -1.922835e-04 -1.868834e-04 -1.721476e-05 -1.807743e-04
 8243.000000 -1.207614e-09 -7.670641e-10 4.358788e-12 4.133064e-11 -1.939652e-04 -1.876469e-04 -1.910989e-05 -1.794510e-04
 8248.000000 -1.137884e-09 -7.650192e-10 3.305629e-11 4.358583e-11 -1.777168e-04 -1.801643e-04 -1.778124e-05 -1.736248e-04
 8253.000000 -1.142263e-09 -7.954960e-10 9.490541e-13 4.182992e-11 -1.845476e-04 -1.777055e-04 -1.363219e-05 -1.659974e-04
 8258.000000 -1.117319e-09 -7.494556e-10 3.067102e-12 4.495689e-11 -1.917000e-04 -1.861096e-04 -1.316160e-05 -1.576629e-04
 8263.000000 -1.209801e-09 -6.833287e-10 2.475963e-11 4.521570e-11 -1.931740e-04 -1.921823e-04 -9.142998e-06 -1.562705e-04
 8268.000000 -1.260289e-09 -5.189648e-10 2.080328e-11 4.401697e-11 -1.872632e-04 -1.917519e-04 -8.629741e-06 -1.760306e-04
 8273.000000 -1.311545e-09 -7.120181e-10 4.618263e-11 4.406468e-11 -1.852994e-04 -1.886853e-04 -8.897022e-06 -1.745896e-04
 8278.000000 -1.304385e-09 -6.197126e-10 6.354016e-11 4.216135e-11 -1.814719e-04 -1.880338e-04 -1.097824e-05 -1.637478e-04
 8283.000000 -1.200086e-09 -2.885159e-10 3.717741e-11 4.242014e-11 -1.674107e-04 -1.851072e-04 -1.648438e-05 -1.787110e-04
 8288.000000 -1.145808e-09 -7.260292e-10 9.979173e-12 4.537106e-11 -1.736784e-04 -1.821950e-04 -2.197039e-05 -1.813839e-04
