# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.0839231400422
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4089357575
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:43:09
# Scan.end_time: 02/22/2022  15:43:34
# Scan.duration: 00:24
# Scan.transient_id: 197154
# Scan.uid: a828e4b6-9786-4996-8520-d22261cba38e
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.930950e-05 -3.810245e-06 -2.353050e-07 -2.710087e-08 -1.322866e-04 -1.352582e-04 -2.558799e-05 -9.200034e-05
 8238.000000 -2.767484e-05 -5.474734e-06 -3.385851e-07 -3.894592e-08 -1.888057e-04 -1.949525e-04 -3.783831e-05 -1.227438e-04
 8243.000000 -2.777207e-05 -5.509404e-06 -3.411074e-07 -3.921204e-08 -1.829807e-04 -2.021616e-04 -3.196022e-05 -1.205274e-04
 8248.000000 -2.778197e-05 -5.530326e-06 -3.424801e-07 -3.933365e-08 -1.817299e-04 -1.978221e-04 -3.633898e-05 -1.260256e-04
 8253.000000 -2.772785e-05 -5.543091e-06 -3.431196e-07 -3.932971e-08 -1.814463e-04 -2.039213e-04 -3.563301e-05 -1.310365e-04
 8258.000000 -2.781291e-05 -5.578253e-06 -3.452385e-07 -3.952728e-08 -1.897627e-04 -2.040885e-04 -3.590398e-05 -1.300795e-04
 8263.000000 -2.790719e-05 -5.614753e-06 -3.477057e-07 -3.977500e-08 -1.830676e-04 -2.015314e-04 -4.063311e-05 -1.392691e-04
 8268.000000 -2.786085e-05 -5.629170e-06 -3.492224e-07 -3.975477e-08 -1.882879e-04 -2.050398e-04 -3.234424e-05 -1.327280e-04
 8273.000000 -2.783004e-05 -5.646310e-06 -3.515959e-07 -3.979344e-08 -1.876423e-04 -1.986242e-04 -3.071565e-05 -1.351153e-04
 8278.000000 -2.778637e-05 -5.658052e-06 -3.540336e-07 -3.981068e-08 -1.835658e-04 -1.988768e-04 -3.383263e-05 -1.407748e-04
 8283.000000 -2.787127e-05 -5.692655e-06 -3.581194e-07 -4.007921e-08 -1.868898e-04 -2.066839e-04 -3.553920e-05 -1.381472e-04
