# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.40593971596377
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4089739045
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  15:59:38
# Scan.end_time: 02/22/2022  16:00:04
# Scan.duration: 00:25
# Scan.transient_id: 197184
# Scan.uid: a453e4c3-63bc-4cac-b26b-e9c7cbdd096e
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.613477e-05 -2.779873e-06 -4.414192e-07 -5.038550e-09 -1.537941e-04 -1.378793e-04 -4.378518e-05 -9.272566e-05
 7614.000000 -2.387460e-05 -4.127451e-06 -6.564428e-07 -7.474609e-09 -2.364792e-04 -2.051995e-04 -7.236237e-05 -1.339388e-04
 7619.000000 -2.403632e-05 -4.172651e-06 -6.649854e-07 -7.550394e-09 -2.325885e-04 -2.110549e-04 -6.615352e-05 -1.400762e-04
 7624.000000 -2.406109e-05 -4.195967e-06 -6.700958e-07 -7.587212e-09 -2.319950e-04 -2.159700e-04 -5.842968e-05 -1.245515e-04
 7629.000000 -2.406877e-05 -4.215140e-06 -6.744964e-07 -7.613571e-09 -2.327565e-04 -2.195200e-04 -6.004108e-05 -1.066592e-04
 7634.000000 -2.418864e-05 -4.251033e-06 -6.816441e-07 -7.689361e-09 -2.315741e-04 -2.134574e-04 -7.260297e-05 -1.029061e-04
 7639.000000 -2.416885e-05 -4.267443e-06 -6.854353e-07 -7.709678e-09 -2.223389e-04 -2.090664e-04 -6.562420e-05 -1.057653e-04
 7644.000000 -2.412875e-05 -4.282146e-06 -6.890419e-07 -7.718133e-09 -2.281276e-04 -2.049484e-04 -6.508938e-05 -1.039191e-04
 7649.000000 -2.421417e-05 -4.316073e-06 -6.959360e-07 -7.777302e-09 -2.264496e-04 -1.958982e-04 -7.067280e-05 -1.110928e-04
 7654.000000 -2.424339e-05 -4.337741e-06 -7.007178e-07 -7.820032e-09 -2.238669e-04 -1.938540e-04 -7.397163e-05 -1.381262e-04
 7659.000000 -2.435971e-05 -4.375217e-06 -7.079168e-07 -7.893845e-09 -2.248145e-04 -1.880939e-04 -7.882650e-05 -1.393164e-04
