# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.647957117732
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.4089739045
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:16:33
# Scan.end_time: 02/22/2022  16:16:56
# Scan.duration: 00:22
# Scan.transient_id: 197214
# Scan.uid: 9c55160d-05ed-4c74-9a81-54dffff206bd
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.255007e-06 -5.841530e-07 -4.651806e-08 -6.950447e-11 -1.462865e-04 -1.313398e-04 -2.340041e-05 -1.041326e-04
 6444.000000 -1.255284e-05 -8.929961e-07 -7.129156e-08 -1.053642e-10 -2.291930e-04 -2.058257e-04 -4.478584e-05 -1.556622e-04
 6449.000000 -1.265247e-05 -9.063303e-07 -7.262305e-08 -1.091348e-10 -2.304494e-04 -2.054375e-04 -4.516016e-05 -1.545343e-04
 6454.000000 -1.265560e-05 -9.132279e-07 -7.345172e-08 -1.105703e-10 -2.234547e-04 -2.096494e-04 -3.755835e-05 -1.516943e-04
 6459.000000 -1.273370e-05 -9.259205e-07 -7.482455e-08 -1.115682e-10 -2.115165e-04 -2.106989e-04 -4.564837e-05 -1.527190e-04
 6464.000000 -1.278838e-05 -9.364733e-07 -7.596558e-08 -1.191390e-10 -2.159579e-04 -2.034161e-04 -4.115614e-05 -1.575679e-04
 6469.000000 -1.282182e-05 -9.451125e-07 -7.692949e-08 -1.226042e-10 -2.272750e-04 -1.981534e-04 -4.256156e-05 -1.597423e-04
 6474.000000 -1.291627e-05 -9.582871e-07 -7.825408e-08 -1.269399e-10 -2.352009e-04 -2.070747e-04 -3.762492e-05 -1.610236e-04
 6479.000000 -1.299579e-05 -9.710132e-07 -7.960494e-08 -1.306616e-10 -2.291484e-04 -2.070093e-04 -3.772209e-05 -1.493593e-04
 6484.000000 -1.304288e-05 -9.813388e-07 -8.079459e-08 -1.301960e-10 -2.277480e-04 -2.045734e-04 -4.009745e-05 -1.434080e-04
 6489.000000 -1.310190e-05 -9.925407e-07 -8.204616e-08 -1.349432e-10 -2.275508e-04 -2.010045e-04 -3.470276e-05 -1.404671e-04
 6494.000000 -1.317519e-05 -1.004560e-06 -8.333005e-08 -1.370923e-10 -2.256916e-04 -2.019343e-04 -2.830909e-05 -1.438618e-04
 6499.000000 -1.323865e-05 -1.016139e-06 -8.458417e-08 -1.378145e-10 -2.258923e-04 -2.038078e-04 -2.971048e-05 -1.441720e-04
 6504.000000 -1.328045e-05 -1.026059e-06 -8.577168e-08 -1.405847e-10 -2.190867e-04 -2.021067e-04 -3.748904e-05 -1.413843e-04
 6509.000000 -1.328214e-05 -1.033713e-06 -8.675816e-08 -1.453815e-10 -2.096630e-04 -1.902666e-04 -5.656868e-05 -1.438699e-04
 6513.000000 -1.324318e-05 -1.036707e-06 -8.726762e-08 -1.494942e-10 -2.056563e-04 -1.869327e-04 -4.310097e-05 -1.386034e-04
 6516.000000 -1.337464e-05 -1.051290e-06 -8.872474e-08 -1.554086e-10 -2.074204e-04 -1.834237e-04 -3.836831e-05 -1.417347e-04
 6518.000000 -1.338712e-05 -1.055316e-06 -8.922838e-08 -1.578178e-10 -2.159337e-04 -1.813443e-04 -4.112282e-05 -1.458758e-04
 6519.000000 -1.337593e-05 -1.056137e-06 -8.931095e-08 -1.577989e-10 -2.184959e-04 -1.806012e-04 -4.162265e-05 -1.534885e-04
 6519.200000 -1.337537e-05 -1.056509e-06 -8.923786e-08 -1.577367e-10 -2.171761e-04 -1.735875e-04 -4.419094e-05 -1.537727e-04
 6519.400000 -1.339308e-05 -1.058436e-06 -8.957278e-08 -1.607064e-10 -2.080401e-04 -1.818056e-04 -4.117218e-05 -1.474023e-04
 6519.600000 -1.341910e-05 -1.059530e-06 -8.953050e-08 -1.617743e-10 -2.064258e-04 -1.885277e-04 -4.446576e-05 -1.494384e-04
 6519.800000 -1.342316e-05 -1.060624e-06 -8.973633e-08 -1.609402e-10 -2.076717e-04 -1.884778e-04 -3.913697e-05 -1.517625e-04
 6520.000000 -1.343219e-05 -1.061235e-06 -8.985902e-08 -1.490689e-10 -2.114281e-04 -1.868691e-04 -2.100259e-05 -1.562820e-04
 6520.200000 -1.340697e-05 -1.060317e-06 -8.963256e-08 -1.554208e-10 -2.177399e-04 -1.963981e-04 -2.297834e-05 -1.561865e-04
 6520.400000 -1.343150e-05 -1.061708e-06 -8.977753e-08 -1.590421e-10 -2.186895e-04 -1.972123e-04 -3.208382e-05 -1.554967e-04
 6520.600000 -1.343406e-05 -1.062316e-06 -8.990096e-08 -1.581599e-10 -2.226668e-04 -1.935729e-04 -4.835610e-05 -1.562375e-04
 6520.800000 -1.344115e-05 -1.062590e-06 -9.001288e-08 -1.591326e-10 -2.175311e-04 -1.884800e-04 -3.452053e-05 -1.520171e-04
 6521.000000 -1.345196e-05 -1.063821e-06 -9.026939e-08 -1.659088e-10 -2.156377e-04 -1.851238e-04 -3.677913e-05 -1.551160e-04
 6521.200000 -1.345612e-05 -1.063692e-06 -9.028843e-08 -1.625949e-10 -2.161536e-04 -1.909876e-04 -3.047394e-05 -1.467559e-04
 6521.400000 -1.344777e-05 -1.063834e-06 -9.012551e-08 -1.589626e-10 -2.172191e-04 -1.837677e-04 -3.654720e-05 -1.413865e-04
 6521.600000 -1.345351e-05 -1.064462e-06 -9.018601e-08 -1.585444e-10 -2.164611e-04 -1.811302e-04 -3.325763e-05 -1.534093e-04
 6521.800000 -1.345146e-05 -1.065476e-06 -9.030202e-08 -1.409616e-10 -2.194006e-04 -1.802741e-04 -4.291599e-05 -1.585842e-04
