# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4716721966465
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408954831
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:31:28
# Scan.end_time: 02/22/2022  15:31:54
# Scan.duration: 00:25
# Scan.transient_id: 197134
# Scan.uid: 8e2a0863-f5a4-4cef-90af-78a9dea5f6c6
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -7.870477e-10 -4.898565e-10 2.844980e-11 2.899077e-11 -1.256514e-04 -1.328249e-04 -3.719770e-05 -1.211669e-04
 8238.000000 -1.009059e-09 -7.459391e-10 4.246134e-11 3.988854e-11 -1.875128e-04 -1.913351e-04 -4.475110e-05 -1.733884e-04
 8243.000000 -1.107579e-09 -7.861061e-10 4.335377e-11 4.038032e-11 -1.819577e-04 -1.916924e-04 -3.782318e-05 -1.650081e-04
 8248.000000 -1.122659e-09 -6.115470e-10 1.056117e-11 3.861040e-11 -1.793454e-04 -1.869965e-04 -3.838183e-05 -1.688833e-04
 8253.000000 -1.125566e-09 -8.575447e-10 1.743831e-11 3.691103e-11 -1.752096e-04 -1.928807e-04 -3.298522e-05 -1.825770e-04
 8258.000000 -1.142365e-09 -6.907307e-10 1.356138e-11 3.925641e-11 -1.775858e-04 -2.014254e-04 -3.542842e-05 -1.747912e-04
 8263.000000 -1.152681e-09 -5.542517e-10 -2.430319e-11 4.028024e-11 -1.742024e-04 -1.921038e-04 -3.690480e-05 -1.644803e-04
 8268.000000 -1.292778e-09 -4.155706e-10 7.909499e-12 4.116321e-11 -1.743158e-04 -1.860274e-04 -4.156127e-05 -1.669531e-04
 8273.000000 -1.289304e-09 -7.307697e-10 4.471419e-11 3.818033e-11 -1.754707e-04 -1.918917e-04 -3.692398e-05 -1.641962e-04
 8278.000000 -1.068391e-09 -2.875759e-10 4.783071e-11 3.450359e-11 -1.743064e-04 -1.829397e-04 -3.188893e-05 -1.643437e-04
 8283.000000 -1.082745e-09 -2.376010e-10 9.755672e-12 3.683991e-11 -1.832250e-04 -1.927553e-04 -3.339507e-05 -1.741675e-04
 8288.000000 -1.266637e-09 -3.767697e-10 3.291442e-11 4.349385e-11 -1.835296e-04 -1.919276e-04 -3.929695e-05 -1.735013e-04
