# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.6883969299689
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:43:42
# Scan.end_time: 02/22/2022  15:44:04
# Scan.duration: 00:22
# Scan.transient_id: 197155
# Scan.uid: a993be9c-f1fd-4324-ad56-936c82dcd02c
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.922306e-05 -3.792743e-06 -2.341933e-07 -2.697917e-08 -1.524791e-04 -1.249566e-04 -3.311196e-05 -7.869530e-05
 8238.000000 -2.761820e-05 -5.463099e-06 -3.378597e-07 -3.887591e-08 -2.187498e-04 -1.721533e-04 -5.855181e-05 -1.111165e-04
 8243.000000 -2.762518e-05 -5.485688e-06 -3.396563e-07 -3.899254e-08 -2.262323e-04 -1.701067e-04 -6.129206e-05 -1.121093e-04
 8248.000000 -2.753305e-05 -5.488257e-06 -3.399270e-07 -3.896237e-08 -2.284648e-04 -1.766482e-04 -4.953878e-05 -1.205704e-04
 8253.000000 -2.767168e-05 -5.531423e-06 -3.425046e-07 -3.926786e-08 -2.246875e-04 -1.747635e-04 -5.672919e-05 -1.190680e-04
 8258.000000 -2.775583e-05 -5.565886e-06 -3.445869e-07 -3.947586e-08 -2.177656e-04 -1.747008e-04 -4.695915e-05 -1.084982e-04
 8263.000000 -2.780245e-05 -5.595115e-06 -3.465073e-07 -3.963760e-08 -2.320847e-04 -1.833805e-04 -5.103730e-05 -1.116613e-04
 8268.000000 -2.780729e-05 -5.617443e-06 -3.485088e-07 -3.969337e-08 -2.343308e-04 -1.837773e-04 -5.219605e-05 -1.101046e-04
 8273.000000 -2.783526e-05 -5.642938e-06 -3.513932e-07 -3.983192e-08 -2.289527e-04 -1.792689e-04 -4.921209e-05 -1.083612e-04
 8278.000000 -2.777073e-05 -5.651771e-06 -3.536343e-07 -3.984415e-08 -2.229680e-04 -1.737674e-04 -3.764655e-05 -1.159202e-04
 8283.000000 -2.779990e-05 -5.677531e-06 -3.571448e-07 -3.998670e-08 -2.239759e-04 -1.785623e-04 -4.278798e-05 -1.153932e-04
 8288.000000 -2.787250e-05 -5.711494e-06 -3.613111e-07 -4.022343e-08 -2.250951e-04 -1.904078e-04 -3.852368e-05 -1.063960e-04
 8293.000000 -2.781282e-05 -5.720194e-06 -3.637093e-07 -4.028430e-08 -2.265015e-04 -1.829446e-04 -4.111568e-05 -1.025402e-04
 8298.000000 -2.782260e-05 -5.740247e-06 -3.668164e-07 -4.047637e-08 -2.234222e-04 -1.819440e-04 -3.189287e-05 -1.001650e-04
 8303.000000 -2.783892e-05 -5.758062e-06 -3.697509e-07 -4.070440e-08 -2.326196e-04 -1.873352e-04 -2.891148e-05 -1.063266e-04
 8307.000000 -2.790759e-05 -5.783264e-06 -3.726618e-07 -4.099202e-08 -2.224119e-04 -1.907841e-04 -3.388246e-05 -1.127761e-04
 8310.000000 -2.791431e-05 -5.795098e-06 -3.743836e-07 -4.116551e-08 -2.179697e-04 -1.916841e-04 -4.018328e-05 -1.062471e-04
 8312.000000 -2.785480e-05 -5.791374e-06 -3.747499e-07 -4.119091e-08 -2.099225e-04 -1.858586e-04 -5.270784e-05 -1.050137e-04
 8313.000000 -2.791537e-05 -5.804964e-06 -3.759974e-07 -4.136493e-08 -2.049884e-04 -1.820223e-04 -5.202538e-05 -1.109004e-04
 8313.200000 -2.792120e-05 -5.805965e-06 -3.760783e-07 -4.136437e-08 -2.089702e-04 -1.857329e-04 -4.601763e-05 -1.106778e-04
 8313.400000 -2.794307e-05 -5.813235e-06 -3.763528e-07 -4.142233e-08 -1.998879e-04 -1.867102e-04 -4.603134e-05 -1.157673e-04
 8313.600000 -2.799254e-05 -5.822916e-06 -3.771201e-07 -4.151523e-08 -2.078105e-04 -1.777887e-04 -5.008701e-05 -1.083422e-04
 8313.800000 -2.792879e-05 -5.809929e-06 -3.763954e-07 -4.143174e-08 -2.104513e-04 -1.818631e-04 -5.487032e-05 -1.094315e-04
 8314.000000 -2.791009e-05 -5.806324e-06 -3.762069e-07 -4.137443e-08 -2.120116e-04 -1.830115e-04 -5.025267e-05 -1.020740e-04
 8314.200000 -2.793209e-05 -5.808006e-06 -3.763635e-07 -4.148102e-08 -2.173412e-04 -1.902676e-04 -4.033198e-05 -9.585132e-05
 8314.400000 -2.791562e-05 -5.805050e-06 -3.763426e-07 -4.145827e-08 -2.145841e-04 -1.847734e-04 -4.741269e-05 -1.000603e-04
 8314.600000 -2.797634e-05 -5.819207e-06 -3.772995e-07 -4.152296e-08 -2.179601e-04 -1.853471e-04 -4.495473e-05 -9.056707e-05
 8314.800000 -2.801905e-05 -5.824100e-06 -3.777778e-07 -4.160444e-08 -2.105205e-04 -1.833706e-04 -5.219915e-05 -1.002310e-04
 8315.000000 -2.800832e-05 -5.827343e-06 -3.780066e-07 -4.162261e-08 -2.178504e-04 -1.821259e-04 -5.176068e-05 -1.021286e-04
 8315.200000 -2.798467e-05 -5.823132e-06 -3.778083e-07 -4.162456e-08 -2.216795e-04 -1.813475e-04 -4.830004e-05 -9.378457e-05
 8315.400000 -2.795859e-05 -5.818131e-06 -3.773912e-07 -4.157668e-08 -2.159523e-04 -1.737133e-04 -3.395943e-05 -8.971272e-05
 8315.600000 -2.795951e-05 -5.820241e-06 -3.775965e-07 -4.151515e-08 -2.163433e-04 -1.809546e-04 -3.528565e-05 -9.797547e-05
 8315.800000 -2.796398e-05 -5.816815e-06 -3.775196e-07 -4.162085e-08 -2.169034e-04 -1.920109e-04 -3.772592e-05 -1.027786e-04
 8316.000000 -2.798800e-05 -5.823410e-06 -3.778959e-07 -4.171065e-08 -2.202911e-04 -1.910993e-04 -4.272033e-05 -1.075796e-04
 8316.200000 -2.798176e-05 -5.822556e-06 -3.780873e-07 -4.171649e-08 -2.180405e-04 -1.906320e-04 -4.064776e-05 -1.127025e-04
