# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.9904640926996
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:00:12
# Scan.end_time: 02/22/2022  16:00:38
# Scan.duration: 00:25
# Scan.transient_id: 197185
# Scan.uid: 02a530c9-8095-44ec-8ff6-0a80cec6191f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.611023e-05 -2.774710e-06 -4.406582e-07 -5.029024e-09 -1.470798e-04 -1.346261e-04 -5.091407e-05 -9.857003e-05
 7614.000000 -2.382444e-05 -4.117438e-06 -6.549581e-07 -7.463849e-09 -2.243553e-04 -2.022186e-04 -6.590091e-05 -1.411167e-04
 7619.000000 -2.386785e-05 -4.144633e-06 -6.605598e-07 -7.487271e-09 -2.184159e-04 -1.995285e-04 -6.117524e-05 -1.390826e-04
 7624.000000 -2.385517e-05 -4.161827e-06 -6.646590e-07 -7.509947e-09 -2.194654e-04 -1.994987e-04 -6.282881e-05 -1.374678e-04
 7629.000000 -2.386947e-05 -4.184282e-06 -6.696112e-07 -7.548380e-09 -2.205222e-04 -1.934939e-04 -6.780801e-05 -1.113968e-04
 7634.000000 -2.398418e-05 -4.221555e-06 -6.768870e-07 -7.622256e-09 -2.170041e-04 -1.998196e-04 -6.232919e-05 -1.017955e-04
 7639.000000 -2.408702e-05 -4.255346e-06 -6.835783e-07 -7.678682e-09 -2.106919e-04 -2.121091e-04 -6.512530e-05 -1.057315e-04
 7644.000000 -2.413467e-05 -4.280694e-06 -6.889073e-07 -7.732136e-09 -2.127847e-04 -2.072210e-04 -6.422437e-05 -1.056866e-04
 7649.000000 -2.413134e-05 -4.297813e-06 -6.929028e-07 -7.755690e-09 -2.157091e-04 -2.129420e-04 -5.297204e-05 -1.023832e-04
 7654.000000 -2.418822e-05 -4.324372e-06 -6.985169e-07 -7.805281e-09 -2.233491e-04 -2.137825e-04 -6.442789e-05 -1.006280e-04
 7659.000000 -2.424612e-05 -4.354522e-06 -7.045352e-07 -7.857971e-09 -2.148431e-04 -2.022228e-04 -6.483501e-05 -1.133924e-04
 7664.000000 -2.423029e-05 -4.370044e-06 -7.081837e-07 -7.881705e-09 -2.076492e-04 -2.155656e-04 -5.712751e-05 -1.208812e-04
 7669.000000 -2.409077e-05 -4.365364e-06 -7.083954e-07 -7.860591e-09 -2.133187e-04 -2.143080e-04 -7.094913e-05 -1.312481e-04
 7674.000000 -2.425094e-05 -4.410098e-06 -7.167625e-07 -7.953840e-09 -2.149606e-04 -2.077737e-04 -6.494152e-05 -1.515940e-04
 7679.000000 -2.437363e-05 -4.449080e-06 -7.239833e-07 -8.036204e-09 -2.111066e-04 -2.077955e-04 -5.030842e-05 -1.430374e-04
 7683.000000 -2.440971e-05 -4.469459e-06 -7.278939e-07 -8.081898e-09 -2.190816e-04 -2.037496e-04 -4.634397e-05 -1.576970e-04
