# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.2860168835087
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:17:05
# Scan.end_time: 02/22/2022  16:17:30
# Scan.duration: 00:24
# Scan.transient_id: 197215
# Scan.uid: 6a7410a9-bd67-4ca5-99ac-6287b830723f
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.291850e-06 -5.871528e-07 -4.678440e-08 -7.084698e-11 -1.383407e-04 -1.384186e-04 -2.777020e-05 -8.927723e-05
 6444.000000 -1.257674e-05 -8.955335e-07 -7.155596e-08 -1.087422e-10 -2.074814e-04 -2.069851e-04 -4.578024e-05 -1.187102e-04
 6449.000000 -1.264571e-05 -9.070899e-07 -7.275422e-08 -1.130305e-10 -2.139832e-04 -1.954707e-04 -4.115994e-05 -1.493887e-04
 6454.000000 -1.264173e-05 -9.137320e-07 -7.357803e-08 -1.141255e-10 -2.086287e-04 -1.962287e-04 -4.023085e-05 -1.478130e-04
 6459.000000 -1.275793e-05 -9.281060e-07 -7.502498e-08 -1.175129e-10 -2.058720e-04 -1.950215e-04 -4.323357e-05 -1.472083e-04
 6464.000000 -1.283732e-05 -9.399310e-07 -7.625601e-08 -1.162234e-10 -2.124261e-04 -1.945699e-04 -4.143984e-05 -1.463055e-04
 6469.000000 -1.287537e-05 -9.485833e-07 -7.726728e-08 -1.195941e-10 -2.088700e-04 -2.052172e-04 -3.353659e-05 -1.458488e-04
 6474.000000 -1.296744e-05 -9.622665e-07 -7.867303e-08 -1.235052e-10 -2.086815e-04 -2.031746e-04 -3.371301e-05 -1.468976e-04
 6479.000000 -1.305154e-05 -9.749383e-07 -7.997637e-08 -1.282663e-10 -2.064690e-04 -2.060553e-04 -4.063795e-05 -1.463868e-04
 6484.000000 -1.312980e-05 -9.869764e-07 -8.128329e-08 -1.328821e-10 -1.989834e-04 -2.115943e-04 -3.831255e-05 -1.508584e-04
 6489.000000 -1.320701e-05 -9.992426e-07 -8.256725e-08 -1.372837e-10 -2.019776e-04 -2.135782e-04 -4.050074e-05 -1.543502e-04
 6494.000000 -1.327299e-05 -1.011125e-06 -8.385859e-08 -1.398227e-10 -2.028037e-04 -2.037598e-04 -5.265535e-05 -1.436588e-04
 6499.000000 -1.333183e-05 -1.022179e-06 -8.508290e-08 -1.396525e-10 -2.045736e-04 -1.996788e-04 -5.155958e-05 -1.349703e-04
 6504.000000 -1.339248e-05 -1.033634e-06 -8.633300e-08 -1.456449e-10 -2.018092e-04 -1.926420e-04 -5.431763e-05 -1.587238e-04
 6509.000000 -1.341292e-05 -1.042142e-06 -8.736782e-08 -1.481926e-10 -2.068926e-04 -1.942499e-04 -5.462124e-05 -1.619190e-04
 6513.000000 -1.337229e-05 -1.045233e-06 -8.790848e-08 -1.527717e-10 -1.964944e-04 -1.977452e-04 -5.422233e-05 -1.375642e-04
 6516.000000 -1.353007e-05 -1.060885e-06 -8.945963e-08 -1.569105e-10 -1.993988e-04 -2.058687e-04 -5.977612e-05 -1.077382e-04
 6518.000000 -1.356326e-05 -1.066027e-06 -9.003103e-08 -1.558456e-10 -1.925310e-04 -1.964014e-04 -5.809861e-05 -1.016068e-04
 6519.000000 -1.358212e-05 -1.068672e-06 -9.035017e-08 -1.579159e-10 -1.849645e-04 -1.988955e-04 -5.769021e-05 -9.907371e-05
 6519.200000 -1.357890e-05 -1.069074e-06 -9.037279e-08 -1.548642e-10 -1.900828e-04 -1.992609e-04 -5.995133e-05 -9.637480e-05
 6519.400000 -1.358465e-05 -1.070129e-06 -9.050672e-08 -1.541460e-10 -1.972900e-04 -2.007271e-04 -5.832925e-05 -1.020690e-04
 6519.600000 -1.359066e-05 -1.069729e-06 -9.054409e-08 -1.727792e-10 -1.876496e-04 -1.976549e-04 -5.875172e-05 -1.052876e-04
 6519.800000 -1.359240e-05 -1.070800e-06 -9.051529e-08 -1.598807e-10 -1.886504e-04 -2.062578e-04 -5.980312e-05 -9.925790e-05
 6520.000000 -1.359670e-05 -1.071238e-06 -9.053460e-08 -1.542570e-10 -1.929106e-04 -2.073875e-04 -5.662417e-05 -9.663862e-05
 6520.200000 -1.359418e-05 -1.071735e-06 -9.071399e-08 -1.586734e-10 -2.005166e-04 -2.043023e-04 -5.936979e-05 -9.863714e-05
 6520.400000 -1.359025e-05 -1.071893e-06 -9.075533e-08 -1.563438e-10 -2.058885e-04 -2.061635e-04 -5.075482e-05 -9.109618e-05
 6520.600000 -1.359082e-05 -1.071962e-06 -9.076799e-08 -1.595148e-10 -2.134922e-04 -1.980086e-04 -5.967986e-05 -9.070696e-05
 6520.800000 -1.358806e-05 -1.071443e-06 -9.071741e-08 -1.609135e-10 -2.083433e-04 -1.876316e-04 -6.747763e-05 -8.786164e-05
