# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.09658161419645
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:32:02
# Scan.end_time: 02/22/2022  15:32:25
# Scan.duration: 00:23
# Scan.transient_id: 197135
# Scan.uid: fffdc0bb-7560-47db-b495-e70bc4316f1a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -8.267814e-10 -4.423487e-10 -4.774656e-12 2.667104e-11 -1.164532e-04 -1.362471e-04 -1.988780e-05 -1.077592e-04
 8238.000000 -1.186852e-09 -5.040525e-10 1.430514e-11 3.694099e-11 -1.698844e-04 -1.982768e-04 -2.775287e-05 -1.615400e-04
 8243.000000 -1.172802e-09 -4.208430e-10 4.043740e-11 3.761028e-11 -1.736314e-04 -1.848007e-04 -2.428791e-05 -1.507310e-04
 8248.000000 -1.220602e-09 -2.921433e-10 2.766303e-12 4.031829e-11 -1.763142e-04 -1.911612e-04 -3.002236e-05 -1.490983e-04
 8253.000000 -1.155449e-09 -3.064446e-10 1.069635e-11 3.837987e-11 -1.746593e-04 -1.921851e-04 -2.542859e-05 -1.413302e-04
 8258.000000 -1.125333e-09 -1.722103e-10 2.324283e-11 4.124474e-11 -1.829438e-04 -1.922011e-04 -2.696709e-05 -1.478776e-04
 8263.000000 -1.207675e-09 -4.248663e-10 -2.402327e-11 4.006107e-11 -1.861830e-04 -2.020084e-04 -2.920262e-05 -1.484093e-04
 8268.000000 -1.153009e-09 -6.512765e-10 1.028248e-12 4.489158e-11 -1.778953e-04 -1.982894e-04 -2.464342e-05 -1.411322e-04
 8273.000000 -1.110740e-09 -5.629726e-10 3.254770e-11 4.122787e-11 -1.742783e-04 -1.884026e-04 -2.744824e-05 -1.370306e-04
 8278.000000 -9.970202e-10 -3.720900e-10 1.217185e-11 4.057727e-11 -1.838664e-04 -1.785792e-04 -3.867934e-05 -1.423364e-04
 8283.000000 -1.007141e-09 -4.728787e-10 7.440242e-12 4.317804e-11 -1.801076e-04 -1.857843e-04 -2.652898e-05 -1.399499e-04
 8288.000000 -1.010782e-09 -7.514854e-10 8.475448e-13 4.243262e-11 -1.741368e-04 -1.920993e-04 -2.653571e-05 -1.435391e-04
 8293.000000 -1.156244e-09 -4.956758e-10 -1.782593e-13 4.229276e-11 -1.707954e-04 -1.955027e-04 -3.112846e-05 -1.507170e-04
 8298.000000 -1.225662e-09 -3.288173e-10 -2.602338e-12 4.389719e-11 -1.698752e-04 -1.965812e-04 -3.990250e-05 -1.536099e-04
 8303.000000 -1.254892e-09 -6.003456e-10 -1.613434e-11 4.427981e-11 -1.650959e-04 -1.904695e-04 -3.512594e-05 -1.575160e-04
 8307.000000 -1.317641e-09 -5.747344e-10 3.177417e-12 4.242061e-11 -1.697858e-04 -1.941371e-04 -2.910297e-05 -1.523779e-04
