# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.35080222618234
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.3670130285
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:44:12
# Scan.end_time: 02/22/2022  15:44:36
# Scan.duration: 00:23
# Scan.transient_id: 197156
# Scan.uid: 36062a54-0cf9-4582-bde5-ff3265142510
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.934347e-05 -3.812900e-06 -2.353041e-07 -2.715895e-08 -1.247529e-04 -1.230506e-04 -4.049628e-05 -7.785746e-05
 8238.000000 -2.777602e-05 -5.486596e-06 -3.390779e-07 -3.911782e-08 -1.711571e-04 -1.805015e-04 -7.000319e-05 -1.003257e-04
 8243.000000 -2.781500e-05 -5.511771e-06 -3.409803e-07 -3.927576e-08 -1.726006e-04 -1.790109e-04 -6.528873e-05 -1.006049e-04
 8248.000000 -2.778814e-05 -5.528939e-06 -3.422204e-07 -3.932981e-08 -1.758231e-04 -1.720902e-04 -6.158387e-05 -1.006628e-04
 8253.000000 -2.771972e-05 -5.543537e-06 -3.432349e-07 -3.928111e-08 -1.811829e-04 -1.699953e-04 -5.652727e-05 -1.020877e-04
 8258.000000 -2.759960e-05 -5.543654e-06 -3.431838e-07 -3.917734e-08 -1.801710e-04 -1.788462e-04 -4.801473e-05 -1.009693e-04
 8263.000000 -2.783242e-05 -5.605382e-06 -3.472080e-07 -3.963421e-08 -1.869887e-04 -1.748764e-04 -3.522368e-05 -9.876290e-05
 8268.000000 -2.790048e-05 -5.638417e-06 -3.499801e-07 -3.979205e-08 -1.864917e-04 -1.727320e-04 -3.460386e-05 -1.021079e-04
 8273.000000 -2.790466e-05 -5.660570e-06 -3.525760e-07 -3.989399e-08 -1.935172e-04 -1.759965e-04 -3.857177e-05 -9.849648e-05
 8278.000000 -2.782666e-05 -5.668169e-06 -3.547202e-07 -3.986360e-08 -1.901402e-04 -1.761704e-04 -3.924975e-05 -1.019944e-04
 8283.000000 -2.786372e-05 -5.694004e-06 -3.582459e-07 -4.006004e-08 -1.950353e-04 -1.707963e-04 -3.513869e-05 -1.018222e-04
