# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.59079583574174
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.3669748815
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:00:46
# Scan.end_time: 02/22/2022  16:01:11
# Scan.duration: 00:24
# Scan.transient_id: 197186
# Scan.uid: 3254054c-8358-4e55-b90d-f29498003cb8
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.614595e-05 -2.784815e-06 -4.425926e-07 -5.035402e-09 -1.360721e-04 -1.149390e-04 -3.212364e-05 -9.454896e-05
 7614.000000 -2.379527e-05 -4.119625e-06 -6.556721e-07 -7.442629e-09 -1.943698e-04 -1.683403e-04 -5.768698e-05 -1.423508e-04
 7619.000000 -2.400153e-05 -4.170193e-06 -6.650147e-07 -7.534799e-09 -1.872898e-04 -1.672860e-04 -5.596584e-05 -1.368971e-04
 7624.000000 -2.404914e-05 -4.194922e-06 -6.701490e-07 -7.579688e-09 -1.903568e-04 -1.803538e-04 -4.750712e-05 -1.368463e-04
 7629.000000 -2.405962e-05 -4.215431e-06 -6.747848e-07 -7.610393e-09 -1.932471e-04 -1.802647e-04 -4.963454e-05 -1.381439e-04
 7634.000000 -2.415410e-05 -4.248227e-06 -6.813756e-07 -7.676468e-09 -1.942202e-04 -1.763227e-04 -5.059810e-05 -1.376921e-04
 7639.000000 -2.423125e-05 -4.279231e-06 -6.877115e-07 -7.726456e-09 -1.937134e-04 -1.695258e-04 -5.121776e-05 -1.411593e-04
 7644.000000 -2.426073e-05 -4.302413e-06 -6.926657e-07 -7.772861e-09 -1.954704e-04 -1.729930e-04 -5.317294e-05 -1.337943e-04
 7649.000000 -2.427585e-05 -4.321883e-06 -6.969993e-07 -7.799330e-09 -1.986098e-04 -1.704021e-04 -5.637011e-05 -1.386645e-04
 7654.000000 -2.428597e-05 -4.340838e-06 -7.012172e-07 -7.828757e-09 -2.046100e-04 -1.759941e-04 -4.595829e-05 -1.438090e-04
 7659.000000 -2.440655e-05 -4.379579e-06 -7.085946e-07 -7.902918e-09 -2.071931e-04 -1.768415e-04 -4.283894e-05 -1.396872e-04
 7664.000000 -2.446070e-05 -4.405774e-06 -7.138724e-07 -7.961928e-09 -2.071740e-04 -1.769164e-04 -5.030550e-05 -1.366276e-04
 7669.000000 -2.441552e-05 -4.416285e-06 -7.164773e-07 -7.974835e-09 -2.100277e-04 -1.808266e-04 -4.446377e-05 -1.311703e-04
 7674.000000 -2.439112e-05 -4.433668e-06 -7.204622e-07 -7.999742e-09 -2.187336e-04 -1.837569e-04 -4.530248e-05 -1.444523e-04
 7679.000000 -2.448165e-05 -4.469657e-06 -7.274883e-07 -8.072833e-09 -2.081403e-04 -1.824819e-04 -5.261342e-05 -1.453999e-04
 7683.000000 -2.449248e-05 -4.488043e-06 -7.311599e-07 -8.107611e-09 -2.043750e-04 -1.798423e-04 -5.305916e-05 -1.439127e-04
 7686.000000 -2.454675e-05 -4.511032e-06 -7.354151e-07 -8.149787e-09 -2.016963e-04 -1.863945e-04 -5.108364e-05 -1.382952e-04
 7688.000000 -2.456752e-05 -4.521765e-06 -7.372684e-07 -8.175875e-09 -2.022055e-04 -1.842554e-04 -5.332741e-05 -1.390882e-04
 7689.000000 -2.453444e-05 -4.519939e-06 -7.369457e-07 -8.152663e-09 -2.109887e-04 -1.804270e-04 -5.606290e-05 -1.407485e-04
 7689.200000 -2.453151e-05 -4.520350e-06 -7.369448e-07 -8.144584e-09 -2.156829e-04 -1.778967e-04 -5.406317e-05 -1.414257e-04
 7689.400000 -2.452662e-05 -4.520308e-06 -7.370967e-07 -8.148764e-09 -2.097124e-04 -1.765013e-04 -4.794275e-05 -1.449226e-04
 7689.600000 -2.458259e-05 -4.529404e-06 -7.387488e-07 -8.185267e-09 -2.019438e-04 -1.783891e-04 -4.427508e-05 -1.472054e-04
 7689.800000 -2.458029e-05 -4.530498e-06 -7.386800e-07 -8.173108e-09 -1.997596e-04 -1.790815e-04 -6.843091e-05 -1.455856e-04
 7690.000000 -2.455619e-05 -4.529165e-06 -7.383559e-07 -8.195821e-09 -2.057324e-04 -1.723194e-04 -6.088980e-05 -1.415423e-04
 7690.200000 -2.457408e-05 -4.531374e-06 -7.386226e-07 -8.188569e-09 -2.051751e-04 -1.727589e-04 -5.128783e-05 -1.471161e-04
 7690.400000 -2.449268e-05 -4.514746e-06 -7.358639e-07 -8.175459e-09 -2.018639e-04 -1.644623e-04 -4.230469e-05 -1.382456e-04
 7690.600000 -2.443306e-05 -4.508984e-06 -7.351340e-07 -8.171014e-09 -1.924683e-04 -1.641624e-04 -3.544630e-05 -1.346852e-04
 7690.800000 -2.446603e-05 -4.514492e-06 -7.361420e-07 -8.172216e-09 -1.908251e-04 -1.674724e-04 -4.558636e-05 -1.319158e-04
 7691.000000 -2.447962e-05 -4.517158e-06 -7.365769e-07 -8.169063e-09 -2.030477e-04 -1.742213e-04 -4.510423e-05 -1.390396e-04
 7691.200000 -2.452179e-05 -4.525500e-06 -7.377775e-07 -8.179418e-09 -1.980711e-04 -1.741969e-04 -4.771733e-05 -1.417749e-04
 7691.400000 -2.452621e-05 -4.529733e-06 -7.386368e-07 -8.199196e-09 -1.921474e-04 -1.695366e-04 -4.621000e-05 -1.381674e-04
 7691.600000 -2.457706e-05 -4.537248e-06 -7.395267e-07 -8.235171e-09 -1.903150e-04 -1.739237e-04 -5.049216e-05 -1.422277e-04
 7691.800000 -2.463100e-05 -4.545561e-06 -7.409931e-07 -8.245619e-09 -1.791681e-04 -1.789499e-04 -4.775969e-05 -1.461207e-04
 7692.000000 -2.460017e-05 -4.540871e-06 -7.403462e-07 -8.237482e-09 -1.967863e-04 -1.876264e-04 -5.140553e-05 -1.461196e-04
 7692.200000 -2.456145e-05 -4.538075e-06 -7.398420e-07 -8.228823e-09 -1.998767e-04 -1.851567e-04 -6.090493e-05 -1.435882e-04
 7692.400000 -2.450738e-05 -4.528961e-06 -7.381290e-07 -8.225437e-09 -2.123757e-04 -1.846913e-04 -4.803869e-05 -1.296091e-04
 7692.600000 -2.452179e-05 -4.531455e-06 -7.384325e-07 -8.212160e-09 -2.109883e-04 -1.788966e-04 -4.913839e-05 -1.375144e-04
 7692.800000 -2.452265e-05 -4.532263e-06 -7.387076e-07 -8.202796e-09 -2.140421e-04 -1.680145e-04 -5.683345e-05 -1.439797e-04
 7693.000000 -2.444810e-05 -4.518953e-06 -7.364394e-07 -8.170441e-09 -2.100077e-04 -1.678904e-04 -5.043478e-05 -1.359581e-04
 7693.200000 -2.444820e-05 -4.521626e-06 -7.367542e-07 -8.177437e-09 -2.122224e-04 -1.738487e-04 -5.313467e-05 -1.335221e-04
 7693.400000 -2.443597e-05 -4.521304e-06 -7.368154e-07 -8.192208e-09 -2.093473e-04 -1.790432e-04 -5.373180e-05 -1.392287e-04
 7693.600000 -2.448453e-05 -4.530735e-06 -7.384844e-07 -8.207127e-09 -2.040799e-04 -1.747132e-04 -3.745129e-05 -1.268009e-04
 7693.800000 -2.447110e-05 -4.527751e-06 -7.378199e-07 -8.183994e-09 -2.188774e-04 -1.618440e-04 -4.851874e-05 -1.310295e-04
 7694.000000 -2.454423e-05 -4.539060e-06 -7.394000e-07 -8.239994e-09 -2.215282e-04 -1.575353e-04 -5.845467e-05 -1.378781e-04
 7694.200000 -2.443295e-05 -4.523075e-06 -7.368568e-07 -8.209596e-09 -2.126897e-04 -1.506114e-04 -4.974311e-05 -1.379149e-04
 7694.400000 -2.445258e-05 -4.526368e-06 -7.372188e-07 -8.200345e-09 -2.137338e-04 -1.532516e-04 -5.685506e-05 -1.508201e-04
 7694.600000 -2.456322e-05 -4.545247e-06 -7.403273e-07 -8.217897e-09 -2.137818e-04 -1.711670e-04 -5.467298e-05 -1.542602e-04
 7694.800000 -2.457825e-05 -4.545940e-06 -7.404357e-07 -8.248263e-09 -2.073896e-04 -1.657152e-04 -5.578767e-05 -1.466489e-04
 7695.000000 -2.456792e-05 -4.547348e-06 -7.407323e-07 -8.248784e-09 -2.017279e-04 -1.574670e-04 -5.871039e-05 -1.427363e-04
 7695.200000 -2.456856e-05 -4.547949e-06 -7.407865e-07 -8.265852e-09 -2.047735e-04 -1.565919e-04 -5.614198e-05 -1.350351e-04
 7695.400000 -2.462188e-05 -4.557528e-06 -7.423677e-07 -8.267536e-09 -2.113435e-04 -1.616642e-04 -6.101946e-05 -1.248111e-04
 7695.600000 -2.467727e-05 -4.566124e-06 -7.436121e-07 -8.289656e-09 -2.170863e-04 -1.594306e-04 -6.771818e-05 -1.432451e-04
 7695.800000 -2.466831e-05 -4.565498e-06 -7.433895e-07 -8.279753e-09 -2.117071e-04 -1.697404e-04 -6.052538e-05 -1.406854e-04
 7696.000000 -2.467767e-05 -4.566903e-06 -7.435240e-07 -8.288629e-09 -2.132848e-04 -1.749785e-04 -4.862386e-05 -1.411628e-04
 7696.200000 -2.465637e-05 -4.562792e-06 -7.427978e-07 -8.293644e-09 -2.164081e-04 -1.765267e-04 -4.314911e-05 -1.397815e-04
 7696.400000 -2.461014e-05 -4.557053e-06 -7.416716e-07 -8.302143e-09 -2.160728e-04 -1.899518e-04 -4.790775e-05 -1.372131e-04
 7696.600000 -2.457732e-05 -4.552037e-06 -7.410283e-07 -8.272007e-09 -2.163280e-04 -1.823998e-04 -4.896399e-05 -1.260367e-04
 7696.800000 -2.454387e-05 -4.546466e-06 -7.400056e-07 -8.262867e-09 -2.190450e-04 -1.847473e-04 -4.515531e-05 -1.330439e-04
 7697.000000 -2.449608e-05 -4.537482e-06 -7.383339e-07 -8.261087e-09 -2.152195e-04 -1.730500e-04 -4.109311e-05 -1.454041e-04
 7697.200000 -2.449656e-05 -4.536858e-06 -7.384401e-07 -8.264181e-09 -2.033870e-04 -1.836613e-04 -3.098636e-05 -1.416587e-04
 7697.400000 -2.442797e-05 -4.525521e-06 -7.362338e-07 -8.254156e-09 -2.159375e-04 -1.916045e-04 -4.027325e-05 -1.421370e-04
 7697.600000 -2.447437e-05 -4.536273e-06 -7.378949e-07 -8.252326e-09 -2.148772e-04 -1.880099e-04 -4.459994e-05 -1.314537e-04
 7697.800000 -2.451733e-05 -4.544401e-06 -7.392627e-07 -8.288436e-09 -2.142168e-04 -1.862865e-04 -6.080101e-05 -1.391068e-04
 7698.000000 -2.457454e-05 -4.554334e-06 -7.407490e-07 -8.307194e-09 -2.159595e-04 -1.787617e-04 -5.804079e-05 -1.391360e-04
 7698.200000 -2.458355e-05 -4.555823e-06 -7.405942e-07 -8.306329e-09 -2.072586e-04 -1.887526e-04 -4.867237e-05 -1.418963e-04
 7698.400000 -2.453500e-05 -4.551367e-06 -7.399528e-07 -8.275625e-09 -1.931117e-04 -1.924001e-04 -5.078714e-05 -1.544569e-04
 7698.600000 -2.453181e-05 -4.546814e-06 -7.389877e-07 -8.302150e-09 -2.015977e-04 -1.879817e-04 -4.624786e-05 -1.502698e-04
 7698.800000 -2.442397e-05 -4.528219e-06 -7.359986e-07 -8.276064e-09 -1.998405e-04 -1.854976e-04 -4.654350e-05 -1.373773e-04
 7699.000000 -2.436589e-05 -4.519982e-06 -7.344593e-07 -8.248665e-09 -2.047431e-04 -1.820784e-04 -4.552957e-05 -1.379121e-04
 7699.200000 -2.425107e-05 -4.502328e-06 -7.314702e-07 -8.220917e-09 -2.076388e-04 -1.834354e-04 -4.501954e-05 -1.421580e-04
 7699.400000 -2.428928e-05 -4.508152e-06 -7.320993e-07 -8.236323e-09 -2.049629e-04 -1.832963e-04 -5.617850e-05 -1.424057e-04
 7699.600000 -2.424172e-05 -4.502725e-06 -7.312416e-07 -8.209276e-09 -2.039275e-04 -1.835033e-04 -4.065891e-05 -1.282160e-04
 7699.800000 -2.432187e-05 -4.518888e-06 -7.339278e-07 -8.229642e-09 -2.031034e-04 -1.881105e-04 -4.256702e-05 -1.358881e-04
