# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.7448994959558
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:17:39
# Scan.end_time: 02/22/2022  16:18:03
# Scan.duration: 00:24
# Scan.transient_id: 197216
# Scan.uid: 103beb74-55cc-42e0-ad5d-29cb6682baef
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.292367e-06 -5.872261e-07 -4.680250e-08 -7.164008e-11 -1.275958e-04 -1.298272e-04 -3.352142e-05 -8.910454e-05
 6444.000000 -1.257780e-05 -8.955238e-07 -7.159594e-08 -1.094248e-10 -1.883409e-04 -1.958404e-04 -4.004176e-05 -1.429035e-04
 6449.000000 -1.263698e-05 -9.065829e-07 -7.277438e-08 -1.111248e-10 -1.930562e-04 -1.963816e-04 -3.525840e-05 -1.358169e-04
 6454.000000 -1.264897e-05 -9.138794e-07 -7.362551e-08 -1.135666e-10 -1.941247e-04 -1.929795e-04 -4.356434e-05 -1.064740e-04
 6459.000000 -1.275973e-05 -9.283001e-07 -7.505804e-08 -1.170140e-10 -1.823374e-04 -1.982795e-04 -4.634950e-05 -1.138705e-04
 6464.000000 -1.283903e-05 -9.400809e-07 -7.629789e-08 -1.188422e-10 -1.778207e-04 -2.042379e-04 -4.465140e-05 -1.303340e-04
 6469.000000 -1.285111e-05 -9.474039e-07 -7.719629e-08 -1.222324e-10 -1.906845e-04 -1.993141e-04 -4.693590e-05 -1.219989e-04
 6474.000000 -1.294574e-05 -9.607972e-07 -7.855812e-08 -1.237623e-10 -1.896938e-04 -1.927125e-04 -5.059981e-05 -1.257617e-04
 6479.000000 -1.302296e-05 -9.732271e-07 -7.985497e-08 -1.283053e-10 -1.878289e-04 -1.899469e-04 -5.775098e-05 -1.291301e-04
 6484.000000 -1.309449e-05 -9.847665e-07 -8.110506e-08 -1.309489e-10 -1.911392e-04 -1.921506e-04 -5.015576e-05 -1.254176e-04
 6489.000000 -1.317170e-05 -9.969343e-07 -8.242003e-08 -1.374401e-10 -1.870622e-04 -1.922604e-04 -4.447222e-05 -9.653507e-05
 6494.000000 -1.324781e-05 -1.009546e-06 -8.375876e-08 -1.398757e-10 -1.856609e-04 -1.859206e-04 -4.128761e-05 -9.246965e-05
