# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.7225100534786
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 1st 4_3 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 101.408992978
# ISS.sample_y_position: 17.366993954999998
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:32:34
# Scan.end_time: 02/22/2022  15:32:57
# Scan.duration: 00:23
# Scan.transient_id: 197136
# Scan.uid: 01d61796-281c-4758-b554-225186be93e5
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.022286e-09 -4.400162e-10 -3.000961e-11 3.016812e-11 -1.250010e-04 -1.331201e-04 -3.529893e-05 -1.114950e-04
 8238.000000 -1.552905e-09 -6.730759e-10 -3.852426e-11 4.091308e-11 -1.816489e-04 -1.919399e-04 -5.383687e-05 -1.608550e-04
 8243.000000 -1.486938e-09 -3.846781e-10 -2.669420e-11 4.016279e-11 -1.853130e-04 -1.990651e-04 -5.277402e-05 -1.554449e-04
 8248.000000 -1.378391e-09 -4.456834e-10 -2.670043e-11 4.283927e-11 -1.804030e-04 -1.941652e-04 -4.221468e-05 -1.590691e-04
 8253.000000 -1.384880e-09 -6.133696e-10 -1.716469e-11 4.555219e-11 -1.804977e-04 -1.881143e-04 -4.927771e-05 -1.549582e-04
 8258.000000 -1.468462e-09 -4.869388e-10 -1.704149e-11 4.096483e-11 -1.791535e-04 -1.797289e-04 -6.105944e-05 -1.583705e-04
 8263.000000 -1.540187e-09 -3.949934e-10 3.114288e-12 4.196642e-11 -1.811278e-04 -1.794578e-04 -5.742521e-05 -1.475645e-04
 8268.000000 -1.537355e-09 -1.282620e-10 -3.956670e-11 4.083534e-11 -1.736419e-04 -1.746282e-04 -4.749626e-05 -1.522044e-04
 8273.000000 -1.485793e-09 -5.122277e-10 -2.204036e-11 4.221367e-11 -1.792624e-04 -1.752602e-04 -4.000732e-05 -1.571847e-04
 8278.000000 -1.476073e-09 -6.265456e-10 4.251802e-11 4.132150e-11 -1.807247e-04 -1.751645e-04 -4.887442e-05 -1.626032e-04
 8283.000000 -1.495011e-09 -5.992113e-10 -1.720194e-11 4.099160e-11 -1.778371e-04 -1.733201e-04 -4.398397e-05 -1.608159e-04
 8288.000000 -1.455567e-09 -6.313334e-10 1.888648e-11 3.978830e-11 -1.820502e-04 -1.781563e-04 -3.914932e-05 -1.543794e-04
 8293.000000 -1.467524e-09 -4.323300e-10 3.665274e-11 4.141692e-11 -1.951501e-04 -1.697842e-04 -3.971137e-05 -1.502403e-04
 8298.000000 -1.485091e-09 -3.058257e-10 8.592569e-12 4.068885e-11 -1.939172e-04 -1.625170e-04 -4.091440e-05 -1.516453e-04
 8303.000000 -1.499437e-09 -5.516668e-10 -1.029892e-11 4.233709e-11 -1.815367e-04 -1.581713e-04 -4.577675e-05 -1.459893e-04
 8307.000000 -1.453654e-09 -3.054696e-10 5.858545e-12 4.498161e-11 -1.759431e-04 -1.647944e-04 -4.803415e-05 -1.472769e-04
 8310.000000 -1.376627e-09 -3.384338e-10 6.054690e-12 4.316843e-11 -1.810148e-04 -1.711072e-04 -4.627308e-05 -1.529002e-04
 8312.000000 -1.380802e-09 -5.205387e-10 1.245708e-11 4.428957e-11 -1.839536e-04 -1.749291e-04 -6.021781e-05 -1.534561e-04
 8313.000000 -1.418941e-09 -5.645282e-10 2.754348e-11 4.000008e-11 -1.850234e-04 -1.800254e-04 -6.089346e-05 -1.452549e-04
 8313.200000 -1.425113e-09 -7.857890e-10 6.600439e-11 4.311095e-11 -1.840580e-04 -1.804956e-04 -5.185850e-05 -1.394127e-04
 8313.400000 -1.613837e-09 -9.579925e-10 4.004657e-13 3.764455e-11 -1.911456e-04 -1.777001e-04 -5.357824e-05 -1.397229e-04
 8313.600000 -1.558270e-09 -8.432335e-10 7.563581e-12 4.190388e-11 -1.859625e-04 -1.734408e-04 -6.179464e-05 -1.495367e-04
 8313.800000 -1.498676e-09 -9.592283e-10 4.059075e-11 4.060180e-11 -1.913901e-04 -1.757466e-04 -5.909274e-05 -1.457904e-04
 8314.000000 -1.465756e-09 -8.236752e-10 1.200882e-10 3.802282e-11 -1.881218e-04 -1.706272e-04 -6.238771e-05 -1.424696e-04
 8314.200000 -1.521851e-09 -3.295732e-10 6.249313e-12 4.808885e-11 -1.765922e-04 -1.668104e-04 -3.735996e-05 -1.287173e-04
 8314.400000 -1.588738e-09 -1.020753e-09 -1.423155e-10 4.933873e-11 -1.773409e-04 -1.674662e-04 -4.366200e-05 -1.307886e-04
 8314.600000 -1.570714e-09 -4.288034e-10 -1.135543e-10 4.499184e-11 -1.807199e-04 -1.710368e-04 -3.646029e-05 -1.242215e-04
 8314.800000 -1.473259e-09 -2.924914e-10 -4.741411e-11 3.409221e-11 -1.740861e-04 -1.699123e-04 -4.641671e-05 -1.505919e-04
 8315.000000 -1.654864e-09 -8.571248e-10 -1.171697e-10 3.171168e-11 -1.719049e-04 -1.678822e-04 -4.763481e-05 -1.521142e-04
 8315.200000 -1.712997e-09 -7.763840e-10 7.183850e-11 4.529805e-11 -1.810995e-04 -1.695479e-04 -4.835269e-05 -1.463986e-04
 8315.400000 -1.496095e-09 -2.262229e-10 -1.145368e-11 4.197443e-11 -1.815912e-04 -1.709349e-04 -3.323598e-05 -1.394269e-04
 8315.600000 -1.490563e-09 -2.953560e-10 2.489170e-11 4.084132e-11 -1.758050e-04 -1.709654e-04 -3.996774e-05 -1.427818e-04
 8315.800000 -1.490415e-09 -3.414393e-10 -1.221295e-11 3.039661e-11 -1.699744e-04 -1.648562e-04 -4.236031e-05 -1.375783e-04
 8316.000000 -1.472402e-09 4.225421e-11 -9.776831e-11 3.162407e-11 -1.708474e-04 -1.670181e-04 -6.668591e-05 -1.436978e-04
 8316.200000 -1.743368e-09 -7.735387e-11 1.182675e-11 4.853862e-11 -1.769189e-04 -1.664681e-04 -7.434115e-05 -1.392228e-04
 8316.400000 -1.565692e-09 -1.102463e-12 7.280164e-12 4.712918e-11 -1.729141e-04 -1.711748e-04 -5.990468e-05 -1.361151e-04
 8316.600000 -1.583115e-09 -1.050946e-10 5.604903e-11 4.593455e-11 -1.742362e-04 -1.760888e-04 -5.569614e-05 -1.300991e-04
 8316.800000 -1.514201e-09 5.520607e-10 9.775975e-12 4.227010e-11 -1.817678e-04 -1.704563e-04 -5.202277e-05 -1.270797e-04
 8317.000000 -1.593224e-09 -1.830127e-10 -2.579789e-12 5.107459e-11 -1.814936e-04 -1.680798e-04 -5.976355e-05 -1.362426e-04
 8317.200000 -1.698551e-09 -1.202700e-10 -1.196095e-11 5.218182e-11 -1.946453e-04 -1.775305e-04 -7.551083e-05 -1.345802e-04
 8317.400000 -1.550995e-09 1.008126e-10 -5.248388e-11 4.056175e-11 -1.962631e-04 -1.822618e-04 -6.320712e-05 -1.317215e-04
 8317.600000 -1.503923e-09 6.628415e-11 -6.004357e-11 4.842307e-11 -1.904744e-04 -1.731179e-04 -5.238887e-05 -1.348189e-04
 8317.800000 -1.384762e-09 -2.594086e-10 -4.663596e-11 4.087565e-11 -1.861103e-04 -1.650567e-04 -4.319862e-05 -1.290779e-04
 8318.000000 -1.404976e-09 1.145831e-11 2.055079e-12 4.351202e-11 -1.878958e-04 -1.671775e-04 -5.513822e-05 -1.438432e-04
 8318.200000 -1.316800e-09 2.560837e-10 -5.282046e-12 4.524643e-11 -1.903784e-04 -1.646284e-04 -5.946048e-05 -1.501585e-04
 8318.400000 -1.468716e-09 -2.297463e-10 2.757463e-11 3.322320e-11 -1.912547e-04 -1.629052e-04 -5.997561e-05 -1.457017e-04
 8318.600000 -1.653089e-09 -1.129534e-09 6.938836e-11 3.104487e-11 -1.836485e-04 -1.714664e-04 -6.404946e-05 -1.408384e-04
 8318.800000 -1.508065e-09 -7.434879e-10 -1.389613e-10 3.761384e-11 -1.850761e-04 -1.763682e-04 -5.087362e-05 -1.383891e-04
 8319.000000 -1.446666e-09 -1.108286e-10 -5.483815e-11 3.948391e-11 -1.981103e-04 -1.861255e-04 -4.734781e-05 -1.395192e-04
 8319.200000 -1.473430e-09 -6.296481e-10 1.151085e-10 3.535154e-11 -1.902658e-04 -1.803424e-04 -3.878279e-05 -1.236245e-04
 8319.400000 -1.468509e-09 -6.197697e-10 7.249425e-11 4.067802e-11 -1.831237e-04 -1.741430e-04 -4.831875e-05 -1.377048e-04
