# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.80658670660785
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6108714335
# ISS.sample_y_position: 0.9679419779999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:44:47
# Scan.end_time: 02/22/2022  15:45:12
# Scan.duration: 00:25
# Scan.transient_id: 197157
# Scan.uid: 3106f2b0-cc98-48b0-9717-b7e96549b803
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.931826e-05 -2.849017e-06 -1.737463e-07 -3.606594e-08 -1.496331e-04 -1.305154e-04 -2.557296e-05 -7.977260e-05
 8238.000000 -2.768915e-05 -4.096595e-06 -2.501763e-07 -5.179697e-08 -2.182442e-04 -1.956080e-04 -3.682365e-05 -1.138850e-04
 8243.000000 -2.781771e-05 -4.132062e-06 -2.526617e-07 -5.220021e-08 -2.237480e-04 -1.838849e-04 -4.681841e-05 -1.118010e-04
 8248.000000 -2.787143e-05 -4.158076e-06 -2.544094e-07 -5.240043e-08 -2.086455e-04 -1.769815e-04 -4.208356e-05 -1.106333e-04
 8253.000000 -2.790394e-05 -4.182267e-06 -2.558109e-07 -5.256839e-08 -2.093695e-04 -1.844005e-04 -4.751456e-05 -1.110623e-04
 8258.000000 -2.790645e-05 -4.202527e-06 -2.569917e-07 -5.266049e-08 -2.093898e-04 -1.804831e-04 -5.449383e-05 -1.025520e-04
 8263.000000 -2.792402e-05 -4.225290e-06 -2.585206e-07 -5.279105e-08 -2.110226e-04 -1.851489e-04 -5.813826e-05 -1.090496e-04
 8268.000000 -2.792418e-05 -4.245806e-06 -2.602848e-07 -5.286795e-08 -2.105122e-04 -1.894046e-04 -4.639202e-05 -1.121492e-04
 8273.000000 -2.792774e-05 -4.266420e-06 -2.624991e-07 -5.298330e-08 -2.103396e-04 -1.938456e-04 -4.779697e-05 -1.206195e-04
 8278.000000 -2.783670e-05 -4.273634e-06 -2.643477e-07 -5.294141e-08 -2.190785e-04 -1.835516e-04 -3.375625e-05 -1.148403e-04
 8283.000000 -2.782290e-05 -4.291060e-06 -2.669439e-07 -5.304345e-08 -2.189633e-04 -1.822563e-04 -2.841461e-05 -1.123448e-04
 8288.000000 -2.793199e-05 -4.325024e-06 -2.704793e-07 -5.342631e-08 -2.128930e-04 -1.873765e-04 -2.893966e-05 -1.123928e-04
 8293.000000 -2.795237e-05 -4.344736e-06 -2.731296e-07 -5.366217e-08 -2.203283e-04 -1.847939e-04 -3.042373e-05 -1.156252e-04
 8298.000000 -2.799616e-05 -4.366888e-06 -2.758960e-07 -5.398495e-08 -2.179846e-04 -1.821742e-04 -4.261694e-05 -1.166436e-04
 8303.000000 -2.800372e-05 -4.383685e-06 -2.782856e-07 -5.424910e-08 -2.114051e-04 -1.738332e-04 -6.330743e-05 -1.096901e-04
 8307.000000 -2.804331e-05 -4.400841e-06 -2.803250e-07 -5.455823e-08 -2.092604e-04 -1.796648e-04 -6.038481e-05 -1.009824e-04
 8310.000000 -2.783570e-05 -4.379139e-06 -2.796520e-07 -5.434325e-08 -2.116075e-04 -1.824916e-04 -4.945802e-05 -1.022201e-04
 8312.000000 -2.796819e-05 -4.403680e-06 -2.816355e-07 -5.476911e-08 -2.139891e-04 -1.890083e-04 -5.271380e-05 -1.002839e-04
 8313.000000 -2.808317e-05 -4.422532e-06 -2.830835e-07 -5.507736e-08 -2.119444e-04 -1.843509e-04 -5.233413e-05 -1.032593e-04
 8313.200000 -2.807955e-05 -4.422716e-06 -2.832347e-07 -5.510900e-08 -2.117565e-04 -1.800257e-04 -4.108956e-05 -9.782592e-05
 8313.400000 -2.805840e-05 -4.420962e-06 -2.831753e-07 -5.505448e-08 -2.144548e-04 -1.780105e-04 -4.656709e-05 -1.078936e-04
 8313.600000 -2.811924e-05 -4.429994e-06 -2.837694e-07 -5.519768e-08 -2.127345e-04 -1.851827e-04 -5.608765e-05 -1.162290e-04
 8313.800000 -2.811107e-05 -4.430082e-06 -2.838319e-07 -5.514759e-08 -2.157709e-04 -1.953810e-04 -4.924284e-05 -1.113964e-04
 8314.000000 -2.813046e-05 -4.432006e-06 -2.839904e-07 -5.519973e-08 -2.107716e-04 -2.008546e-04 -4.604197e-05 -1.080173e-04
 8314.200000 -2.806475e-05 -4.423596e-06 -2.835052e-07 -5.506022e-08 -2.018873e-04 -1.959837e-04 -5.051216e-05 -9.836371e-05
 8314.400000 -2.807352e-05 -4.425680e-06 -2.836644e-07 -5.513461e-08 -2.007846e-04 -1.954716e-04 -6.542273e-05 -1.021746e-04
 8314.600000 -2.802522e-05 -4.419244e-06 -2.833795e-07 -5.508379e-08 -2.050123e-04 -1.954252e-04 -6.398570e-05 -1.077117e-04
 8314.800000 -2.800238e-05 -4.417207e-06 -2.832721e-07 -5.505711e-08 -2.150923e-04 -1.828309e-04 -6.384146e-05 -1.117247e-04
 8315.000000 -2.792131e-05 -4.406848e-06 -2.825359e-07 -5.490672e-08 -2.102314e-04 -1.705154e-04 -6.580798e-05 -1.033869e-04
 8315.200000 -2.779175e-05 -4.386600e-06 -2.812354e-07 -5.466296e-08 -2.158343e-04 -1.728827e-04 -7.004376e-05 -1.059748e-04
 8315.400000 -2.791173e-05 -4.404095e-06 -2.825315e-07 -5.497202e-08 -2.147800e-04 -1.772382e-04 -6.080045e-05 -9.999879e-05
 8315.600000 -2.784850e-05 -4.394099e-06 -2.819151e-07 -5.486250e-08 -2.077655e-04 -1.775813e-04 -5.090403e-05 -9.437307e-05
 8315.800000 -2.790011e-05 -4.403819e-06 -2.826076e-07 -5.501940e-08 -2.177525e-04 -1.813349e-04 -4.405786e-05 -8.448828e-05
 8316.000000 -2.793399e-05 -4.409858e-06 -2.829800e-07 -5.506262e-08 -2.197376e-04 -1.785338e-04 -4.207422e-05 -9.226373e-05
 8316.200000 -2.805176e-05 -4.426606e-06 -2.840139e-07 -5.540187e-08 -2.148798e-04 -1.681155e-04 -2.627796e-05 -8.892430e-05
 8316.400000 -2.800146e-05 -4.419952e-06 -2.837387e-07 -5.530662e-08 -2.137021e-04 -1.697787e-04 -2.366278e-05 -8.750103e-05
 8316.600000 -2.806960e-05 -4.430409e-06 -2.844056e-07 -5.534368e-08 -2.185048e-04 -1.575477e-04 -3.610852e-05 -9.161436e-05
 8316.800000 -2.795928e-05 -4.413783e-06 -2.834561e-07 -5.522027e-08 -2.158903e-04 -1.586022e-04 -3.763883e-05 -9.757367e-05
 8317.000000 -2.798616e-05 -4.418396e-06 -2.838248e-07 -5.526118e-08 -2.141663e-04 -1.563444e-04 -3.924354e-05 -9.723962e-05
 8317.200000 -2.788000e-05 -4.403666e-06 -2.829813e-07 -5.508748e-08 -2.149670e-04 -1.599918e-04 -4.010217e-05 -9.376720e-05
