# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.13013252161977
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.610966801
# ISS.sample_y_position: 0.96817086
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:01:22
# Scan.end_time: 02/22/2022  16:01:47
# Scan.duration: 00:25
# Scan.transient_id: 197187
# Scan.uid: 12e417ed-068f-46e6-b6dd-df2e19a0d4ef
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.617112e-05 -2.195084e-06 -3.427304e-07 -6.961405e-09 -1.319379e-04 -1.231281e-04 -9.705695e-06 -9.268150e-05
 7614.000000 -2.393236e-05 -3.261906e-06 -5.101917e-07 -1.033239e-08 -2.002411e-04 -1.863668e-04 -2.131571e-05 -1.367707e-04
 7619.000000 -2.401846e-05 -3.290974e-06 -5.158251e-07 -1.040028e-08 -2.007790e-04 -1.879801e-04 -2.784349e-05 -1.421813e-04
 7624.000000 -2.408520e-05 -3.316316e-06 -5.208341e-07 -1.046199e-08 -1.935691e-04 -1.848063e-04 -1.763239e-05 -1.382061e-04
 7629.000000 -2.409659e-05 -3.334850e-06 -5.248101e-07 -1.049309e-08 -2.023862e-04 -1.866277e-04 -2.338761e-05 -1.425625e-04
 7634.000000 -2.418230e-05 -3.363799e-06 -5.304047e-07 -1.056173e-08 -1.990781e-04 -1.848890e-04 -2.575997e-05 -1.412823e-04
 7639.000000 -2.410444e-05 -3.371615e-06 -5.328513e-07 -1.056485e-08 -1.858016e-04 -1.877342e-04 -2.923554e-05 -1.394736e-04
 7644.000000 -2.417142e-05 -3.397742e-06 -5.380868e-07 -1.063456e-08 -1.828215e-04 -1.864662e-04 -2.393357e-05 -1.408896e-04
 7649.000000 -2.421235e-05 -3.420065e-06 -5.426865e-07 -1.068478e-08 -1.772407e-04 -1.870168e-04 -2.458684e-05 -1.457820e-04
 7654.000000 -2.423173e-05 -3.440015e-06 -5.467450e-07 -1.073054e-08 -1.897928e-04 -1.762712e-04 -2.691372e-05 -1.413457e-04
 7659.000000 -2.437894e-05 -3.477264e-06 -5.535911e-07 -1.083490e-08 -1.880736e-04 -1.887580e-04 -1.724878e-05 -1.423664e-04
