# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.29235900292844
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6109477275
# ISS.sample_y_position: 0.9680754925
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:18:15
# Scan.end_time: 02/22/2022  16:18:41
# Scan.duration: 00:25
# Scan.transient_id: 197217
# Scan.uid: 063addb0-283d-4fb8-8525-6bf297e53fba
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.266704e-06 -4.387120e-07 -3.405003e-08 -8.106517e-11 -1.306265e-04 -1.366683e-04 -4.238016e-05 -8.021971e-05
 6444.000000 -1.255531e-05 -6.704370e-07 -5.220563e-08 -1.210291e-10 -2.010846e-04 -2.047867e-04 -6.870352e-05 -1.274918e-04
 6449.000000 -1.265820e-05 -6.815917e-07 -5.325429e-08 -1.260400e-10 -2.068090e-04 -2.112919e-04 -6.979174e-05 -1.280587e-04
 6454.000000 -1.267472e-05 -6.880124e-07 -5.396925e-08 -1.289747e-10 -2.098129e-04 -2.119153e-04 -5.877345e-05 -1.191149e-04
 6459.000000 -1.277097e-05 -6.989463e-07 -5.507845e-08 -1.331897e-10 -2.184898e-04 -2.099980e-04 -4.736897e-05 -1.249393e-04
 6464.000000 -1.281591e-05 -7.068884e-07 -5.593053e-08 -1.371318e-10 -2.208944e-04 -2.098880e-04 -4.636916e-05 -1.281098e-04
 6469.000000 -1.281227e-05 -7.122645e-07 -5.658468e-08 -1.348022e-10 -2.284847e-04 -2.080713e-04 -4.612115e-05 -1.214814e-04
 6474.000000 -1.286531e-05 -7.212227e-07 -5.751045e-08 -1.422266e-10 -2.169518e-04 -2.059883e-04 -6.156638e-05 -1.257335e-04
 6479.000000 -1.294591e-05 -7.314498e-07 -5.857630e-08 -1.415802e-10 -2.137669e-04 -2.079938e-04 -6.523007e-05 -1.262431e-04
 6484.000000 -1.301849e-05 -7.412852e-07 -5.961876e-08 -1.456521e-10 -2.166070e-04 -2.137266e-04 -6.335074e-05 -1.121589e-04
 6489.000000 -1.308970e-05 -7.510733e-07 -6.062873e-08 -1.586486e-10 -2.131904e-04 -2.173559e-04 -6.379849e-05 -1.173531e-04
 6494.000000 -1.313638e-05 -7.597788e-07 -6.153052e-08 -1.547587e-10 -2.165812e-04 -2.229242e-04 -5.825897e-05 -1.256061e-04
 6499.000000 -1.320943e-05 -7.697734e-07 -6.261746e-08 -1.625190e-10 -2.138561e-04 -2.308120e-04 -5.384744e-05 -1.293301e-04
 6504.000000 -1.325931e-05 -7.787239e-07 -6.357762e-08 -1.643745e-10 -2.191024e-04 -2.253625e-04 -5.254380e-05 -1.377237e-04
 6509.000000 -1.328284e-05 -7.863081e-07 -6.444251e-08 -1.666944e-10 -2.188867e-04 -2.200001e-04 -5.154818e-05 -1.496556e-04
 6513.000000 -1.326100e-05 -7.899001e-07 -6.494126e-08 -1.711296e-10 -2.110671e-04 -2.115415e-04 -4.811549e-05 -1.451776e-04
 6516.000000 -1.340096e-05 -8.018273e-07 -6.607327e-08 -1.760149e-10 -2.043456e-04 -2.171634e-04 -4.584007e-05 -1.461824e-04
 6518.000000 -1.343459e-05 -8.061746e-07 -6.651509e-08 -1.774752e-10 -2.045587e-04 -2.153333e-04 -5.887020e-05 -1.495540e-04
 6519.000000 -1.345889e-05 -8.085218e-07 -6.679580e-08 -1.856618e-10 -2.004849e-04 -2.164184e-04 -4.979633e-05 -1.475000e-04
 6519.200000 -1.346056e-05 -8.083116e-07 -6.688618e-08 -1.975285e-10 -2.011117e-04 -2.214571e-04 -5.555579e-05 -1.434612e-04
 6519.400000 -1.346785e-05 -8.097316e-07 -6.694553e-08 -1.866004e-10 -2.002411e-04 -2.151488e-04 -5.458943e-05 -1.354697e-04
 6519.600000 -1.345404e-05 -8.093240e-07 -6.681618e-08 -1.871810e-10 -1.935550e-04 -2.152940e-04 -6.337956e-05 -1.274928e-04
 6519.800000 -1.346477e-05 -8.103518e-07 -6.693969e-08 -1.759669e-10 -1.949580e-04 -2.165158e-04 -4.836899e-05 -1.226184e-04
 6520.000000 -1.346157e-05 -8.096898e-07 -6.697215e-08 -1.822905e-10 -2.009175e-04 -2.115490e-04 -4.315240e-05 -1.239588e-04
