# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.3221855060819
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.61085236
# ISS.sample_y_position: 0.9680373455
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:33:08
# Scan.end_time: 02/22/2022  15:33:32
# Scan.duration: 00:24
# Scan.transient_id: 197137
# Scan.uid: 91e2d2e9-df5d-4d59-970e-9bafed5cfb16
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -9.150444e-10 -3.659921e-10 -1.921725e-11 3.055372e-11 -1.222172e-04 -1.066781e-04 -1.099462e-05 -9.619452e-05
 8238.000000 -1.349223e-09 -6.786684e-10 1.568660e-12 4.055814e-11 -1.719413e-04 -1.628853e-04 -2.188609e-05 -1.317613e-04
 8243.000000 -1.333526e-09 -5.281567e-10 -4.691118e-12 4.245787e-11 -1.817274e-04 -1.614458e-04 -1.462728e-05 -1.370736e-04
 8248.000000 -1.282825e-09 -5.638935e-10 -2.146204e-11 4.373784e-11 -1.832214e-04 -1.622553e-04 -2.151927e-05 -1.397963e-04
 8253.000000 -1.393857e-09 -5.079943e-10 -1.693485e-11 4.315352e-11 -1.731876e-04 -1.638125e-04 -2.208614e-05 -1.417684e-04
 8258.000000 -1.335211e-09 -4.147878e-11 -2.338886e-13 4.097050e-11 -1.764826e-04 -1.581434e-04 -2.172829e-05 -1.382794e-04
 8263.000000 -1.240890e-09 -8.441663e-11 -3.836096e-11 4.366914e-11 -1.821251e-04 -1.574480e-04 -3.168918e-05 -1.540262e-04
 8268.000000 -1.403982e-09 -4.945496e-10 -4.616978e-11 4.186886e-11 -1.776061e-04 -1.623453e-04 -2.557941e-05 -1.447361e-04
 8273.000000 -1.284220e-09 -5.549270e-10 -3.154854e-11 4.308660e-11 -1.841169e-04 -1.597295e-04 -2.277108e-05 -1.410285e-04
 8278.000000 -1.221970e-09 -3.148744e-10 -5.126308e-11 3.840669e-11 -1.836937e-04 -1.527276e-04 -2.562175e-05 -1.363714e-04
 8283.000000 -1.315992e-09 -4.994530e-10 -3.334659e-11 4.252675e-11 -1.831875e-04 -1.586998e-04 -2.259637e-05 -1.354787e-04
 8288.000000 -1.323483e-09 -6.003807e-10 -1.983778e-11 4.755204e-11 -1.861130e-04 -1.625953e-04 -1.104871e-05 -1.401139e-04
 8293.000000 -1.424694e-09 -6.335349e-10 -2.386364e-11 4.331319e-11 -1.905526e-04 -1.537845e-04 -7.817030e-06 -1.474671e-04
 8298.000000 -1.396965e-09 -7.051612e-10 -2.109047e-11 4.024311e-11 -1.888877e-04 -1.564623e-04 -1.463570e-05 -1.444252e-04
 8303.000000 -1.378927e-09 -7.611868e-10 -1.639449e-11 4.188051e-11 -1.897971e-04 -1.712009e-04 -2.046262e-05 -1.433910e-04
 8307.000000 -1.359109e-09 -6.401436e-10 -1.538763e-11 4.227226e-11 -1.851373e-04 -1.744753e-04 -2.151076e-05 -1.496797e-04
 8310.000000 -1.244189e-09 -6.716091e-10 2.773420e-11 4.212772e-11 -1.824122e-04 -1.742634e-04 -1.883993e-05 -1.498298e-04
