# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.4652562634342
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.608906863
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:45:20
# Scan.end_time: 02/22/2022  15:45:45
# Scan.duration: 00:25
# Scan.transient_id: 197158
# Scan.uid: bc91fbb0-a107-40cb-a592-009f9bd20690
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.923184e-05 -2.837735e-06 -1.731395e-07 -3.591445e-08 -1.522596e-04 -1.358778e-04 -3.391800e-05 -1.134392e-04
 8238.000000 -2.753452e-05 -4.076063e-06 -2.491023e-07 -5.151665e-08 -2.215229e-04 -1.888931e-04 -5.625248e-05 -1.522540e-04
 8243.000000 -2.772234e-05 -4.118993e-06 -2.519918e-07 -5.199669e-08 -2.195866e-04 -1.927052e-04 -6.588763e-05 -1.345484e-04
 8248.000000 -2.779567e-05 -4.147614e-06 -2.538187e-07 -5.225018e-08 -2.201825e-04 -1.887129e-04 -6.303454e-05 -1.317899e-04
 8253.000000 -2.779581e-05 -4.166787e-06 -2.549289e-07 -5.234909e-08 -2.177262e-04 -1.871725e-04 -6.007849e-05 -1.263082e-04
 8258.000000 -2.774328e-05 -4.179348e-06 -2.555983e-07 -5.234400e-08 -2.244681e-04 -2.001550e-04 -6.086578e-05 -1.244826e-04
 8263.000000 -2.774279e-05 -4.199421e-06 -2.570461e-07 -5.242989e-08 -2.248949e-04 -1.945272e-04 -6.745716e-05 -1.276605e-04
 8268.000000 -2.772874e-05 -4.217720e-06 -2.586306e-07 -5.249456e-08 -2.264669e-04 -1.778425e-04 -6.037921e-05 -1.252631e-04
 8273.000000 -2.780350e-05 -4.248720e-06 -2.614383e-07 -5.277823e-08 -2.288977e-04 -1.847016e-04 -5.153958e-05 -1.168779e-04
 8278.000000 -2.781030e-05 -4.268381e-06 -2.639642e-07 -5.292005e-08 -2.353104e-04 -1.893236e-04 -5.460308e-05 -1.180042e-04
 8283.000000 -2.782677e-05 -4.289717e-06 -2.667240e-07 -5.308336e-08 -2.239366e-04 -1.883974e-04 -4.733430e-05 -1.201141e-04
 8288.000000 -2.787359e-05 -4.313975e-06 -2.697163e-07 -5.333513e-08 -2.215152e-04 -1.821075e-04 -4.400907e-05 -1.255769e-04
 8293.000000 -2.793330e-05 -4.339638e-06 -2.726522e-07 -5.365288e-08 -2.278131e-04 -1.921125e-04 -4.890144e-05 -1.245550e-04
 8298.000000 -2.798299e-05 -4.363145e-06 -2.755380e-07 -5.396409e-08 -2.374093e-04 -1.904861e-04 -5.444005e-05 -1.247520e-04
 8303.000000 -2.799393e-05 -4.380617e-06 -2.780092e-07 -5.422353e-08 -2.261344e-04 -1.866709e-04 -4.980998e-05 -1.262918e-04
 8307.000000 -2.796985e-05 -4.389214e-06 -2.796356e-07 -5.441932e-08 -2.248042e-04 -1.900797e-04 -6.238500e-05 -1.301950e-04
 8310.000000 -2.796906e-05 -4.397205e-06 -2.808198e-07 -5.462597e-08 -2.223653e-04 -1.820462e-04 -6.086432e-05 -1.333979e-04
 8312.000000 -2.787597e-05 -4.389389e-06 -2.808070e-07 -5.458730e-08 -2.158615e-04 -1.869766e-04 -5.829480e-05 -1.321161e-04
 8313.000000 -2.784096e-05 -4.386845e-06 -2.808549e-07 -5.459339e-08 -2.214534e-04 -1.941228e-04 -5.796330e-05 -1.280484e-04
 8313.200000 -2.781272e-05 -4.383022e-06 -2.805735e-07 -5.456651e-08 -2.271105e-04 -1.997509e-04 -5.769538e-05 -1.230838e-04
 8313.400000 -2.784809e-05 -4.388233e-06 -2.810324e-07 -5.463111e-08 -2.332488e-04 -1.912378e-04 -6.556544e-05 -1.376577e-04
 8313.600000 -2.779674e-05 -4.382396e-06 -2.806089e-07 -5.456007e-08 -2.323433e-04 -2.003513e-04 -7.654949e-05 -1.432882e-04
 8313.800000 -2.782990e-05 -4.387716e-06 -2.809918e-07 -5.458532e-08 -2.290686e-04 -2.015979e-04 -6.187174e-05 -1.371311e-04
 8314.000000 -2.777209e-05 -4.380425e-06 -2.805765e-07 -5.453598e-08 -2.375614e-04 -1.835733e-04 -7.926663e-05 -1.342271e-04
 8314.200000 -2.780645e-05 -4.386096e-06 -2.810575e-07 -5.461923e-08 -2.277604e-04 -1.778339e-04 -6.585380e-05 -1.269637e-04
 8314.400000 -2.790210e-05 -4.399257e-06 -2.817875e-07 -5.479267e-08 -2.270374e-04 -1.941737e-04 -7.265834e-05 -1.325923e-04
 8314.600000 -2.780921e-05 -4.386100e-06 -2.811686e-07 -5.462452e-08 -2.190466e-04 -1.992699e-04 -7.973967e-05 -1.378603e-04
 8314.800000 -2.797379e-05 -4.410234e-06 -2.825454e-07 -5.502971e-08 -2.211169e-04 -1.977117e-04 -7.861499e-05 -1.337023e-04
 8315.000000 -2.797523e-05 -4.410595e-06 -2.826347e-07 -5.503830e-08 -2.254036e-04 -2.034697e-04 -7.665555e-05 -1.315291e-04
 8315.200000 -2.804979e-05 -4.422268e-06 -2.834856e-07 -5.521490e-08 -2.237854e-04 -1.933022e-04 -8.280807e-05 -1.311802e-04
 8315.400000 -2.804862e-05 -4.421942e-06 -2.834805e-07 -5.518565e-08 -2.371168e-04 -1.939635e-04 -8.033419e-05 -1.286174e-04
 8315.600000 -2.800249e-05 -4.416182e-06 -2.833332e-07 -5.520417e-08 -2.360804e-04 -1.996522e-04 -7.020276e-05 -1.258306e-04
 8315.800000 -2.805165e-05 -4.423035e-06 -2.837406e-07 -5.531316e-08 -2.379304e-04 -1.945537e-04 -7.117398e-05 -1.304150e-04
 8316.000000 -2.803709e-05 -4.421222e-06 -2.836015e-07 -5.526587e-08 -2.291386e-04 -1.857155e-04 -6.985377e-05 -1.327751e-04
 8316.200000 -2.796878e-05 -4.411785e-06 -2.830594e-07 -5.511379e-08 -2.346476e-04 -1.937071e-04 -7.449430e-05 -1.304591e-04
 8316.400000 -2.801323e-05 -4.418594e-06 -2.834403e-07 -5.533839e-08 -2.333905e-04 -1.916607e-04 -6.231891e-05 -1.270045e-04
 8316.600000 -2.794913e-05 -4.409675e-06 -2.829833e-07 -5.512803e-08 -2.343131e-04 -1.922681e-04 -5.727270e-05 -1.310404e-04
 8316.800000 -2.795634e-05 -4.411234e-06 -2.831783e-07 -5.517056e-08 -2.304618e-04 -1.835638e-04 -6.071739e-05 -1.250761e-04
 8317.000000 -2.790289e-05 -4.404260e-06 -2.826996e-07 -5.511020e-08 -2.326219e-04 -1.890875e-04 -6.508294e-05 -1.261780e-04
 8317.200000 -2.791741e-05 -4.406695e-06 -2.829239e-07 -5.511652e-08 -2.309567e-04 -1.878528e-04 -5.987187e-05 -1.348109e-04
 8317.400000 -2.791873e-05 -4.406800e-06 -2.829909e-07 -5.519151e-08 -2.249150e-04 -1.839643e-04 -6.077115e-05 -1.342818e-04
 8317.600000 -2.782093e-05 -4.393270e-06 -2.821887e-07 -5.497403e-08 -2.240386e-04 -1.870788e-04 -5.787650e-05 -1.253233e-04
 8317.800000 -2.788153e-05 -4.401052e-06 -2.826140e-07 -5.508648e-08 -2.376020e-04 -1.879990e-04 -6.457140e-05 -1.316792e-04
 8318.000000 -2.789585e-05 -4.403719e-06 -2.829201e-07 -5.518949e-08 -2.425100e-04 -1.938559e-04 -6.271403e-05 -1.303478e-04
 8318.200000 -2.791621e-05 -4.406987e-06 -2.831834e-07 -5.527934e-08 -2.318274e-04 -1.910415e-04 -6.743216e-05 -1.344853e-04
 8318.400000 -2.789856e-05 -4.406239e-06 -2.833530e-07 -5.524609e-08 -2.302285e-04 -1.836870e-04 -7.030637e-05 -1.489581e-04
 8318.600000 -2.792845e-05 -4.410946e-06 -2.835736e-07 -5.533304e-08 -2.298498e-04 -1.842200e-04 -8.202682e-05 -1.329998e-04
 8318.800000 -2.798433e-05 -4.419262e-06 -2.840363e-07 -5.538568e-08 -2.216501e-04 -1.784068e-04 -8.145218e-05 -1.284886e-04
 8319.000000 -2.802755e-05 -4.425748e-06 -2.842923e-07 -5.550871e-08 -2.300957e-04 -1.725211e-04 -7.570661e-05 -1.268382e-04
 8319.200000 -2.804300e-05 -4.428194e-06 -2.846476e-07 -5.556334e-08 -2.410426e-04 -1.698681e-04 -7.109063e-05 -1.265642e-04
 8319.400000 -2.799155e-05 -4.421019e-06 -2.844940e-07 -5.555692e-08 -2.401148e-04 -1.708815e-04 -7.064350e-05 -1.310061e-04
 8319.600000 -2.804360e-05 -4.428389e-06 -2.850404e-07 -5.567357e-08 -2.374400e-04 -1.670572e-04 -7.565601e-05 -1.272251e-04
 8319.800000 -2.802499e-05 -4.425915e-06 -2.848268e-07 -5.569336e-08 -2.374776e-04 -1.733168e-04 -7.189523e-05 -1.249938e-04
 8320.000000 -2.802732e-05 -4.426692e-06 -2.848396e-07 -5.570064e-08 -2.347625e-04 -1.842016e-04 -6.577749e-05 -1.234102e-04
 8320.200000 -2.800892e-05 -4.424258e-06 -2.847176e-07 -5.572664e-08 -2.324810e-04 -1.932342e-04 -5.875245e-05 -1.367573e-04
