# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.77623475081225
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.608906863
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:01:56
# Scan.end_time: 02/22/2022  16:02:20
# Scan.duration: 00:24
# Scan.transient_id: 197188
# Scan.uid: 43c50655-6d72-4a6e-a843-2be967db7d28
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.640860e-05 -2.228022e-06 -3.482172e-07 -7.070435e-09 -1.515293e-04 -1.169189e-04 -4.066968e-05 -9.070865e-05
 7614.000000 -2.375990e-05 -3.239864e-06 -5.071679e-07 -1.026190e-08 -2.176282e-04 -1.791836e-04 -6.351514e-05 -1.472256e-04
 7619.000000 -2.388229e-05 -3.272911e-06 -5.133760e-07 -1.034593e-08 -2.221968e-04 -1.913022e-04 -5.814468e-05 -1.498582e-04
 7624.000000 -2.385873e-05 -3.286171e-06 -5.165560e-07 -1.036546e-08 -2.243750e-04 -1.847816e-04 -5.438427e-05 -1.485851e-04
 7629.000000 -2.402947e-05 -3.325459e-06 -5.236170e-07 -1.047795e-08 -2.173436e-04 -1.791373e-04 -5.420561e-05 -1.431512e-04
 7634.000000 -2.407001e-05 -3.348329e-06 -5.281913e-07 -1.052092e-08 -2.128204e-04 -1.769898e-04 -4.757227e-05 -1.498887e-04
 7639.000000 -2.407311e-05 -3.365599e-06 -5.319602e-07 -1.055110e-08 -2.160697e-04 -1.761361e-04 -3.660550e-05 -1.507958e-04
 7644.000000 -2.409698e-05 -3.385647e-06 -5.361547e-07 -1.059938e-08 -2.212399e-04 -1.804683e-04 -3.496979e-05 -1.443730e-04
 7649.000000 -2.403896e-05 -3.395379e-06 -5.386725e-07 -1.060313e-08 -2.232103e-04 -1.791723e-04 -3.546284e-05 -1.440577e-04
 7654.000000 -2.401527e-05 -3.409057e-06 -5.418647e-07 -1.061668e-08 -2.217234e-04 -1.831033e-04 -3.727624e-05 -1.453438e-04
 7659.000000 -2.417636e-05 -3.448622e-06 -5.491161e-07 -1.072846e-08 -2.261323e-04 -1.876153e-04 -3.621021e-05 -1.444940e-04
 7664.000000 -2.413622e-05 -3.459864e-06 -5.518870e-07 -1.075244e-08 -2.155582e-04 -1.746226e-04 -3.974993e-05 -1.398420e-04
 7669.000000 -2.433422e-05 -3.504375e-06 -5.599287e-07 -1.089350e-08 -2.074978e-04 -1.807655e-04 -4.332351e-05 -1.377385e-04
 7674.000000 -2.435350e-05 -3.524229e-06 -5.639845e-07 -1.094585e-08 -2.102767e-04 -1.953315e-04 -4.434034e-05 -1.292419e-04
 7679.000000 -2.439298e-05 -3.546628e-06 -5.682910e-07 -1.101147e-08 -2.085870e-04 -1.857847e-04 -3.814748e-05 -1.075096e-04
 7683.000000 -2.441932e-05 -3.563715e-06 -5.715285e-07 -1.106371e-08 -2.089837e-04 -1.738244e-04 -3.341936e-05 -1.047424e-04
 7686.000000 -2.446112e-05 -3.579786e-06 -5.743935e-07 -1.111752e-08 -2.075344e-04 -1.806937e-04 -3.021211e-05 -1.126592e-04
 7688.000000 -2.445345e-05 -3.585903e-06 -5.755667e-07 -1.113592e-08 -2.110325e-04 -1.827413e-04 -3.601906e-05 -1.173498e-04
