# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.90338644397485
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.608906863
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:18:50
# Scan.end_time: 02/22/2022  16:19:15
# Scan.duration: 00:24
# Scan.transient_id: 197218
# Scan.uid: c617196a-b975-40f5-a0e5-02b3abc6b19b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.259050e-06 -4.379595e-07 -3.403571e-08 -7.937161e-11 -1.393615e-04 -1.301400e-04 -3.029327e-05 -8.143104e-05
 6444.000000 -1.253243e-05 -6.688993e-07 -5.210613e-08 -1.209192e-10 -2.136508e-04 -1.926541e-04 -4.706528e-05 -1.248944e-04
 6449.000000 -1.262690e-05 -6.792566e-07 -5.316219e-08 -1.259981e-10 -2.144438e-04 -1.968750e-04 -4.588988e-05 -1.223876e-04
 6454.000000 -1.264087e-05 -6.855518e-07 -5.387129e-08 -1.281114e-10 -2.187129e-04 -1.968241e-04 -5.398181e-05 -1.248980e-04
 6459.000000 -1.275273e-05 -6.972103e-07 -5.497357e-08 -1.305836e-10 -2.190989e-04 -1.853945e-04 -5.405518e-05 -1.308928e-04
 6464.000000 -1.282019e-05 -7.063505e-07 -5.593723e-08 -1.294799e-10 -2.143700e-04 -1.896986e-04 -5.578679e-05 -1.235914e-04
 6469.000000 -1.284056e-05 -7.131953e-07 -5.671581e-08 -1.356805e-10 -2.124579e-04 -2.008055e-04 -4.800964e-05 -1.209910e-04
 6474.000000 -1.292662e-05 -7.236744e-07 -5.776736e-08 -1.377123e-10 -2.129633e-04 -2.071571e-04 -4.614752e-05 -1.130925e-04
 6479.000000 -1.300802e-05 -7.343391e-07 -5.880653e-08 -1.434178e-10 -2.110480e-04 -2.018124e-04 -4.081687e-05 -1.121866e-04
 6484.000000 -1.307514e-05 -7.438030e-07 -5.980693e-08 -1.427289e-10 -2.080853e-04 -1.878989e-04 -4.490044e-05 -1.095885e-04
 6489.000000 -1.313989e-05 -7.537559e-07 -6.079662e-08 -1.469823e-10 -2.043330e-04 -2.018098e-04 -4.347105e-05 -1.134649e-04
 6494.000000 -1.316741e-05 -7.608659e-07 -6.164436e-08 -1.506009e-10 -2.049940e-04 -2.132553e-04 -4.161215e-05 -1.313783e-04
 6499.000000 -1.321811e-05 -7.698335e-07 -6.261079e-08 -1.566287e-10 -2.088753e-04 -2.105484e-04 -4.814320e-05 -1.271334e-04
 6504.000000 -1.328330e-05 -7.800866e-07 -6.367834e-08 -1.620054e-10 -2.053494e-04 -2.075954e-04 -3.616214e-05 -1.150075e-04
 6509.000000 -1.328354e-05 -7.860913e-07 -6.446596e-08 -1.671527e-10 -2.144945e-04 -2.111360e-04 -4.011734e-05 -1.207049e-04
