# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.9746696040979
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.608906863
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:33:41
# Scan.end_time: 02/22/2022  15:34:07
# Scan.duration: 00:26
# Scan.transient_id: 197138
# Scan.uid: 35d01640-082e-4bdd-8444-5c93d232723b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.106786e-09 -3.339273e-10 -1.379555e-11 2.971513e-11 -1.184843e-04 -1.215483e-04 -2.538587e-05 -9.638578e-05
 8238.000000 -1.460678e-09 -6.287205e-10 -1.596936e-11 4.157207e-11 -1.705000e-04 -1.820784e-04 -3.535743e-05 -1.451557e-04
 8243.000000 -1.478661e-09 -7.167201e-10 -3.578367e-11 4.529443e-11 -1.711602e-04 -1.745301e-04 -3.774717e-05 -1.528300e-04
 8248.000000 -1.488843e-09 -5.473820e-10 -1.685168e-11 4.906747e-11 -1.731639e-04 -1.728989e-04 -2.442887e-05 -1.651282e-04
 8253.000000 -1.598760e-09 -7.700757e-10 1.111011e-11 4.282418e-11 -1.730371e-04 -1.804725e-04 -3.155455e-05 -1.680463e-04
 8258.000000 -1.668369e-09 -7.683179e-10 -7.187381e-12 4.115333e-11 -1.684862e-04 -1.781812e-04 -3.678978e-05 -1.658547e-04
 8263.000000 -1.730703e-09 -6.915761e-10 -9.261959e-12 3.933463e-11 -1.688376e-04 -1.727128e-04 -3.373679e-05 -1.580221e-04
 8268.000000 -1.759030e-09 -5.761125e-10 1.288178e-11 3.935842e-11 -1.720245e-04 -1.622532e-04 -2.172116e-05 -1.449351e-04
 8273.000000 -1.742187e-09 -3.864837e-10 3.164835e-11 4.686417e-11 -1.717491e-04 -1.663268e-04 -1.511641e-05 -1.483779e-04
 8278.000000 -1.727905e-09 -1.661421e-10 1.569599e-11 4.183856e-11 -1.754108e-04 -1.650615e-04 -3.690656e-05 -1.430138e-04
 8283.000000 -1.684514e-09 -4.981849e-10 -2.555140e-11 4.343941e-11 -1.761410e-04 -1.672217e-04 -4.570762e-05 -1.441880e-04
 8288.000000 -1.839225e-09 -3.915506e-10 -3.890876e-11 4.421082e-11 -1.834907e-04 -1.722164e-04 -4.079776e-05 -1.409912e-04
 8293.000000 -1.754645e-09 -3.150551e-10 1.367616e-12 4.506765e-11 -1.792132e-04 -1.701326e-04 -3.776401e-05 -1.450753e-04
 8298.000000 -1.846476e-09 -3.426617e-10 -9.167803e-13 4.397152e-11 -1.812287e-04 -1.627479e-04 -3.180912e-05 -1.449736e-04
 8303.000000 -1.898467e-09 -2.272371e-10 -3.209999e-11 4.333385e-11 -1.875039e-04 -1.547913e-04 -2.480244e-05 -1.509529e-04
 8307.000000 -1.675653e-09 -1.667119e-10 -3.738457e-11 4.241055e-11 -1.910217e-04 -1.471102e-04 -2.453764e-05 -1.457712e-04
 8310.000000 -1.655037e-09 -1.267197e-10 -1.918103e-11 3.991615e-11 -1.869775e-04 -1.599868e-04 -3.927075e-05 -1.512773e-04
 8312.000000 -1.649780e-09 -4.752558e-10 -2.177496e-11 4.405392e-11 -1.884719e-04 -1.537182e-04 -3.501516e-05 -1.505379e-04
 8313.000000 -1.744724e-09 -1.033897e-09 -8.391286e-11 4.124257e-11 -1.910711e-04 -1.530558e-04 -3.220603e-05 -1.539440e-04
 8313.200000 -1.653118e-09 -1.072333e-09 -1.118142e-10 3.845929e-11 -1.915854e-04 -1.572459e-04 -4.591150e-05 -1.642963e-04
 8313.400000 -1.636564e-09 -5.722559e-10 -2.861261e-11 4.320600e-11 -1.983318e-04 -1.523624e-04 -4.359776e-05 -1.564014e-04
 8313.600000 -1.580789e-09 1.055249e-10 -1.624499e-11 5.103773e-11 -1.897643e-04 -1.571811e-04 -2.893187e-05 -1.480312e-04
 8313.800000 -1.617133e-09 -3.924226e-10 -4.810222e-11 3.840497e-11 -1.846459e-04 -1.669766e-04 -1.615150e-05 -1.451661e-04
 8314.000000 -1.580893e-09 -5.694211e-10 -3.549134e-12 4.030895e-11 -1.913901e-04 -1.684631e-04 -8.506384e-06 -1.421989e-04
 8314.200000 -1.600561e-09 5.460935e-11 9.173394e-11 5.042527e-11 -1.985347e-04 -1.749100e-04 -2.647041e-05 -1.486559e-04
 8314.400000 -1.626185e-09 -2.520304e-10 7.288709e-11 3.761770e-11 -1.874239e-04 -1.748253e-04 -3.014370e-05 -1.548591e-04
 8314.600000 -1.710638e-09 -6.424832e-10 6.637132e-12 4.060045e-11 -1.873338e-04 -1.816902e-04 -3.860287e-05 -1.530839e-04
 8314.800000 -1.928902e-09 -5.887348e-10 -8.530607e-12 3.705274e-11 -1.824096e-04 -1.772187e-04 -3.351691e-05 -1.486457e-04
 8315.000000 -1.862691e-09 -2.396162e-10 1.152295e-10 3.913345e-11 -1.745406e-04 -1.610326e-04 -2.206824e-05 -1.455964e-04
 8315.200000 -1.658224e-09 -4.193244e-10 4.294535e-11 4.077135e-11 -1.830358e-04 -1.597036e-04 -3.914683e-05 -1.609107e-04
 8315.400000 -1.746990e-09 -6.585910e-10 -4.457421e-11 4.340632e-11 -1.962008e-04 -1.603415e-04 -3.918804e-05 -1.656684e-04
 8315.600000 -1.782313e-09 -2.697041e-10 3.907161e-11 4.488324e-11 -1.919990e-04 -1.610793e-04 -3.461536e-05 -1.594075e-04
 8315.800000 -2.017303e-09 -7.505359e-10 7.106992e-11 5.414137e-11 -1.838771e-04 -1.740450e-04 -2.351730e-05 -1.551195e-04
 8316.000000 -1.900552e-09 -6.473555e-10 -4.382455e-11 4.607269e-11 -1.824819e-04 -1.704557e-04 -3.900044e-05 -1.512319e-04
 8316.200000 -1.920858e-09 -7.418456e-10 -7.354386e-11 4.430209e-11 -1.784751e-04 -1.730908e-04 -2.795541e-05 -1.512993e-04
 8316.400000 -1.872465e-09 -1.458272e-10 1.540038e-11 4.367325e-11 -1.827259e-04 -1.671805e-04 -2.947876e-05 -1.501216e-04
 8316.600000 -1.675419e-09 -9.390957e-11 2.706891e-11 5.028323e-11 -1.855950e-04 -1.674427e-04 -3.333729e-05 -1.544189e-04
 8316.800000 -1.653957e-09 5.583813e-10 -4.363361e-11 4.545485e-11 -1.890690e-04 -1.682632e-04 -1.851909e-05 -1.518037e-04
 8317.000000 -1.665538e-09 3.393315e-10 1.178532e-11 4.314023e-11 -1.755146e-04 -1.699842e-04 -2.777501e-05 -1.442943e-04
 8317.200000 -1.729695e-09 -3.294469e-10 -2.142809e-11 4.947813e-11 -1.808359e-04 -1.726298e-04 -2.710686e-05 -1.496059e-04
 8317.400000 -1.647626e-09 -4.307633e-10 -3.072033e-11 4.767227e-11 -1.813178e-04 -1.783308e-04 -2.890394e-05 -1.558660e-04
 8317.600000 -1.693559e-09 -5.292559e-10 -6.337625e-11 4.962203e-11 -1.874616e-04 -1.829862e-04 -3.717772e-05 -1.542915e-04
