# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.05916192546215
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6089640835
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:45:54
# Scan.end_time: 02/22/2022  15:46:17
# Scan.duration: 00:23
# Scan.transient_id: 197159
# Scan.uid: 52c1f04f-9aeb-4406-9db0-12d68c828cd1
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.915093e-05 -2.825003e-06 -1.725374e-07 -3.575325e-08 -1.419638e-04 -1.344395e-04 -3.573810e-05 -9.038141e-05
 8238.000000 -2.745370e-05 -4.062572e-06 -2.485724e-07 -5.136542e-08 -1.976760e-04 -1.935548e-04 -6.210410e-05 -1.328290e-04
 8243.000000 -2.761372e-05 -4.102043e-06 -2.512761e-07 -5.179108e-08 -2.018876e-04 -1.913216e-04 -6.073097e-05 -1.245867e-04
 8248.000000 -2.760766e-05 -4.119278e-06 -2.524112e-07 -5.189317e-08 -2.058060e-04 -1.751182e-04 -5.563933e-05 -1.209099e-04
 8253.000000 -2.761720e-05 -4.140229e-06 -2.536206e-07 -5.201791e-08 -2.043380e-04 -1.764853e-04 -6.264106e-05 -1.255504e-04
 8258.000000 -2.764051e-05 -4.162975e-06 -2.548669e-07 -5.214388e-08 -1.977479e-04 -1.865234e-04 -5.994369e-05 -1.295721e-04
 8263.000000 -2.769943e-05 -4.192346e-06 -2.568663e-07 -5.236214e-08 -2.054577e-04 -1.822452e-04 -6.665350e-05 -1.329355e-04
 8268.000000 -2.776610e-05 -4.221580e-06 -2.591194e-07 -5.258965e-08 -2.080254e-04 -1.883452e-04 -6.133378e-05 -1.273569e-04
 8273.000000 -2.775320e-05 -4.239178e-06 -2.612292e-07 -5.265184e-08 -2.044890e-04 -1.963199e-04 -3.550676e-05 -1.322470e-04
 8278.000000 -2.774785e-05 -4.257430e-06 -2.636126e-07 -5.276104e-08 -1.956369e-04 -1.867478e-04 -3.441167e-05 -1.295637e-04
 8283.000000 -2.775065e-05 -4.276683e-06 -2.662456e-07 -5.290994e-08 -2.062496e-04 -1.836902e-04 -3.392277e-05 -1.257248e-04
 8288.000000 -2.776361e-05 -4.296898e-06 -2.688630e-07 -5.312359e-08 -2.050710e-04 -1.829776e-04 -2.778755e-05 -1.269583e-04
 8293.000000 -2.778232e-05 -4.316226e-06 -2.714494e-07 -5.333006e-08 -2.096089e-04 -1.879073e-04 -2.963301e-05 -1.190664e-04
 8298.000000 -2.773899e-05 -4.326177e-06 -2.734158e-07 -5.345107e-08 -2.103605e-04 -1.888730e-04 -3.285953e-05 -1.162635e-04
 8303.000000 -2.787200e-05 -4.360430e-06 -2.769205e-07 -5.397612e-08 -2.118957e-04 -1.959808e-04 -2.768751e-05 -1.179324e-04
 8307.000000 -2.793755e-05 -4.381316e-06 -2.792103e-07 -5.433758e-08 -2.124564e-04 -2.045150e-04 -2.968495e-05 -1.203560e-04
 8310.000000 -2.790367e-05 -4.385032e-06 -2.800635e-07 -5.447977e-08 -2.102610e-04 -2.088174e-04 -3.679463e-05 -1.250998e-04
 8312.000000 -2.787147e-05 -4.385555e-06 -2.805621e-07 -5.455402e-08 -2.085168e-04 -2.204610e-04 -4.175495e-05 -1.334489e-04
 8313.000000 -2.784720e-05 -4.384066e-06 -2.807400e-07 -5.457821e-08 -2.110789e-04 -2.233282e-04 -3.187854e-05 -1.261209e-04
 8313.200000 -2.781472e-05 -4.379324e-06 -2.803432e-07 -5.453028e-08 -2.132396e-04 -2.207074e-04 -3.895757e-05 -1.235356e-04
 8313.400000 -2.779933e-05 -4.378022e-06 -2.804051e-07 -5.450933e-08 -2.120158e-04 -2.180645e-04 -4.696148e-05 -1.279682e-04
