# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.38609345112144
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6089640835
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:02:28
# Scan.end_time: 02/22/2022  16:02:51
# Scan.duration: 00:22
# Scan.transient_id: 197189
# Scan.uid: da229971-8c16-4f50-9571-29586c0f23e6
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.601076e-05 -2.173733e-06 -3.394356e-07 -6.897862e-09 -1.547204e-04 -1.166198e-04 -2.547231e-05 -7.337157e-05
 7614.000000 -2.369958e-05 -3.231154e-06 -5.054700e-07 -1.023674e-08 -2.395764e-04 -1.703876e-04 -4.033376e-05 -1.018905e-04
 7619.000000 -2.377326e-05 -3.257584e-06 -5.106284e-07 -1.030200e-08 -2.356170e-04 -1.711036e-04 -4.943670e-05 -1.133415e-04
 7624.000000 -2.385875e-05 -3.285186e-06 -5.159548e-07 -1.036179e-08 -2.197752e-04 -1.690201e-04 -4.600565e-05 -1.251184e-04
 7629.000000 -2.393752e-05 -3.312069e-06 -5.211702e-07 -1.042943e-08 -2.166836e-04 -1.657094e-04 -3.068910e-05 -1.248884e-04
 7634.000000 -2.403893e-05 -3.342668e-06 -5.269848e-07 -1.051775e-08 -2.210515e-04 -1.668917e-04 -3.583843e-05 -1.339554e-04
 7639.000000 -2.408180e-05 -3.365704e-06 -5.316806e-07 -1.055957e-08 -2.207906e-04 -1.687296e-04 -4.072946e-05 -1.373257e-04
 7644.000000 -2.410023e-05 -3.385082e-06 -5.358367e-07 -1.060402e-08 -2.176040e-04 -1.694141e-04 -3.873758e-05 -1.470317e-04
 7649.000000 -2.410922e-05 -3.402725e-06 -5.396785e-07 -1.064042e-08 -2.170259e-04 -1.780739e-04 -4.076970e-05 -1.454512e-04
 7654.000000 -2.407866e-05 -3.415960e-06 -5.427046e-07 -1.066427e-08 -2.149663e-04 -1.777164e-04 -4.188003e-05 -1.451896e-04
 7659.000000 -2.419644e-05 -3.448911e-06 -5.489147e-07 -1.075138e-08 -2.226195e-04 -1.749054e-04 -4.773418e-05 -1.502848e-04
 7664.000000 -2.428597e-05 -3.478094e-06 -5.545533e-07 -1.082715e-08 -2.211390e-04 -1.846988e-04 -3.822099e-05 -1.454497e-04
 7669.000000 -2.430985e-05 -3.499274e-06 -5.589763e-07 -1.088135e-08 -2.142793e-04 -1.834759e-04 -4.125840e-05 -1.440408e-04
 7674.000000 -2.430685e-05 -3.515838e-06 -5.624448e-07 -1.091940e-08 -2.150672e-04 -1.812220e-04 -4.197480e-05 -1.402585e-04
 7679.000000 -2.433473e-05 -3.536359e-06 -5.663764e-07 -1.098175e-08 -2.234576e-04 -1.755553e-04 -4.172035e-05 -1.353641e-04
 7683.000000 -2.433457e-05 -3.549642e-06 -5.689717e-07 -1.102101e-08 -2.246032e-04 -1.679059e-04 -3.480991e-05 -1.374852e-04
 7686.000000 -2.436054e-05 -3.563322e-06 -5.714642e-07 -1.106723e-08 -2.245398e-04 -1.756260e-04 -4.295393e-05 -1.361344e-04
