# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.51490548723723
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.608983157
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:19:24
# Scan.end_time: 02/22/2022  16:19:48
# Scan.duration: 00:24
# Scan.transient_id: 197219
# Scan.uid: 978dc330-a3ac-48ca-9613-d2c8eefa2b95
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.326292e-06 -4.412727e-07 -3.423737e-08 -8.163041e-11 -1.404511e-04 -1.310866e-04 -3.341174e-05 -8.861493e-05
 6444.000000 -1.263161e-05 -6.736217e-07 -5.243614e-08 -1.228872e-10 -2.103287e-04 -1.975942e-04 -4.942509e-05 -1.321614e-04
 6449.000000 -1.271195e-05 -6.838597e-07 -5.345540e-08 -1.252283e-10 -2.174730e-04 -1.960312e-04 -5.926085e-05 -1.347348e-04
 6454.000000 -1.270992e-05 -6.891590e-07 -5.411153e-08 -1.302811e-10 -2.114203e-04 -2.022851e-04 -5.215166e-05 -1.346467e-04
 6459.000000 -1.280046e-05 -6.999858e-07 -5.514087e-08 -1.355481e-10 -2.091975e-04 -2.061615e-04 -5.691350e-05 -1.265000e-04
 6464.000000 -1.287673e-05 -7.097908e-07 -5.612878e-08 -1.353815e-10 -2.091351e-04 -2.049774e-04 -4.881693e-05 -1.224363e-04
 6469.000000 -1.291344e-05 -7.175382e-07 -5.698409e-08 -1.357305e-10 -2.113507e-04 -2.059841e-04 -3.990855e-05 -1.058735e-04
 6474.000000 -1.299695e-05 -7.277925e-07 -5.802012e-08 -1.390367e-10 -2.157196e-04 -2.029432e-04 -4.129891e-05 -9.057895e-05
 6479.000000 -1.305144e-05 -7.368631e-07 -5.901609e-08 -1.404031e-10 -2.179673e-04 -2.093080e-04 -3.270800e-05 -9.711944e-05
 6484.000000 -1.309788e-05 -7.453655e-07 -5.989867e-08 -1.510320e-10 -2.181754e-04 -2.093208e-04 -3.267240e-05 -9.820904e-05
 6489.000000 -1.315473e-05 -7.546025e-07 -6.088440e-08 -1.512209e-10 -2.135905e-04 -2.101924e-04 -3.667297e-05 -1.091006e-04
