# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.49254411877376
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.608983157
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:34:15
# Scan.end_time: 02/22/2022  15:34:40
# Scan.duration: 00:25
# Scan.transient_id: 197139
# Scan.uid: d060ea78-f578-4bc6-9a7f-a28922f36c70
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.011434e-09 -3.578762e-10 -2.456722e-11 2.832037e-11 -1.215665e-04 -1.235155e-04 -1.760789e-05 -9.168047e-05
 8238.000000 -1.366137e-09 -2.825029e-10 -1.622611e-11 4.231232e-11 -1.800399e-04 -1.800358e-04 -2.855820e-05 -1.268835e-04
 8243.000000 -1.364392e-09 -2.848534e-10 -2.908300e-11 4.094536e-11 -1.732702e-04 -1.849300e-04 -2.602941e-05 -1.267222e-04
 8248.000000 -1.295226e-09 -6.244859e-10 1.714014e-12 4.069878e-11 -1.697316e-04 -1.837234e-04 -2.962646e-05 -1.338759e-04
 8253.000000 -1.296569e-09 -4.183649e-10 7.264636e-12 4.300232e-11 -1.730470e-04 -1.858743e-04 -3.927550e-05 -1.322842e-04
 8258.000000 -1.515680e-09 -2.749117e-10 2.038312e-11 4.295622e-11 -1.700870e-04 -1.799011e-04 -3.079416e-05 -1.380598e-04
 8263.000000 -1.309930e-09 -3.089031e-10 7.996936e-12 4.083305e-11 -1.641572e-04 -1.791262e-04 -3.309511e-05 -1.384064e-04
 8268.000000 -1.362441e-09 -7.334859e-10 -6.351646e-11 4.336538e-11 -1.709833e-04 -1.861472e-04 -2.965820e-05 -1.332288e-04
 8273.000000 -1.359874e-09 -4.384730e-10 -2.376701e-11 4.293772e-11 -1.690201e-04 -1.885753e-04 -3.215535e-05 -1.348550e-04
 8278.000000 -1.397704e-09 -6.358019e-10 -1.207636e-11 4.516764e-11 -1.697720e-04 -1.803277e-04 -3.506235e-05 -1.328179e-04
 8283.000000 -1.421662e-09 -5.080003e-10 -7.493594e-12 4.593820e-11 -1.698165e-04 -1.743262e-04 -3.919001e-05 -1.285456e-04
 8288.000000 -1.285208e-09 -5.062019e-10 2.869983e-12 4.453355e-11 -1.727521e-04 -1.772609e-04 -4.566135e-05 -1.295171e-04
