# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.67169338647494
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.96702645
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:46:25
# Scan.end_time: 02/22/2022  15:46:50
# Scan.duration: 00:24
# Scan.transient_id: 197160
# Scan.uid: 6a2e0f00-fca7-40e2-8383-8de1d37fa086
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.917756e-05 -2.827505e-06 -1.723713e-07 -3.578038e-08 -1.427534e-04 -1.324639e-04 -3.226208e-05 -7.924477e-05
 8238.000000 -2.757448e-05 -4.077514e-06 -2.489189e-07 -5.156208e-08 -2.058885e-04 -1.926997e-04 -4.423889e-05 -1.150899e-04
 8243.000000 -2.770144e-05 -4.112298e-06 -2.513585e-07 -5.193120e-08 -2.058939e-04 -1.880755e-04 -4.490659e-05 -1.201046e-04
 8248.000000 -2.773451e-05 -4.135472e-06 -2.529126e-07 -5.213559e-08 -2.138280e-04 -1.799927e-04 -4.608425e-05 -1.246456e-04
 8253.000000 -2.777843e-05 -4.162280e-06 -2.545318e-07 -5.232551e-08 -2.093733e-04 -1.853782e-04 -4.693132e-05 -1.333502e-04
 8258.000000 -2.777496e-05 -4.181320e-06 -2.555876e-07 -5.238081e-08 -1.989889e-04 -1.871900e-04 -5.717856e-05 -1.246906e-04
 8263.000000 -2.779354e-05 -4.204181e-06 -2.571157e-07 -5.250520e-08 -1.881925e-04 -1.838376e-04 -6.078712e-05 -1.224535e-04
 8268.000000 -2.784407e-05 -4.231327e-06 -2.592968e-07 -5.273162e-08 -1.931120e-04 -1.884887e-04 -6.145545e-05 -1.198914e-04
 8273.000000 -2.781378e-05 -4.246677e-06 -2.612423e-07 -5.275488e-08 -1.961322e-04 -1.842153e-04 -5.830393e-05 -1.202822e-04
 8278.000000 -2.774710e-05 -4.257163e-06 -2.631612e-07 -5.273836e-08 -2.016328e-04 -1.856730e-04 -5.869060e-05 -1.130997e-04
 8283.000000 -2.776497e-05 -4.278012e-06 -2.658287e-07 -5.290595e-08 -2.023230e-04 -1.895563e-04 -5.651200e-05 -1.118157e-04
