# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.006113481648
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:02:59
# Scan.end_time: 02/22/2022  16:03:24
# Scan.duration: 00:24
# Scan.transient_id: 197190
# Scan.uid: 5ac048af-b057-454d-ba1b-abeee90490ae
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.600032e-05 -2.172364e-06 -3.391675e-07 -6.889742e-09 -1.340857e-04 -1.239689e-04 -4.349564e-05 -7.709410e-05
 7614.000000 -2.375255e-05 -3.237424e-06 -5.062511e-07 -1.024940e-08 -2.061985e-04 -1.816182e-04 -6.231025e-05 -1.144761e-04
 7619.000000 -2.391501e-05 -3.275716e-06 -5.132321e-07 -1.034898e-08 -2.104351e-04 -1.855137e-04 -6.906657e-05 -1.241473e-04
 7624.000000 -2.373290e-05 -3.268941e-06 -5.134071e-07 -1.030091e-08 -2.167535e-04 -1.758261e-04 -7.674891e-05 -1.287709e-04
 7629.000000 -2.373290e-05 -3.286407e-06 -5.172749e-07 -1.033539e-08 -2.204444e-04 -1.834931e-04 -7.364818e-05 -1.201545e-04
 7634.000000 -2.406198e-05 -3.346961e-06 -5.276050e-07 -1.052147e-08 -2.211942e-04 -1.933535e-04 -7.129045e-05 -1.408146e-04
 7639.000000 -2.416116e-05 -3.376618e-06 -5.333138e-07 -1.059805e-08 -2.138628e-04 -1.899551e-04 -7.508892e-05 -1.459827e-04
 7644.000000 -2.417262e-05 -3.395384e-06 -5.372785e-07 -1.062536e-08 -2.060859e-04 -1.876935e-04 -7.143230e-05 -1.498257e-04
 7649.000000 -2.417160e-05 -3.412327e-06 -5.410145e-07 -1.065836e-08 -2.035373e-04 -1.866419e-04 -7.351516e-05 -1.474070e-04
 7654.000000 -2.413896e-05 -3.425885e-06 -5.442051e-07 -1.067901e-08 -2.076489e-04 -1.975188e-04 -6.598520e-05 -1.543307e-04
 7659.000000 -2.416789e-05 -3.447969e-06 -5.487858e-07 -1.073394e-08 -2.120119e-04 -1.992263e-04 -6.871748e-05 -1.521769e-04
 7664.000000 -2.431920e-05 -3.485051e-06 -5.555493e-07 -1.084750e-08 -2.123744e-04 -1.986178e-04 -6.624428e-05 -1.435944e-04
 7669.000000 -2.436677e-05 -3.508215e-06 -5.601128e-07 -1.090359e-08 -2.105757e-04 -1.934581e-04 -6.900413e-05 -1.411713e-04
 7674.000000 -2.431093e-05 -3.517337e-06 -5.624560e-07 -1.091796e-08 -2.063438e-04 -1.859539e-04 -7.189231e-05 -1.449435e-04
 7679.000000 -2.412950e-05 -3.509580e-06 -5.620797e-07 -1.087822e-08 -2.110234e-04 -1.734712e-04 -6.079320e-05 -1.387139e-04
 7683.000000 -2.433090e-05 -3.550577e-06 -5.690560e-07 -1.101287e-08 -2.079510e-04 -1.613548e-04 -6.000685e-05 -1.320580e-04
 7686.000000 -2.446907e-05 -3.579081e-06 -5.738226e-07 -1.111514e-08 -2.045495e-04 -1.558589e-04 -4.941286e-05 -1.330999e-04
 7688.000000 -2.443057e-05 -3.580453e-06 -5.742430e-07 -1.111845e-08 -2.189775e-04 -1.649937e-04 -5.331802e-05 -1.479299e-04
 7689.000000 -2.426376e-05 -3.560886e-06 -5.712814e-07 -1.105409e-08 -2.132048e-04 -1.644871e-04 -5.613192e-05 -1.365187e-04
 7689.200000 -2.421816e-05 -3.554771e-06 -5.701846e-07 -1.103521e-08 -2.046828e-04 -1.638002e-04 -5.722913e-05 -1.356207e-04
 7689.400000 -2.418230e-05 -3.550169e-06 -5.697502e-07 -1.104153e-08 -2.064186e-04 -1.639464e-04 -6.028526e-05 -1.407838e-04
 7689.600000 -2.430807e-05 -3.568438e-06 -5.725068e-07 -1.110183e-08 -2.107536e-04 -1.660995e-04 -6.526744e-05 -1.450114e-04
 7689.800000 -2.424585e-05 -3.560002e-06 -5.713003e-07 -1.105184e-08 -2.044776e-04 -1.839241e-04 -6.205847e-05 -1.440319e-04
 7690.000000 -2.430804e-05 -3.570217e-06 -5.727408e-07 -1.110280e-08 -2.055683e-04 -1.669342e-04 -5.835974e-05 -1.459275e-04
 7690.200000 -2.429747e-05 -3.569154e-06 -5.725287e-07 -1.112729e-08 -2.103484e-04 -1.674876e-04 -6.400396e-05 -1.393780e-04
 7690.400000 -2.430669e-05 -3.570453e-06 -5.728784e-07 -1.110907e-08 -2.049757e-04 -1.603898e-04 -5.330023e-05 -1.344652e-04
 7690.600000 -2.438734e-05 -3.583260e-06 -5.748630e-07 -1.111228e-08 -2.053110e-04 -1.648483e-04 -5.435659e-05 -1.342582e-04
 7690.800000 -2.441208e-05 -3.585900e-06 -5.752809e-07 -1.112257e-08 -2.139742e-04 -1.620792e-04 -4.900453e-05 -1.397985e-04
 7691.000000 -2.442618e-05 -3.589361e-06 -5.758050e-07 -1.118098e-08 -2.185655e-04 -1.640813e-04 -5.041885e-05 -1.447628e-04
 7691.200000 -2.440595e-05 -3.586614e-06 -5.752051e-07 -1.117430e-08 -2.154671e-04 -1.618870e-04 -4.426601e-05 -1.405888e-04
