# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.5827877474817
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:19:57
# Scan.end_time: 02/22/2022  16:20:22
# Scan.duration: 00:25
# Scan.transient_id: 197220
# Scan.uid: e2b8eebf-07fc-4b4a-891c-b41ba9dc597b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.296743e-06 -4.406364e-07 -3.423857e-08 -8.161208e-11 -1.474245e-04 -1.279535e-04 -2.769102e-05 -7.868501e-05
 6444.000000 -1.254744e-05 -6.708085e-07 -5.227448e-08 -1.234665e-10 -2.132431e-04 -1.977364e-04 -4.047138e-05 -1.225823e-04
 6449.000000 -1.264297e-05 -6.814159e-07 -5.326570e-08 -1.254551e-10 -2.213543e-04 -1.939212e-04 -3.873077e-05 -1.207201e-04
 6454.000000 -1.265198e-05 -6.875776e-07 -5.402870e-08 -1.274738e-10 -2.297464e-04 -2.005149e-04 -4.474320e-05 -1.194631e-04
 6459.000000 -1.274286e-05 -6.983728e-07 -5.508953e-08 -1.336664e-10 -2.255837e-04 -2.057115e-04 -6.587937e-05 -1.223607e-04
 6464.000000 -1.280442e-05 -7.068120e-07 -5.596480e-08 -1.348302e-10 -2.232607e-04 -2.085998e-04 -6.523533e-05 -1.191866e-04
 6469.000000 -1.284271e-05 -7.148675e-07 -5.676212e-08 -1.416350e-10 -2.251590e-04 -2.012270e-04 -5.119160e-05 -1.210671e-04
 6474.000000 -1.294235e-05 -7.260420e-07 -5.787590e-08 -1.438768e-10 -2.321987e-04 -1.980160e-04 -4.075009e-05 -1.153071e-04
 6479.000000 -1.303290e-05 -7.367095e-07 -5.895869e-08 -1.475254e-10 -2.359284e-04 -2.037930e-04 -4.717109e-05 -1.176674e-04
 6484.000000 -1.311143e-05 -7.468621e-07 -6.000787e-08 -1.527154e-10 -2.262821e-04 -2.019632e-04 -5.743128e-05 -1.196709e-04
 6489.000000 -1.319112e-05 -7.572402e-07 -6.108874e-08 -1.556626e-10 -2.210940e-04 -2.021195e-04 -5.984777e-05 -1.227607e-04
