# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.09175300024526
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0004
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:34:48
# Scan.end_time: 02/22/2022  15:35:14
# Scan.duration: 00:25
# Scan.transient_id: 197140
# Scan.uid: 14304074-b0c9-4016-9972-f1d543463142
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.076615e-09 -4.787187e-10 -1.237959e-12 3.253957e-11 -1.153470e-04 -1.286048e-04 -2.433638e-05 -9.640944e-05
 8238.000000 -1.484827e-09 -6.955003e-10 -1.610325e-11 4.393210e-11 -1.665365e-04 -1.697101e-04 -2.680917e-05 -1.360471e-04
 8243.000000 -1.582484e-09 -8.857288e-10 -2.084412e-11 4.912497e-11 -1.766785e-04 -1.658299e-04 -3.152365e-05 -1.375270e-04
 8248.000000 -1.589193e-09 -7.730508e-10 1.248185e-11 4.687204e-11 -1.783234e-04 -1.625399e-04 -4.155241e-05 -1.324389e-04
 8253.000000 -1.567350e-09 -4.189107e-10 1.300884e-11 4.677503e-11 -1.742036e-04 -1.725883e-04 -4.547769e-05 -1.348671e-04
 8258.000000 -1.472798e-09 -4.370244e-10 -1.293767e-11 4.445599e-11 -1.723434e-04 -1.714660e-04 -2.627679e-05 -1.350618e-04
 8263.000000 -1.571598e-09 -7.083056e-10 3.900526e-11 4.295892e-11 -1.638660e-04 -1.695019e-04 -3.457564e-05 -1.289815e-04
 8268.000000 -1.660041e-09 -6.907179e-10 3.936541e-11 4.776416e-11 -1.597955e-04 -1.694599e-04 -3.633828e-05 -1.304951e-04
 8273.000000 -1.388526e-09 -5.970388e-10 -1.085987e-11 4.860990e-11 -1.676419e-04 -1.743933e-04 -3.609424e-05 -1.282042e-04
 8278.000000 -1.261530e-09 -4.403899e-10 2.699255e-11 4.591398e-11 -1.649919e-04 -1.779177e-04 -2.767963e-05 -1.275540e-04
 8283.000000 -1.282900e-09 -5.125384e-10 4.548878e-11 4.615519e-11 -1.706267e-04 -1.800012e-04 -2.794948e-05 -1.302259e-04
 8288.000000 -1.308265e-09 -4.783744e-10 1.720455e-11 4.446638e-11 -1.727744e-04 -1.711841e-04 -3.135699e-05 -1.312799e-04
