# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.332326953935
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:46:58
# Scan.end_time: 02/22/2022  15:47:22
# Scan.duration: 00:24
# Scan.transient_id: 197161
# Scan.uid: c9a46614-f7a4-4206-98e9-620cfa89c8cc
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.924676e-05 -2.838286e-06 -1.730794e-07 -3.591172e-08 -1.428526e-04 -1.363057e-04 -2.844579e-05 -8.024745e-05
 8238.000000 -2.762842e-05 -4.087621e-06 -2.497114e-07 -5.164907e-08 -2.100741e-04 -1.998970e-04 -3.602389e-05 -1.043017e-04
 8243.000000 -2.759821e-05 -4.100987e-06 -2.509081e-07 -5.172751e-08 -2.076030e-04 -2.063778e-04 -3.968861e-05 -1.041361e-04
 8248.000000 -2.762078e-05 -4.122469e-06 -2.523392e-07 -5.189086e-08 -2.046141e-04 -2.066890e-04 -4.266436e-05 -1.134663e-04
 8253.000000 -2.783219e-05 -4.170640e-06 -2.551177e-07 -5.240025e-08 -2.061397e-04 -2.141588e-04 -3.527211e-05 -1.208950e-04
 8258.000000 -2.784369e-05 -4.191622e-06 -2.562676e-07 -5.248580e-08 -2.082803e-04 -2.184082e-04 -3.117227e-05 -1.186855e-04
 8263.000000 -2.783903e-05 -4.211682e-06 -2.576783e-07 -5.258496e-08 -2.099899e-04 -2.182437e-04 -3.593688e-05 -1.222210e-04
 8268.000000 -2.785302e-05 -4.234256e-06 -2.596001e-07 -5.271871e-08 -2.127301e-04 -2.124832e-04 -3.417332e-05 -1.210003e-04
 8273.000000 -2.785683e-05 -4.254841e-06 -2.617600e-07 -5.281632e-08 -2.184015e-04 -2.127027e-04 -3.661323e-05 -1.165658e-04
 8278.000000 -2.786455e-05 -4.274889e-06 -2.643239e-07 -5.296635e-08 -2.177919e-04 -2.127338e-04 -3.814903e-05 -1.141889e-04
 8283.000000 -2.781924e-05 -4.287304e-06 -2.664871e-07 -5.301772e-08 -2.132046e-04 -2.113319e-04 -4.753625e-05 -1.074947e-04
 8288.000000 -2.794272e-05 -4.323422e-06 -2.702560e-07 -5.341616e-08 -2.007410e-04 -2.052418e-04 -5.360484e-05 -1.045537e-04
 8293.000000 -2.791739e-05 -4.337089e-06 -2.725934e-07 -5.357074e-08 -1.921708e-04 -2.075769e-04 -4.133871e-05 -1.122496e-04
 8298.000000 -2.789742e-05 -4.350887e-06 -2.748495e-07 -5.374612e-08 -1.993690e-04 -2.099853e-04 -4.837253e-05 -1.159499e-04
 8303.000000 -2.794173e-05 -4.372605e-06 -2.775829e-07 -5.409225e-08 -2.073015e-04 -2.058151e-04 -6.356314e-05 -1.136909e-04
 8307.000000 -2.800886e-05 -4.393761e-06 -2.798473e-07 -5.447594e-08 -1.998064e-04 -2.069049e-04 -6.815191e-05 -1.171230e-04
 8310.000000 -2.804397e-05 -4.407338e-06 -2.813673e-07 -5.474305e-08 -1.888498e-04 -2.093098e-04 -6.020357e-05 -1.265245e-04
 8312.000000 -2.806153e-05 -4.415512e-06 -2.824112e-07 -5.492159e-08 -1.948519e-04 -2.076025e-04 -5.605035e-05 -1.254507e-04
 8313.000000 -2.805456e-05 -4.417955e-06 -2.828723e-07 -5.499377e-08 -1.915573e-04 -2.038718e-04 -4.542380e-05 -1.127109e-04
 8313.200000 -2.807433e-05 -4.421298e-06 -2.831492e-07 -5.500460e-08 -1.893479e-04 -2.058020e-04 -3.860607e-05 -1.199971e-04
 8313.400000 -2.800109e-05 -4.410744e-06 -2.824598e-07 -5.493698e-08 -1.813792e-04 -2.139658e-04 -4.057927e-05 -1.224954e-04
 8313.600000 -2.803037e-05 -4.415270e-06 -2.827660e-07 -5.502083e-08 -1.873062e-04 -2.141737e-04 -3.958503e-05 -1.176762e-04
 8313.800000 -2.806661e-05 -4.421300e-06 -2.831758e-07 -5.510170e-08 -1.795365e-04 -2.124423e-04 -3.686020e-05 -1.189282e-04
 8314.000000 -2.806781e-05 -4.421689e-06 -2.832043e-07 -5.518106e-08 -1.743917e-04 -2.058176e-04 -4.189929e-05 -1.135416e-04
 8314.200000 -2.808481e-05 -4.424625e-06 -2.835200e-07 -5.515843e-08 -1.802523e-04 -2.114387e-04 -5.500185e-05 -1.174334e-04
 8314.400000 -2.808733e-05 -4.426066e-06 -2.837239e-07 -5.515124e-08 -1.833472e-04 -2.121854e-04 -4.429991e-05 -1.224545e-04
 8314.600000 -2.808417e-05 -4.425438e-06 -2.836401e-07 -5.521975e-08 -1.811570e-04 -2.172777e-04 -3.697915e-05 -1.194290e-04
 8314.800000 -2.807943e-05 -4.424814e-06 -2.836041e-07 -5.526250e-08 -1.860057e-04 -2.125459e-04 -5.380155e-05 -1.254882e-04
 8315.000000 -2.804745e-05 -4.421094e-06 -2.834818e-07 -5.519828e-08 -1.910804e-04 -2.162205e-04 -3.798501e-05 -1.165630e-04
 8315.200000 -2.800035e-05 -4.413978e-06 -2.829175e-07 -5.509943e-08 -1.987619e-04 -2.150144e-04 -4.364713e-05 -1.107394e-04
 8315.400000 -2.797207e-05 -4.410272e-06 -2.828589e-07 -5.507594e-08 -2.014299e-04 -2.170776e-04 -3.737759e-05 -1.187844e-04
 8315.600000 -2.798612e-05 -4.411634e-06 -2.830222e-07 -5.505084e-08 -2.004922e-04 -2.113531e-04 -3.903467e-05 -1.068509e-04
 8315.800000 -2.796497e-05 -4.410181e-06 -2.829661e-07 -5.506690e-08 -2.016306e-04 -2.145593e-04 -3.833238e-05 -1.089740e-04
 8316.000000 -2.800878e-05 -4.416326e-06 -2.833267e-07 -5.520568e-08 -2.004752e-04 -2.133840e-04 -4.235419e-05 -1.131234e-04
 8316.200000 -2.799223e-05 -4.414967e-06 -2.833307e-07 -5.513724e-08 -1.932086e-04 -2.082452e-04 -4.728113e-05 -1.197122e-04
 8316.400000 -2.804593e-05 -4.422231e-06 -2.837199e-07 -5.524846e-08 -1.936891e-04 -1.941513e-04 -3.861515e-05 -1.179699e-04
 8316.600000 -2.802609e-05 -4.420503e-06 -2.836755e-07 -5.522663e-08 -1.949092e-04 -2.006253e-04 -3.484136e-05 -1.234402e-04
 8316.800000 -2.803088e-05 -4.421953e-06 -2.838394e-07 -5.532563e-08 -1.883334e-04 -1.941742e-04 -4.348185e-05 -1.174819e-04
 8317.000000 -2.798658e-05 -4.415813e-06 -2.835321e-07 -5.526954e-08 -1.968214e-04 -1.910612e-04 -4.814548e-05 -1.103068e-04
 8317.200000 -2.798327e-05 -4.415924e-06 -2.835725e-07 -5.512123e-08 -1.932116e-04 -1.877238e-04 -4.672325e-05 -1.190540e-04
 8317.400000 -2.802073e-05 -4.421231e-06 -2.840332e-07 -5.528226e-08 -1.843476e-04 -1.870628e-04 -5.844835e-05 -1.249275e-04
 8317.600000 -2.803204e-05 -4.423375e-06 -2.840112e-07 -5.538083e-08 -1.853018e-04 -1.988136e-04 -5.711906e-05 -1.086692e-04
 8317.800000 -2.801407e-05 -4.421567e-06 -2.840424e-07 -5.539679e-08 -1.944389e-04 -1.800737e-04 -4.494710e-05 -1.142562e-04
 8318.000000 -2.790555e-05 -4.406056e-06 -2.830614e-07 -5.516478e-08 -1.929788e-04 -1.851036e-04 -4.436666e-05 -1.336623e-04
 8318.200000 -2.796601e-05 -4.413828e-06 -2.834996e-07 -5.533568e-08 -1.898055e-04 -1.941405e-04 -4.858343e-05 -1.280611e-04
