# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 398.620010751559
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:03:32
# Scan.end_time: 02/22/2022  16:03:58
# Scan.duration: 00:25
# Scan.transient_id: 197191
# Scan.uid: e4d83e19-6b27-482f-adc3-ccb2ab74094a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.616053e-05 -2.194353e-06 -3.427478e-07 -6.959303e-09 -1.394065e-04 -1.237933e-04 -1.587309e-05 -9.138078e-05
 7614.000000 -2.390191e-05 -3.258668e-06 -5.097929e-07 -1.032311e-08 -2.056005e-04 -1.790700e-04 -3.169069e-05 -1.315664e-04
 7619.000000 -2.399815e-05 -3.288051e-06 -5.154687e-07 -1.040231e-08 -2.142336e-04 -1.816425e-04 -3.432726e-05 -1.340066e-04
 7624.000000 -2.397246e-05 -3.301777e-06 -5.186969e-07 -1.041296e-08 -2.089587e-04 -1.715032e-04 -3.984496e-05 -1.372414e-04
 7629.000000 -2.405304e-05 -3.329361e-06 -5.239546e-07 -1.048158e-08 -2.004135e-04 -1.820237e-04 -3.349404e-05 -1.355106e-04
 7634.000000 -2.415543e-05 -3.359858e-06 -5.297117e-07 -1.056698e-08 -1.937816e-04 -1.688369e-04 -2.994627e-05 -1.353401e-04
 7639.000000 -2.423372e-05 -3.387022e-06 -5.350354e-07 -1.063250e-08 -1.999744e-04 -1.715234e-04 -3.047942e-05 -1.276249e-04
 7644.000000 -2.428660e-05 -3.411278e-06 -5.398784e-07 -1.068546e-08 -2.033361e-04 -1.734545e-04 -3.062421e-05 -1.353518e-04
 7649.000000 -2.425347e-05 -3.424035e-06 -5.428752e-07 -1.070073e-08 -2.002346e-04 -1.690963e-04 -3.984368e-05 -1.411959e-04
 7654.000000 -2.425963e-05 -3.441509e-06 -5.466358e-07 -1.073810e-08 -2.005287e-04 -1.711398e-04 -2.274306e-05 -1.378924e-04
 7659.000000 -2.439595e-05 -3.477650e-06 -5.532967e-07 -1.083171e-08 -2.027515e-04 -1.671626e-04 -2.596461e-05 -1.417311e-04
 7664.000000 -2.442880e-05 -3.499346e-06 -5.576796e-07 -1.089614e-08 -2.062927e-04 -1.745302e-04 -3.091251e-05 -1.399278e-04
