# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.65237957533674
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:20:31
# Scan.end_time: 02/22/2022  16:20:55
# Scan.duration: 00:23
# Scan.transient_id: 197221
# Scan.uid: 690c7267-ed1c-4841-bcb1-c376df4c4e3b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.292922e-06 -4.398820e-07 -3.412675e-08 -8.215816e-11 -1.435713e-04 -1.211168e-04 -2.323780e-05 -7.536449e-05
 6444.000000 -1.256122e-05 -6.707165e-07 -5.215399e-08 -1.250439e-10 -2.116271e-04 -1.862525e-04 -3.360373e-05 -1.113254e-04
 6449.000000 -1.260604e-05 -6.788679e-07 -5.305254e-08 -1.250148e-10 -2.096239e-04 -1.948199e-04 -2.589181e-05 -1.047854e-04
 6454.000000 -1.260514e-05 -6.838979e-07 -5.372641e-08 -1.280639e-10 -2.046461e-04 -1.990816e-04 -2.266958e-05 -9.684544e-05
 6459.000000 -1.272139e-05 -6.954087e-07 -5.491101e-08 -1.326187e-10 -2.067858e-04 -1.924333e-04 -3.237871e-05 -1.020292e-04
 6464.000000 -1.279225e-05 -7.051345e-07 -5.581993e-08 -1.366693e-10 -2.211010e-04 -1.934325e-04 -4.206936e-05 -1.064648e-04
 6469.000000 -1.282083e-05 -7.126740e-07 -5.659488e-08 -1.404040e-10 -2.256094e-04 -1.993069e-04 -3.829097e-05 -1.077385e-04
 6474.000000 -1.291866e-05 -7.235913e-07 -5.766806e-08 -1.428752e-10 -2.221251e-04 -1.945556e-04 -4.077841e-05 -1.065615e-04
 6479.000000 -1.300072e-05 -7.340268e-07 -5.875741e-08 -1.481018e-10 -2.285259e-04 -1.883097e-04 -4.364986e-05 -1.105966e-04
 6484.000000 -1.307528e-05 -7.440128e-07 -5.976704e-08 -1.469761e-10 -2.176295e-04 -1.839782e-04 -4.077038e-05 -9.596178e-05
 6489.000000 -1.315211e-05 -7.543465e-07 -6.081920e-08 -1.529314e-10 -2.186651e-04 -1.869757e-04 -4.172642e-05 -8.717918e-05
