# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.69488299485454
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 622-3 2nd 4_8 V (pos   1) 0005
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 102.6090022305
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:35:22
# Scan.end_time: 02/22/2022  15:35:48
# Scan.duration: 00:25
# Scan.transient_id: 197141
# Scan.uid: 7d70eec3-eeb9-4444-ac29-4050ead3420b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.932355e-05 -2.846342e-06 -1.739505e-07 -3.599634e-08 -1.231096e-04 -1.501078e-04 -3.469211e-05 -6.356197e-05
 8238.000000 -2.770928e-05 -4.094695e-06 -2.506557e-07 -5.172852e-08 -1.804569e-04 -2.110147e-04 -3.292594e-05 -9.903116e-05
 8243.000000 -2.783237e-05 -4.129729e-06 -2.530870e-07 -5.208667e-08 -1.764538e-04 -2.093757e-04 -3.360516e-05 -9.928860e-05
 8248.000000 -2.780525e-05 -4.144378e-06 -2.541116e-07 -5.214968e-08 -1.751521e-04 -2.231509e-04 -3.507619e-05 -1.142287e-04
 8253.000000 -2.781150e-05 -4.164553e-06 -2.553036e-07 -5.226726e-08 -1.692917e-04 -2.297355e-04 -2.771551e-05 -1.349869e-04
 8258.000000 -2.781276e-05 -4.184295e-06 -2.564581e-07 -5.237918e-08 -1.669197e-04 -2.232350e-04 -2.929476e-05 -1.366141e-04
 8263.000000 -2.790101e-05 -4.217404e-06 -2.585892e-07 -5.262876e-08 -1.703356e-04 -2.207346e-04 -2.945539e-05 -1.289779e-04
 8268.000000 -2.791019e-05 -4.238538e-06 -2.603926e-07 -5.276009e-08 -1.730111e-04 -2.179645e-04 -3.053451e-05 -1.267485e-04
 8273.000000 -2.789386e-05 -4.256569e-06 -2.623702e-07 -5.280357e-08 -1.780075e-04 -2.228616e-04 -4.301139e-05 -1.279778e-04
 8278.000000 -2.796739e-05 -4.285917e-06 -2.654520e-07 -5.306152e-08 -1.711761e-04 -2.199811e-04 -4.931630e-05 -1.197127e-04
 8283.000000 -2.788127e-05 -4.291764e-06 -2.672253e-07 -5.304873e-08 -1.721904e-04 -2.175866e-04 -5.252305e-05 -1.237271e-04
 8288.000000 -2.784444e-05 -4.304696e-06 -2.694339e-07 -5.311857e-08 -1.744880e-04 -2.163344e-04 -3.682132e-05 -1.253586e-04
 8293.000000 -2.805097e-05 -4.351806e-06 -2.737388e-07 -5.370832e-08 -1.810416e-04 -2.159307e-04 -4.322667e-05 -1.244423e-04
 8298.000000 -2.804641e-05 -4.367233e-06 -2.760395e-07 -5.394642e-08 -1.835376e-04 -2.076933e-04 -4.668052e-05 -1.288046e-04
 8303.000000 -2.791511e-05 -4.364618e-06 -2.773209e-07 -5.393088e-08 -1.853457e-04 -2.063018e-04 -4.150064e-05 -1.323171e-04
 8307.000000 -2.808414e-05 -4.402027e-06 -2.806818e-07 -5.449503e-08 -1.695636e-04 -2.007044e-04 -4.157037e-05 -1.308711e-04
 8310.000000 -2.809437e-05 -4.411779e-06 -2.818990e-07 -5.471890e-08 -1.701081e-04 -1.960396e-04 -4.001917e-05 -1.272351e-04
 8312.000000 -2.803221e-05 -4.407279e-06 -2.819659e-07 -5.474514e-08 -1.698003e-04 -1.992759e-04 -4.298254e-05 -1.322340e-04
 8313.000000 -2.805280e-05 -4.413164e-06 -2.825313e-07 -5.486442e-08 -1.700890e-04 -2.042203e-04 -4.204599e-05 -1.264379e-04
 8313.200000 -2.811378e-05 -4.422171e-06 -2.831354e-07 -5.501481e-08 -1.681250e-04 -2.038342e-04 -3.384260e-05 -1.301141e-04
 8313.400000 -2.800577e-05 -4.407286e-06 -2.822065e-07 -5.481520e-08 -1.712858e-04 -2.060137e-04 -3.188014e-05 -1.245691e-04
 8313.600000 -2.810445e-05 -4.422175e-06 -2.831548e-07 -5.499200e-08 -1.734453e-04 -2.091813e-04 -3.975430e-05 -1.310983e-04
 8313.800000 -2.813944e-05 -4.427692e-06 -2.834998e-07 -5.515683e-08 -1.734209e-04 -2.090767e-04 -3.061087e-05 -1.135002e-04
 8314.000000 -2.811830e-05 -4.425195e-06 -2.833308e-07 -5.516073e-08 -1.630975e-04 -2.081522e-04 -2.301378e-05 -1.157024e-04
 8314.200000 -2.811435e-05 -4.425317e-06 -2.835603e-07 -5.510334e-08 -1.636444e-04 -2.061113e-04 -3.631571e-05 -1.269498e-04
 8314.400000 -2.814200e-05 -4.429884e-06 -2.838974e-07 -5.518837e-08 -1.686883e-04 -2.109774e-04 -3.278535e-05 -1.223448e-04
 8314.600000 -2.811325e-05 -4.426285e-06 -2.837002e-07 -5.515797e-08 -1.660497e-04 -2.035539e-04 -4.112164e-05 -1.273970e-04
 8314.800000 -2.806336e-05 -4.419369e-06 -2.834033e-07 -5.510611e-08 -1.645197e-04 -2.021609e-04 -4.800365e-05 -1.191141e-04
 8315.000000 -2.807287e-05 -4.420893e-06 -2.834397e-07 -5.507203e-08 -1.615646e-04 -1.984686e-04 -4.902824e-05 -1.213774e-04
 8315.200000 -2.798589e-05 -4.408271e-06 -2.825380e-07 -5.494608e-08 -1.672763e-04 -2.028404e-04 -3.912407e-05 -1.198762e-04
 8315.400000 -2.793826e-05 -4.401225e-06 -2.822983e-07 -5.483472e-08 -1.762850e-04 -2.076594e-04 -3.288319e-05 -1.184774e-04
 8315.600000 -2.798400e-05 -4.408614e-06 -2.827020e-07 -5.501246e-08 -1.758784e-04 -2.103655e-04 -3.880347e-05 -1.219282e-04
 8315.800000 -2.800471e-05 -4.413049e-06 -2.832313e-07 -5.504438e-08 -1.853730e-04 -2.086051e-04 -3.867806e-05 -1.309995e-04
 8316.000000 -2.804158e-05 -4.419508e-06 -2.837382e-07 -5.508675e-08 -1.707268e-04 -1.996164e-04 -3.352728e-05 -1.258832e-04
 8316.200000 -2.809285e-05 -4.427521e-06 -2.842209e-07 -5.526336e-08 -1.686293e-04 -2.087673e-04 -4.572648e-05 -1.298364e-04
 8316.400000 -2.814163e-05 -4.434336e-06 -2.844759e-07 -5.535748e-08 -1.680770e-04 -2.145336e-04 -4.085616e-05 -9.027683e-05
 8316.600000 -2.806090e-05 -4.423906e-06 -2.840027e-07 -5.524076e-08 -1.756854e-04 -2.139502e-04 -4.768768e-05 -8.118728e-05
 8316.800000 -2.814388e-05 -4.435980e-06 -2.849946e-07 -5.544675e-08 -1.830096e-04 -2.223100e-04 -4.229383e-05 -7.713617e-05
 8317.000000 -2.811365e-05 -4.431419e-06 -2.846123e-07 -5.533202e-08 -1.793016e-04 -2.260252e-04 -3.876065e-05 -7.785129e-05
 8317.200000 -2.808743e-05 -4.428630e-06 -2.844215e-07 -5.531014e-08 -1.781332e-04 -2.206393e-04 -4.207924e-05 -8.250280e-05
 8317.400000 -2.804945e-05 -4.422935e-06 -2.842414e-07 -5.524389e-08 -1.854002e-04 -2.226360e-04 -2.984217e-05 -8.432323e-05
 8317.600000 -2.795106e-05 -4.409137e-06 -2.834133e-07 -5.510272e-08 -1.789381e-04 -2.188638e-04 -4.400628e-05 -9.367807e-05
 8317.800000 -2.794324e-05 -4.408189e-06 -2.834569e-07 -5.505781e-08 -1.791447e-04 -2.195009e-04 -4.471182e-05 -8.914808e-05
 8318.000000 -2.804733e-05 -4.424519e-06 -2.843821e-07 -5.535876e-08 -1.729053e-04 -2.200758e-04 -4.464145e-05 -8.455218e-05
 8318.200000 -2.811075e-05 -4.433786e-06 -2.848971e-07 -5.554414e-08 -1.732293e-04 -2.214564e-04 -4.485888e-05 -8.719892e-05
 8318.400000 -2.811643e-05 -4.434992e-06 -2.850225e-07 -5.558133e-08 -1.785256e-04 -2.254152e-04 -5.380824e-05 -8.383057e-05
 8318.600000 -2.808908e-05 -4.431404e-06 -2.850049e-07 -5.552170e-08 -1.704161e-04 -2.147924e-04 -5.375249e-05 -9.279743e-05
 8318.800000 -2.815941e-05 -4.442177e-06 -2.856143e-07 -5.564939e-08 -1.825105e-04 -2.111991e-04 -5.787488e-05 -9.558953e-05
 8319.000000 -2.813151e-05 -4.438066e-06 -2.855173e-07 -5.563453e-08 -1.899677e-04 -2.063216e-04 -4.803740e-05 -1.246757e-04
 8319.200000 -2.815078e-05 -4.441320e-06 -2.857459e-07 -5.572117e-08 -1.861753e-04 -2.142776e-04 -2.987265e-05 -1.202398e-04
