# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.2704092392821
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.8105456845
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:04:08
# Scan.end_time: 02/22/2022  16:04:34
# Scan.duration: 00:25
# Scan.transient_id: 197192
# Scan.uid: 6f114fee-5a4e-47e4-bd55-24a270d48d0a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.610212e-05 -2.103937e-06 -3.285245e-07 -6.670002e-09 -1.444250e-04 -1.157707e-04 -4.440435e-05 -1.059220e-04
 7614.000000 -2.384330e-05 -3.128688e-06 -4.893149e-07 -9.897146e-09 -2.144702e-04 -1.684152e-04 -6.556058e-05 -1.438068e-04
 7619.000000 -2.398393e-05 -3.167066e-06 -4.964299e-07 -9.997290e-09 -2.186294e-04 -1.690606e-04 -5.673545e-05 -1.441956e-04
 7624.000000 -2.398876e-05 -3.184240e-06 -5.002573e-07 -1.002304e-08 -2.290319e-04 -1.699744e-04 -4.812888e-05 -1.518519e-04
 7629.000000 -2.402851e-05 -3.204772e-06 -5.045488e-07 -1.006201e-08 -2.323229e-04 -1.705738e-04 -4.800201e-05 -1.450354e-04
 7634.000000 -2.407200e-05 -3.226330e-06 -5.088507e-07 -1.011169e-08 -2.244141e-04 -1.685811e-04 -5.130778e-05 -1.515338e-04
 7639.000000 -2.411005e-05 -3.246889e-06 -5.131242e-07 -1.014742e-08 -2.154203e-04 -1.708453e-04 -5.461529e-05 -1.554807e-04
 7644.000000 -2.412947e-05 -3.265635e-06 -5.171640e-07 -1.018988e-08 -2.177804e-04 -1.681690e-04 -6.376154e-05 -1.481597e-04
 7649.000000 -2.408203e-05 -3.274377e-06 -5.195647e-07 -1.020401e-08 -2.115095e-04 -1.668771e-04 -6.618666e-05 -1.485950e-04
 7654.000000 -2.414234e-05 -3.300083e-06 -5.245500e-07 -1.024952e-08 -2.142870e-04 -1.712089e-04 -6.523565e-05 -1.418127e-04
 7659.000000 -2.423368e-05 -3.328605e-06 -5.300117e-07 -1.032804e-08 -2.185687e-04 -1.680970e-04 -6.511057e-05 -1.444668e-04
 7664.000000 -2.430428e-05 -3.356082e-06 -5.352834e-07 -1.039151e-08 -2.163632e-04 -1.719547e-04 -5.650158e-05 -1.507606e-04
 7669.000000 -2.430131e-05 -3.371356e-06 -5.386703e-07 -1.041682e-08 -2.204616e-04 -1.789384e-04 -4.629751e-05 -1.480227e-04
 7674.000000 -2.435795e-05 -3.395508e-06 -5.432557e-07 -1.047070e-08 -2.192415e-04 -1.850833e-04 -3.817885e-05 -1.413452e-04
 7679.000000 -2.437633e-05 -3.414082e-06 -5.469132e-07 -1.052322e-08 -2.170530e-04 -1.961149e-04 -4.959104e-05 -1.374070e-04
 7683.000000 -2.438835e-05 -3.430048e-06 -5.500525e-07 -1.056536e-08 -2.123846e-04 -1.937813e-04 -5.183708e-05 -1.455411e-04
 7686.000000 -2.427892e-05 -3.420834e-06 -5.488725e-07 -1.053551e-08 -2.133429e-04 -1.907049e-04 -5.796683e-05 -1.485367e-04
 7688.000000 -2.435718e-05 -3.439530e-06 -5.518881e-07 -1.059256e-08 -2.065503e-04 -1.808581e-04 -5.513652e-05 -1.469823e-04
 7689.000000 -2.436577e-05 -3.444533e-06 -5.526948e-07 -1.059861e-08 -2.023749e-04 -1.894045e-04 -4.481278e-05 -1.391803e-04
 7689.200000 -2.435732e-05 -3.444701e-06 -5.528046e-07 -1.059903e-08 -1.998705e-04 -1.924767e-04 -3.962238e-05 -1.464386e-04
 7689.400000 -2.433652e-05 -3.441976e-06 -5.525703e-07 -1.057604e-08 -1.957793e-04 -1.823654e-04 -4.078444e-05 -1.419190e-04
 7689.600000 -2.435436e-05 -3.445469e-06 -5.530452e-07 -1.059306e-08 -2.033971e-04 -1.776717e-04 -4.715523e-05 -1.469526e-04
 7689.800000 -2.447767e-05 -3.465655e-06 -5.562162e-07 -1.065811e-08 -2.127054e-04 -1.870658e-04 -5.672639e-05 -1.542213e-04
 7690.000000 -2.446961e-05 -3.464405e-06 -5.558118e-07 -1.065785e-08 -2.058961e-04 -1.780593e-04 -5.135444e-05 -1.431094e-04
 7690.200000 -2.451860e-05 -3.473873e-06 -5.573661e-07 -1.067888e-08 -2.078498e-04 -1.766279e-04 -5.431665e-05 -1.475176e-04
 7690.400000 -2.448555e-05 -3.470028e-06 -5.568802e-07 -1.067656e-08 -2.031171e-04 -1.856273e-04 -4.932412e-05 -1.503061e-04
 7690.600000 -2.452439e-05 -3.477851e-06 -5.578110e-07 -1.069114e-08 -2.037566e-04 -1.847584e-04 -4.413709e-05 -1.446412e-04
 7690.800000 -2.446842e-05 -3.467794e-06 -5.562794e-07 -1.067431e-08 -2.061758e-04 -1.861577e-04 -5.071177e-05 -1.503515e-04
 7691.000000 -2.450456e-05 -3.475298e-06 -5.577095e-07 -1.069756e-08 -2.089412e-04 -1.857010e-04 -5.537879e-05 -1.501309e-04
 7691.200000 -2.443490e-05 -3.464683e-06 -5.558202e-07 -1.067102e-08 -2.071729e-04 -1.739261e-04 -5.724319e-05 -1.459375e-04
 7691.400000 -2.447166e-05 -3.470759e-06 -5.568246e-07 -1.067424e-08 -2.127783e-04 -1.757519e-04 -5.665808e-05 -1.479215e-04
 7691.600000 -2.450276e-05 -3.476828e-06 -5.578144e-07 -1.068397e-08 -2.169080e-04 -1.749089e-04 -5.629014e-05 -1.467896e-04
 7691.800000 -2.451196e-05 -3.479914e-06 -5.582973e-07 -1.071354e-08 -2.119464e-04 -1.733124e-04 -6.074366e-05 -1.484986e-04
 7692.000000 -2.453859e-05 -3.484563e-06 -5.589638e-07 -1.073153e-08 -2.043334e-04 -1.823724e-04 -6.189276e-05 -1.564664e-04
 7692.200000 -2.452207e-05 -3.482058e-06 -5.585914e-07 -1.070055e-08 -2.116136e-04 -1.834835e-04 -5.997238e-05 -1.637076e-04
 7692.400000 -2.455570e-05 -3.488606e-06 -5.596980e-07 -1.072976e-08 -2.090776e-04 -1.685189e-04 -4.757198e-05 -1.507051e-04
 7692.600000 -2.449025e-05 -3.478588e-06 -5.581926e-07 -1.068375e-08 -2.148624e-04 -1.695844e-04 -6.398194e-05 -1.536275e-04
 7692.800000 -2.450667e-05 -3.482125e-06 -5.587218e-07 -1.072006e-08 -2.066846e-04 -1.711128e-04 -6.283099e-05 -1.436489e-04
 7693.000000 -2.445177e-05 -3.472663e-06 -5.571788e-07 -1.067610e-08 -2.062938e-04 -1.787678e-04 -5.838132e-05 -1.452011e-04
 7693.200000 -2.448591e-05 -3.479224e-06 -5.581553e-07 -1.069912e-08 -2.098486e-04 -1.835517e-04 -5.448102e-05 -1.389426e-04
 7693.400000 -2.448112e-05 -3.479128e-06 -5.579609e-07 -1.070029e-08 -2.070057e-04 -1.842017e-04 -5.761580e-05 -1.425370e-04
 7693.600000 -2.451619e-05 -3.484848e-06 -5.588525e-07 -1.073479e-08 -2.123700e-04 -1.801182e-04 -5.169990e-05 -1.421555e-04
 7693.800000 -2.456475e-05 -3.493602e-06 -5.603186e-07 -1.075227e-08 -2.109457e-04 -1.908017e-04 -4.996069e-05 -1.371029e-04
 7694.000000 -2.454242e-05 -3.490513e-06 -5.597982e-07 -1.072010e-08 -2.137303e-04 -1.884026e-04 -5.243104e-05 -1.321370e-04
 7694.200000 -2.457238e-05 -3.496305e-06 -5.605645e-07 -1.075407e-08 -2.131509e-04 -1.911939e-04 -6.054419e-05 -1.364034e-04
 7694.400000 -2.460001e-05 -3.500881e-06 -5.613688e-07 -1.079559e-08 -2.169218e-04 -1.945589e-04 -4.721531e-05 -1.347682e-04
 7694.600000 -2.460684e-05 -3.502630e-06 -5.615319e-07 -1.075670e-08 -2.169102e-04 -1.903580e-04 -4.178664e-05 -1.344123e-04
 7694.800000 -2.461054e-05 -3.504505e-06 -5.615619e-07 -1.075821e-08 -2.115573e-04 -1.920143e-04 -4.122883e-05 -1.294420e-04
 7695.000000 -2.459130e-05 -3.501389e-06 -5.612961e-07 -1.073680e-08 -2.181837e-04 -1.923244e-04 -5.037513e-05 -1.406096e-04
