# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.24684442608657
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.81014514099999
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:21:06
# Scan.end_time: 02/22/2022  16:21:30
# Scan.duration: 00:23
# Scan.transient_id: 197222
# Scan.uid: 91ec7276-433b-49c8-a6f4-81bb163cecfa
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.284973e-06 -4.205688e-07 -3.266866e-08 -7.402597e-11 -1.327201e-04 -1.294963e-04 -3.720922e-05 -1.106029e-04
 6444.000000 -1.253388e-05 -6.408755e-07 -4.993748e-08 -1.133817e-10 -1.872639e-04 -2.014353e-04 -5.737504e-05 -1.705212e-04
 6449.000000 -1.263746e-05 -6.511516e-07 -5.094777e-08 -1.218080e-10 -1.915827e-04 -1.981721e-04 -5.331540e-05 -1.648257e-04
 6454.000000 -1.265194e-05 -6.574024e-07 -5.165911e-08 -1.217397e-10 -1.955837e-04 -1.949715e-04 -5.063184e-05 -1.659989e-04
 6459.000000 -1.274698e-05 -6.675850e-07 -5.264420e-08 -1.216917e-10 -1.994191e-04 -2.037715e-04 -3.040812e-05 -1.633558e-04
 6464.000000 -1.280502e-05 -6.752934e-07 -5.347567e-08 -1.284929e-10 -1.859911e-04 -2.101919e-04 -2.551073e-05 -1.698879e-04
 6469.000000 -1.284087e-05 -6.822932e-07 -5.419305e-08 -1.312287e-10 -1.838576e-04 -2.107069e-04 -2.176243e-05 -1.731805e-04
 6474.000000 -1.293884e-05 -6.934997e-07 -5.534748e-08 -1.334421e-10 -1.949600e-04 -2.048833e-04 -2.053283e-05 -1.650781e-04
 6479.000000 -1.300343e-05 -7.018077e-07 -5.620262e-08 -1.352861e-10 -1.957362e-04 -2.004377e-04 -1.655936e-05 -1.629307e-04
 6484.000000 -1.305381e-05 -7.106313e-07 -5.713548e-08 -1.417678e-10 -1.893587e-04 -1.988912e-04 -1.429713e-05 -1.645039e-04
 6489.000000 -1.312275e-05 -7.200408e-07 -5.811507e-08 -1.431935e-10 -1.897001e-04 -2.097825e-04 -1.368657e-05 -1.605196e-04
