# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.21563912936654
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.81079364
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:47:32
# Scan.end_time: 02/22/2022  15:47:54
# Scan.duration: 00:22
# Scan.transient_id: 197162
# Scan.uid: f401861e-ea2c-4879-8a79-6596baff283b
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.921417e-05 -3.449211e-06 -2.102821e-07 -2.407630e-08 -1.427749e-04 -1.393747e-04 -3.500834e-05 -8.005878e-05
 8238.000000 -2.751160e-05 -4.952517e-06 -3.024038e-07 -3.457821e-08 -2.030306e-04 -1.899237e-04 -5.528554e-05 -1.177407e-04
 8243.000000 -2.758426e-05 -4.986238e-06 -3.048962e-07 -3.475528e-08 -2.099007e-04 -1.820617e-04 -5.600037e-05 -1.183177e-04
 8248.000000 -2.763607e-05 -5.017994e-06 -3.070833e-07 -3.494016e-08 -2.203963e-04 -1.885535e-04 -5.177082e-05 -1.165536e-04
 8253.000000 -2.772919e-05 -5.058234e-06 -3.093941e-07 -3.514365e-08 -2.148813e-04 -1.986772e-04 -5.753171e-05 -1.076520e-04
 8258.000000 -2.769958e-05 -5.073652e-06 -3.101930e-07 -3.519499e-08 -2.047800e-04 -2.048311e-04 -5.459086e-05 -1.110302e-04
 8263.000000 -2.763294e-05 -5.080105e-06 -3.108605e-07 -3.518785e-08 -2.098840e-04 -2.092934e-04 -3.866123e-05 -1.157487e-04
 8268.000000 -2.756915e-05 -5.089495e-06 -3.122842e-07 -3.524993e-08 -2.087142e-04 -2.066878e-04 -4.928745e-05 -1.135728e-04
 8273.000000 -2.774842e-05 -5.148854e-06 -3.171106e-07 -3.557559e-08 -2.064387e-04 -2.071411e-04 -3.686543e-05 -1.121884e-04
 8278.000000 -2.776540e-05 -5.173021e-06 -3.200918e-07 -3.573078e-08 -2.084760e-04 -2.004894e-04 -3.485066e-05 -1.073647e-04
 8283.000000 -2.779618e-05 -5.198540e-06 -3.234099e-07 -3.591581e-08 -2.074143e-04 -1.967160e-04 -3.609747e-05 -1.138403e-04
