# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.853422478553
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.8092105395
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:04:42
# Scan.end_time: 02/22/2022  16:05:07
# Scan.duration: 00:24
# Scan.transient_id: 197193
# Scan.uid: 8103fdb9-641e-4c65-90f0-9fda42d9ba22
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.610861e-05 -2.106186e-06 -3.290201e-07 -6.682107e-09 -1.252967e-04 -1.294200e-04 -3.447197e-05 -9.217629e-05
 7614.000000 -2.378461e-05 -3.120853e-06 -4.882902e-07 -9.877913e-09 -1.769223e-04 -1.857024e-04 -5.574471e-05 -1.393507e-04
 7619.000000 -2.384248e-05 -3.143237e-06 -4.928346e-07 -9.930386e-09 -1.847881e-04 -1.773447e-04 -6.486810e-05 -1.368836e-04
 7624.000000 -2.396669e-05 -3.179648e-06 -4.996144e-07 -1.001302e-08 -1.895925e-04 -1.797355e-04 -6.775121e-05 -1.412206e-04
 7629.000000 -2.402959e-05 -3.204742e-06 -5.045452e-07 -1.007277e-08 -1.928779e-04 -1.781798e-04 -6.612748e-05 -1.416257e-04
 7634.000000 -2.406290e-05 -3.224233e-06 -5.085884e-07 -1.011914e-08 -1.928695e-04 -1.688897e-04 -5.716606e-05 -1.474865e-04
 7639.000000 -2.411021e-05 -3.246414e-06 -5.130416e-07 -1.016006e-08 -1.885871e-04 -1.764244e-04 -4.631070e-05 -1.456377e-04
 7644.000000 -2.410005e-05 -3.259596e-06 -5.161563e-07 -1.017359e-08 -1.887320e-04 -1.737192e-04 -4.316102e-05 -1.492401e-04
 7649.000000 -2.407296e-05 -3.271374e-06 -5.191358e-07 -1.019384e-08 -1.902739e-04 -1.795561e-04 -4.178376e-05 -1.465977e-04
 7654.000000 -2.413468e-05 -3.297732e-06 -5.242894e-07 -1.025574e-08 -1.833202e-04 -1.746832e-04 -5.061128e-05 -1.368553e-04
 7659.000000 -2.426122e-05 -3.331785e-06 -5.306048e-07 -1.033141e-08 -1.761904e-04 -1.813910e-04 -5.214952e-05 -1.429399e-04
 7664.000000 -2.430939e-05 -3.353177e-06 -5.349330e-07 -1.039009e-08 -1.837959e-04 -1.860816e-04 -5.818247e-05 -1.478384e-04
 7669.000000 -2.434868e-05 -3.374389e-06 -5.391451e-07 -1.044159e-08 -1.901920e-04 -1.877238e-04 -5.939806e-05 -1.512454e-04
 7674.000000 -2.439502e-05 -3.397663e-06 -5.436009e-07 -1.048965e-08 -1.958878e-04 -1.931395e-04 -5.547532e-05 -1.475547e-04
 7679.000000 -2.439690e-05 -3.411688e-06 -5.464730e-07 -1.052055e-08 -2.004498e-04 -1.881888e-04 -5.371453e-05 -1.501177e-04
 7683.000000 -2.445300e-05 -3.434632e-06 -5.506654e-07 -1.057861e-08 -1.985847e-04 -1.806100e-04 -6.547340e-05 -1.467553e-04
 7686.000000 -2.448155e-05 -3.450468e-06 -5.534999e-07 -1.062047e-08 -1.919771e-04 -1.804595e-04 -7.008283e-05 -1.505836e-04
 7688.000000 -2.447608e-05 -3.455028e-06 -5.543279e-07 -1.062721e-08 -1.934970e-04 -1.800761e-04 -7.243022e-05 -1.497791e-04
 7689.000000 -2.445891e-05 -3.454705e-06 -5.542963e-07 -1.063204e-08 -1.938887e-04 -1.860274e-04 -6.597582e-05 -1.482328e-04
 7689.200000 -2.445865e-05 -3.454543e-06 -5.542717e-07 -1.063736e-08 -2.006469e-04 -1.949180e-04 -6.137213e-05 -1.491009e-04
 7689.400000 -2.449249e-05 -3.461222e-06 -5.551978e-07 -1.063468e-08 -1.993562e-04 -2.019875e-04 -6.793009e-05 -1.448463e-04
 7689.600000 -2.444663e-05 -3.454115e-06 -5.542072e-07 -1.063095e-08 -1.879153e-04 -1.958366e-04 -6.689373e-05 -1.403044e-04
 7689.800000 -2.448637e-05 -3.461705e-06 -5.554224e-07 -1.066233e-08 -1.872776e-04 -1.993161e-04 -6.568271e-05 -1.548464e-04
 7690.000000 -2.450857e-05 -3.466002e-06 -5.560281e-07 -1.067992e-08 -1.933517e-04 -1.967392e-04 -6.917060e-05 -1.633643e-04
 7690.200000 -2.456170e-05 -3.475849e-06 -5.576699e-07 -1.070270e-08 -1.911444e-04 -1.932526e-04 -7.007472e-05 -1.567935e-04
 7690.400000 -2.455196e-05 -3.473568e-06 -5.573047e-07 -1.067383e-08 -1.902972e-04 -1.978711e-04 -5.906017e-05 -1.494598e-04
 7690.600000 -2.456690e-05 -3.477348e-06 -5.578131e-07 -1.069704e-08 -1.976029e-04 -1.988272e-04 -5.857390e-05 -1.440621e-04
 7690.800000 -2.449894e-05 -3.467393e-06 -5.562624e-07 -1.068355e-08 -1.955942e-04 -1.896377e-04 -6.600210e-05 -1.509079e-04
 7691.000000 -2.446119e-05 -3.462376e-06 -5.552303e-07 -1.068926e-08 -1.971074e-04 -1.866367e-04 -7.560699e-05 -1.512099e-04
 7691.200000 -2.448215e-05 -3.467005e-06 -5.561464e-07 -1.067294e-08 -1.923833e-04 -1.793657e-04 -7.010415e-05 -1.501916e-04
 7691.400000 -2.447947e-05 -3.466779e-06 -5.560592e-07 -1.068427e-08 -1.926946e-04 -1.858961e-04 -6.472681e-05 -1.437484e-04
 7691.600000 -2.441175e-05 -3.456967e-06 -5.546671e-07 -1.068561e-08 -1.967270e-04 -1.905720e-04 -7.364877e-05 -1.527077e-04
 7691.800000 -2.446579e-05 -3.465253e-06 -5.560231e-07 -1.068606e-08 -1.942929e-04 -1.889666e-04 -7.480603e-05 -1.580619e-04
 7692.000000 -2.447362e-05 -3.467487e-06 -5.563892e-07 -1.067297e-08 -1.952763e-04 -1.825821e-04 -7.227471e-05 -1.559565e-04
 7692.200000 -2.447457e-05 -3.470221e-06 -5.566999e-07 -1.069267e-08 -1.946204e-04 -1.789895e-04 -6.675639e-05 -1.637734e-04
 7692.400000 -2.438707e-05 -3.454635e-06 -5.541400e-07 -1.065011e-08 -2.003695e-04 -1.804718e-04 -6.889819e-05 -1.551664e-04
 7692.600000 -2.440121e-05 -3.457702e-06 -5.546631e-07 -1.064921e-08 -1.951559e-04 -1.863687e-04 -7.150578e-05 -1.614563e-04
 7692.800000 -2.436498e-05 -3.450593e-06 -5.535510e-07 -1.062333e-08 -1.994816e-04 -1.853204e-04 -7.338173e-05 -1.595691e-04
 7693.000000 -2.439520e-05 -3.456981e-06 -5.545614e-07 -1.066816e-08 -1.992768e-04 -1.842254e-04 -6.854783e-05 -1.592659e-04
 7693.200000 -2.444191e-05 -3.465889e-06 -5.559373e-07 -1.066955e-08 -1.983172e-04 -1.890531e-04 -6.337441e-05 -1.520597e-04
 7693.400000 -2.441876e-05 -3.464315e-06 -5.555661e-07 -1.067788e-08 -1.931182e-04 -1.925277e-04 -6.007022e-05 -1.579180e-04
 7693.600000 -2.442900e-05 -3.465122e-06 -5.558030e-07 -1.068963e-08 -1.889665e-04 -1.874034e-04 -6.392112e-05 -1.578353e-04
