# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.85827416042486
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809229613
# ISS.sample_y_position: 0.9669883029999999
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:21:39
# Scan.end_time: 02/22/2022  16:22:03
# Scan.duration: 00:24
# Scan.transient_id: 197223
# Scan.uid: e70e8cf4-7cc0-49f6-97cf-c9dd22759516
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.290287e-06 -4.201103e-07 -3.262270e-08 -7.540686e-11 -1.344107e-04 -1.200250e-04 -2.072078e-05 -7.993827e-05
 6444.000000 -1.257558e-05 -6.416587e-07 -5.001612e-08 -1.178555e-10 -2.112946e-04 -1.830769e-04 -4.161447e-05 -1.195139e-04
 6449.000000 -1.263560e-05 -6.505513e-07 -5.092271e-08 -1.222743e-10 -2.166347e-04 -1.866724e-04 -4.454041e-05 -1.176497e-04
 6454.000000 -1.263248e-05 -6.550470e-07 -5.149144e-08 -1.225742e-10 -2.145075e-04 -1.849401e-04 -4.666216e-05 -1.220055e-04
 6459.000000 -1.274409e-05 -6.656338e-07 -5.248245e-08 -1.244658e-10 -2.128167e-04 -1.887198e-04 -4.596503e-05 -1.255656e-04
 6464.000000 -1.282213e-05 -6.750288e-07 -5.346148e-08 -1.328157e-10 -2.146916e-04 -1.908935e-04 -4.990945e-05 -1.248238e-04
 6469.000000 -1.285471e-05 -6.815461e-07 -5.418908e-08 -1.295195e-10 -2.153249e-04 -1.835365e-04 -5.610421e-05 -1.215688e-04
 6474.000000 -1.293075e-05 -6.912527e-07 -5.516594e-08 -1.326461e-10 -2.228446e-04 -1.931165e-04 -4.482032e-05 -1.237709e-04
 6479.000000 -1.301074e-05 -7.017780e-07 -5.619460e-08 -1.406356e-10 -2.204223e-04 -1.909192e-04 -4.033265e-05 -1.094653e-04
 6484.000000 -1.308064e-05 -7.107984e-07 -5.710666e-08 -1.415784e-10 -2.147421e-04 -1.886561e-04 -3.978500e-05 -1.164689e-04
 6489.000000 -1.316316e-05 -7.208833e-07 -5.811935e-08 -1.463021e-10 -2.116083e-04 -1.805793e-04 -3.459971e-05 -1.207083e-04
 6494.000000 -1.322072e-05 -7.287594e-07 -5.896339e-08 -1.506842e-10 -2.169638e-04 -1.741924e-04 -4.413555e-05 -1.149902e-04
 6499.000000 -1.329085e-05 -7.378944e-07 -5.996913e-08 -1.569818e-10 -2.179343e-04 -1.819710e-04 -4.171474e-05 -1.205809e-04
 6504.000000 -1.334319e-05 -7.465410e-07 -6.091409e-08 -1.605963e-10 -2.080176e-04 -1.908011e-04 -3.928357e-05 -1.252397e-04
 6509.000000 -1.333787e-05 -7.537216e-07 -6.176955e-08 -1.635401e-10 -2.048957e-04 -1.877594e-04 -3.383139e-05 -1.202063e-04
 6513.000000 -1.329704e-05 -7.567439e-07 -6.221218e-08 -1.677245e-10 -2.150381e-04 -1.935573e-04 -2.590585e-05 -1.132500e-04
 6516.000000 -1.340873e-05 -7.670845e-07 -6.326204e-08 -1.705582e-10 -2.175337e-04 -1.902528e-04 -2.933653e-05 -1.126764e-04
 6518.000000 -1.341871e-05 -7.704975e-07 -6.366787e-08 -1.762858e-10 -2.070707e-04 -1.944470e-04 -3.440737e-05 -1.094107e-04
 6519.000000 -1.342999e-05 -7.720509e-07 -6.380905e-08 -1.725278e-10 -2.066162e-04 -1.898628e-04 -3.706799e-05 -1.025659e-04
 6519.200000 -1.343705e-05 -7.727889e-07 -6.380815e-08 -1.676943e-10 -2.083947e-04 -1.912794e-04 -3.567616e-05 -9.826441e-05
 6519.400000 -1.344076e-05 -7.722262e-07 -6.378062e-08 -1.703099e-10 -2.038378e-04 -1.901363e-04 -5.281519e-05 -1.022902e-04
 6519.600000 -1.343483e-05 -7.711858e-07 -6.380949e-08 -1.841014e-10 -1.972982e-04 -1.941230e-04 -4.598705e-05 -1.050171e-04
 6519.800000 -1.341744e-05 -7.705424e-07 -6.377001e-08 -1.841636e-10 -1.962423e-04 -1.890502e-04 -3.944663e-05 -1.050379e-04
 6520.000000 -1.343395e-05 -7.724561e-07 -6.402235e-08 -1.773792e-10 -1.949299e-04 -1.948979e-04 -3.286405e-05 -1.036287e-04
 6520.200000 -1.343210e-05 -7.722732e-07 -6.391132e-08 -1.668108e-10 -1.939801e-04 -1.967859e-04 -2.286373e-05 -1.021113e-04
 6520.400000 -1.346607e-05 -7.749031e-07 -6.414448e-08 -1.856845e-10 -1.920298e-04 -1.971406e-04 -2.940090e-05 -1.075146e-04
 6520.600000 -1.345499e-05 -7.741543e-07 -6.422478e-08 -1.782181e-10 -1.983928e-04 -1.974969e-04 -2.899440e-05 -1.174994e-04
 6520.800000 -1.346422e-05 -7.757423e-07 -6.423791e-08 -1.667273e-10 -1.990528e-04 -1.908665e-04 -3.631869e-05 -1.220203e-04
 6521.000000 -1.345820e-05 -7.750370e-07 -6.409715e-08 -1.769924e-10 -2.076980e-04 -1.858873e-04 -3.387083e-05 -1.232787e-04
 6521.200000 -1.345767e-05 -7.759067e-07 -6.429807e-08 -1.819701e-10 -2.140643e-04 -1.875238e-04 -3.421440e-05 -1.165194e-04
 6521.400000 -1.346290e-05 -7.755391e-07 -6.425774e-08 -1.700182e-10 -2.079804e-04 -2.009718e-04 -2.890774e-05 -1.117652e-04
 6521.600000 -1.346240e-05 -7.763295e-07 -6.431618e-08 -1.728369e-10 -1.932011e-04 -1.894106e-04 -3.772192e-05 -1.088919e-04
 6521.800000 -1.346431e-05 -7.769872e-07 -6.429347e-08 -1.758391e-10 -1.898498e-04 -1.841958e-04 -4.159399e-05 -1.064186e-04
 6522.000000 -1.344523e-05 -7.749297e-07 -6.423676e-08 -1.852952e-10 -1.994701e-04 -1.767970e-04 -4.534749e-05 -1.141298e-04
 6522.200000 -1.345729e-05 -7.773262e-07 -6.446775e-08 -1.801555e-10 -2.027060e-04 -1.825239e-04 -3.534240e-05 -9.710190e-05
 6522.400000 -1.346516e-05 -7.767240e-07 -6.444528e-08 -1.822992e-10 -1.972081e-04 -1.813742e-04 -2.972316e-05 -9.794387e-05
 6522.600000 -1.347253e-05 -7.783092e-07 -6.457311e-08 -1.812955e-10 -1.963624e-04 -1.879791e-04 -2.027158e-05 -1.058886e-04
 6522.800000 -1.346861e-05 -7.780442e-07 -6.457439e-08 -1.781215e-10 -1.962763e-04 -1.934697e-04 -2.353294e-05 -1.194507e-04
 6523.000000 -1.347031e-05 -7.784429e-07 -6.464033e-08 -1.765462e-10 -1.906391e-04 -1.881777e-04 -2.954179e-05 -1.202432e-04
 6523.200000 -1.346821e-05 -7.784045e-07 -6.459953e-08 -1.843196e-10 -1.913465e-04 -1.922454e-04 -3.293707e-05 -1.257072e-04
 6523.400000 -1.346846e-05 -7.801494e-07 -6.468156e-08 -1.908441e-10 -1.913846e-04 -1.937036e-04 -4.331134e-05 -1.309061e-04
 6523.600000 -1.346440e-05 -7.788860e-07 -6.462794e-08 -1.866752e-10 -1.902686e-04 -2.012463e-04 -3.952999e-05 -1.300001e-04
 6523.800000 -1.347097e-05 -7.800690e-07 -6.478485e-08 -1.814846e-10 -1.896961e-04 -2.025668e-04 -1.761972e-05 -1.230864e-04
 6524.000000 -1.343804e-05 -7.778818e-07 -6.454862e-08 -1.841902e-10 -1.948937e-04 -2.052061e-04 -2.698838e-05 -1.222867e-04
 6524.200000 -1.345286e-05 -7.792033e-07 -6.469211e-08 -1.823975e-10 -1.955633e-04 -2.007063e-04 -2.655299e-05 -1.195192e-04
 6524.400000 -1.346174e-05 -7.792483e-07 -6.470969e-08 -1.761740e-10 -2.001806e-04 -2.017810e-04 -2.210432e-05 -1.229316e-04
 6524.600000 -1.346380e-05 -7.804949e-07 -6.486874e-08 -1.887274e-10 -1.948589e-04 -2.054157e-04 -2.126573e-05 -1.205124e-04
 6524.800000 -1.346421e-05 -7.807505e-07 -6.496018e-08 -1.784610e-10 -1.875340e-04 -2.066549e-04 -2.435361e-05 -1.158242e-04
 6525.000000 -1.347178e-05 -7.813893e-07 -6.495579e-08 -1.825058e-10 -1.963596e-04 -2.048993e-04 -2.553779e-05 -1.188840e-04
 6525.200000 -1.347049e-05 -7.810403e-07 -6.495223e-08 -1.843773e-10 -2.019661e-04 -2.047070e-04 -2.519002e-05 -1.183346e-04
 6525.400000 -1.346827e-05 -7.806640e-07 -6.493036e-08 -1.772987e-10 -1.978102e-04 -1.937447e-04 -3.305453e-05 -1.208676e-04
 6525.600000 -1.346815e-05 -7.814185e-07 -6.500837e-08 -1.822793e-10 -2.013559e-04 -1.987277e-04 -4.089299e-05 -1.256999e-04
 6525.800000 -1.347690e-05 -7.808287e-07 -6.501049e-08 -1.703611e-10 -1.963718e-04 -1.898269e-04 -3.671420e-05 -1.340871e-04
 6526.000000 -1.347393e-05 -7.802619e-07 -6.490654e-08 -1.836380e-10 -1.895263e-04 -1.873392e-04 -4.581311e-05 -1.373594e-04
 6526.200000 -1.349028e-05 -7.827952e-07 -6.511322e-08 -1.930818e-10 -1.930087e-04 -1.965498e-04 -3.274478e-05 -1.322882e-04
 6526.400000 -1.349203e-05 -7.837177e-07 -6.519841e-08 -1.793203e-10 -1.969395e-04 -1.910016e-04 -3.765632e-05 -1.236317e-04
 6526.600000 -1.349061e-05 -7.836802e-07 -6.527278e-08 -1.813390e-10 -2.043510e-04 -1.943603e-04 -3.238621e-05 -1.238396e-04
 6526.800000 -1.349554e-05 -7.842494e-07 -6.531533e-08 -1.828452e-10 -2.038261e-04 -1.909126e-04 -3.088302e-05 -1.288547e-04
 6527.000000 -1.349250e-05 -7.850763e-07 -6.542139e-08 -1.853395e-10 -1.914506e-04 -1.789547e-04 -2.870225e-05 -1.328793e-04
 6527.200000 -1.349850e-05 -7.846759e-07 -6.530003e-08 -1.875505e-10 -1.951359e-04 -1.829341e-04 -4.551478e-05 -1.324891e-04
 6527.400000 -1.350993e-05 -7.851852e-07 -6.541252e-08 -1.891178e-10 -1.972394e-04 -1.817715e-04 -4.822163e-05 -1.338663e-04
 6527.600000 -1.350121e-05 -7.849123e-07 -6.529907e-08 -1.828286e-10 -1.947789e-04 -1.852739e-04 -4.418041e-05 -1.274150e-04
 6527.800000 -1.348178e-05 -7.835778e-07 -6.525196e-08 -1.836884e-10 -1.908160e-04 -1.807426e-04 -3.488215e-05 -1.164630e-04
 6528.000000 -1.347081e-05 -7.822159e-07 -6.512499e-08 -1.937672e-10 -2.013284e-04 -1.826005e-04 -4.600804e-05 -1.222807e-04
 6528.200000 -1.345411e-05 -7.812129e-07 -6.499344e-08 -1.863610e-10 -2.114311e-04 -1.872548e-04 -4.933870e-05 -1.350149e-04
 6528.400000 -1.341304e-05 -7.770517e-07 -6.474268e-08 -1.900627e-10 -2.049517e-04 -1.885356e-04 -4.240475e-05 -1.314489e-04
 6528.600000 -1.342410e-05 -7.788079e-07 -6.494984e-08 -1.887862e-10 -2.028204e-04 -1.881021e-04 -3.387378e-05 -1.264757e-04
 6528.800000 -1.342929e-05 -7.801497e-07 -6.508615e-08 -1.864129e-10 -1.927858e-04 -1.857844e-04 -4.041019e-05 -1.307890e-04
 6529.000000 -1.345097e-05 -7.814260e-07 -6.510325e-08 -1.925488e-10 -1.965720e-04 -1.882867e-04 -3.457851e-05 -1.258669e-04
 6529.200000 -1.348715e-05 -7.832350e-07 -6.536023e-08 -1.895890e-10 -1.959166e-04 -1.915816e-04 -5.131221e-05 -1.285739e-04
 6529.400000 -1.348639e-05 -7.848686e-07 -6.537059e-08 -1.985563e-10 -1.990267e-04 -1.914946e-04 -4.495009e-05 -1.288983e-04
 6529.600000 -1.349004e-05 -7.863087e-07 -6.551946e-08 -1.957276e-10 -2.066977e-04 -1.909199e-04 -4.229199e-05 -1.347523e-04
 6529.800000 -1.348554e-05 -7.867678e-07 -6.555134e-08 -1.940304e-10 -2.056616e-04 -1.829868e-04 -4.279213e-05 -1.342802e-04
 6530.000000 -1.349534e-05 -7.875936e-07 -6.568259e-08 -1.851154e-10 -2.029941e-04 -1.866189e-04 -4.441626e-05 -1.312868e-04
 6530.200000 -1.347037e-05 -7.854290e-07 -6.561902e-08 -1.958089e-10 -2.014260e-04 -1.953680e-04 -4.512325e-05 -1.213061e-04
 6530.400000 -1.347203e-05 -7.851237e-07 -6.559507e-08 -1.988988e-10 -2.030379e-04 -1.942866e-04 -5.222662e-05 -1.265191e-04
 6530.600000 -1.346574e-05 -7.862250e-07 -6.568636e-08 -2.020726e-10 -2.043754e-04 -1.880888e-04 -4.276194e-05 -1.262063e-04
 6530.800000 -1.345496e-05 -7.866250e-07 -6.572226e-08 -1.939196e-10 -2.052757e-04 -1.906459e-04 -4.017055e-05 -1.306856e-04
 6531.000000 -1.344999e-05 -7.863219e-07 -6.577691e-08 -1.906965e-10 -2.041318e-04 -1.975871e-04 -3.338249e-05 -1.355507e-04
 6531.200000 -1.346914e-05 -7.883856e-07 -6.580362e-08 -1.861624e-10 -2.183456e-04 -1.909160e-04 -3.735636e-05 -1.313371e-04
