# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.8134551536967
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0002
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809305907
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:48:02
# Scan.end_time: 02/22/2022  15:48:28
# Scan.duration: 00:25
# Scan.transient_id: 197163
# Scan.uid: 429bf2e7-5b41-4fcc-b392-f3f0c4598ae2
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.918127e-05 -3.439880e-06 -2.097481e-07 -2.402307e-08 -1.422808e-04 -1.283216e-04 -2.283066e-05 -8.488684e-05
 8238.000000 -2.759054e-05 -4.965338e-06 -3.032078e-07 -3.464658e-08 -2.099825e-04 -1.803006e-04 -3.485625e-05 -1.172602e-04
 8243.000000 -2.768028e-05 -5.000935e-06 -3.056857e-07 -3.486741e-08 -2.116976e-04 -1.828016e-04 -3.034903e-05 -1.149693e-04
 8248.000000 -2.773015e-05 -5.030592e-06 -3.076068e-07 -3.503880e-08 -1.974019e-04 -1.832794e-04 -3.031849e-05 -1.161480e-04
 8253.000000 -2.773963e-05 -5.053599e-06 -3.090242e-07 -3.512594e-08 -1.882635e-04 -1.753173e-04 -4.255481e-05 -1.261641e-04
 8258.000000 -2.758443e-05 -5.043853e-06 -3.084734e-07 -3.501206e-08 -1.900201e-04 -1.793981e-04 -4.085124e-05 -1.237650e-04
 8263.000000 -2.761465e-05 -5.070835e-06 -3.103390e-07 -3.515278e-08 -1.971066e-04 -1.752005e-04 -2.918164e-05 -1.167030e-04
 8268.000000 -2.769628e-05 -5.109418e-06 -3.134136e-07 -3.536942e-08 -1.941406e-04 -1.763368e-04 -3.272060e-05 -1.280005e-04
 8273.000000 -2.776556e-05 -5.145576e-06 -3.167942e-07 -3.556652e-08 -1.921280e-04 -1.801469e-04 -3.252591e-05 -1.234751e-04
 8278.000000 -2.773320e-05 -5.158195e-06 -3.190775e-07 -3.563371e-08 -1.915234e-04 -1.811427e-04 -2.929421e-05 -1.245967e-04
 8283.000000 -2.768072e-05 -5.165483e-06 -3.212131e-07 -3.570155e-08 -1.952570e-04 -1.839502e-04 -1.973217e-05 -1.282588e-04
 8288.000000 -2.775027e-05 -5.198040e-06 -3.249599e-07 -3.596484e-08 -1.961580e-04 -1.879131e-04 -1.953204e-05 -1.201214e-04
 8293.000000 -2.775233e-05 -5.215276e-06 -3.277216e-07 -3.616124e-08 -1.962874e-04 -1.878308e-04 -3.258458e-05 -1.224713e-04
 8298.000000 -2.783563e-05 -5.251617e-06 -3.317747e-07 -3.649539e-08 -1.952872e-04 -1.887707e-04 -3.292327e-05 -1.169883e-04
 8303.000000 -2.785548e-05 -5.273212e-06 -3.349010e-07 -3.679677e-08 -1.889317e-04 -1.943604e-04 -2.827885e-05 -1.140091e-04
 8307.000000 -2.777371e-05 -5.268563e-06 -3.358936e-07 -3.697120e-08 -1.921292e-04 -1.856860e-04 -2.861703e-05 -1.187563e-04
 8310.000000 -2.784152e-05 -5.292648e-06 -3.382955e-07 -3.729343e-08 -1.905553e-04 -1.732695e-04 -2.885827e-05 -1.136497e-04
 8312.000000 -2.788541e-05 -5.306613e-06 -3.396500e-07 -3.751134e-08 -1.871720e-04 -1.768590e-04 -2.732799e-05 -1.147790e-04
 8313.000000 -2.788077e-05 -5.307448e-06 -3.399862e-07 -3.761968e-08 -1.890360e-04 -1.780555e-04 -3.236939e-05 -1.137941e-04
 8313.200000 -2.785966e-05 -5.303133e-06 -3.397785e-07 -3.764035e-08 -1.892603e-04 -1.767031e-04 -3.548758e-05 -1.198319e-04
 8313.400000 -2.786732e-05 -5.305070e-06 -3.398982e-07 -3.767899e-08 -1.864146e-04 -1.796715e-04 -2.646619e-05 -1.212736e-04
 8313.600000 -2.778512e-05 -5.288870e-06 -3.389851e-07 -3.761559e-08 -1.881146e-04 -1.765339e-04 -2.329410e-05 -1.212309e-04
 8313.800000 -2.784024e-05 -5.302162e-06 -3.399133e-07 -3.768462e-08 -1.896410e-04 -1.761461e-04 -2.259510e-05 -1.223077e-04
 8314.000000 -2.780202e-05 -5.292946e-06 -3.393323e-07 -3.762616e-08 -1.871443e-04 -1.799189e-04 -2.446550e-05 -1.111701e-04
 8314.200000 -2.785573e-05 -5.306442e-06 -3.402431e-07 -3.769668e-08 -1.872819e-04 -1.874490e-04 -2.469157e-05 -1.070085e-04
 8314.400000 -2.778642e-05 -5.288441e-06 -3.392072e-07 -3.759987e-08 -1.998317e-04 -1.839429e-04 -3.684479e-05 -1.223990e-04
 8314.600000 -2.787341e-05 -5.308966e-06 -3.405256e-07 -3.776638e-08 -1.991672e-04 -1.868590e-04 -1.832272e-05 -1.134312e-04
 8314.800000 -2.792671e-05 -5.320741e-06 -3.413437e-07 -3.784915e-08 -1.959777e-04 -1.914172e-04 -2.193485e-05 -1.238550e-04
 8315.000000 -2.796246e-05 -5.327978e-06 -3.418850e-07 -3.792832e-08 -1.942008e-04 -1.961332e-04 -2.637379e-05 -1.235754e-04
 8315.200000 -2.795851e-05 -5.327572e-06 -3.418651e-07 -3.795508e-08 -1.968552e-04 -1.889310e-04 -3.550469e-05 -1.264111e-04
 8315.400000 -2.795297e-05 -5.328230e-06 -3.418484e-07 -3.798095e-08 -1.919972e-04 -1.816233e-04 -3.568382e-05 -1.121746e-04
 8315.600000 -2.795933e-05 -5.328383e-06 -3.419881e-07 -3.802664e-08 -1.880243e-04 -1.885264e-04 -3.767010e-05 -1.111361e-04
 8315.800000 -2.790515e-05 -5.316643e-06 -3.412769e-07 -3.795201e-08 -1.882189e-04 -1.896578e-04 -3.299319e-05 -9.901401e-05
 8316.000000 -2.791834e-05 -5.319633e-06 -3.415279e-07 -3.795559e-08 -1.889414e-04 -2.014310e-04 -2.693602e-05 -9.968725e-05
 8316.200000 -2.780521e-05 -5.296442e-06 -3.400844e-07 -3.782680e-08 -1.900557e-04 -1.978548e-04 -2.331911e-05 -1.000708e-04
 8316.400000 -2.780821e-05 -5.296965e-06 -3.402469e-07 -3.787358e-08 -1.888227e-04 -1.834699e-04 -4.093345e-05 -1.126799e-04
 8316.600000 -2.776551e-05 -5.286914e-06 -3.396273e-07 -3.785060e-08 -1.912696e-04 -1.819998e-04 -4.935205e-05 -1.102459e-04
 8316.800000 -2.775624e-05 -5.285576e-06 -3.395376e-07 -3.787653e-08 -1.913107e-04 -1.833788e-04 -5.917485e-05 -1.132571e-04
 8317.000000 -2.779920e-05 -5.296193e-06 -3.402155e-07 -3.796611e-08 -1.930237e-04 -1.764666e-04 -5.545228e-05 -1.182168e-04
 8317.200000 -2.771612e-05 -5.277766e-06 -3.392452e-07 -3.792282e-08 -1.980128e-04 -1.804597e-04 -4.176650e-05 -1.086265e-04
 8317.400000 -2.787923e-05 -5.312864e-06 -3.413766e-07 -3.806936e-08 -2.064864e-04 -1.827195e-04 -4.563594e-05 -1.127006e-04
 8317.600000 -2.782793e-05 -5.302049e-06 -3.407690e-07 -3.805212e-08 -2.129844e-04 -1.785953e-04 -4.621887e-05 -1.182000e-04
 8317.800000 -2.784453e-05 -5.307253e-06 -3.411734e-07 -3.809951e-08 -2.155535e-04 -1.797360e-04 -4.095892e-05 -1.230916e-04
