# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Co
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4766619508544
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 7709.0
# Scan.start_time: 02/22/2022  16:05:15
# Scan.end_time: 02/22/2022  16:05:41
# Scan.duration: 00:26
# Scan.transient_id: 197194
# Scan.uid: c6abb418-f95d-4a88-9e9b-47c75710f825
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 7609.000000 -1.609526e-05 -2.099414e-06 -3.280349e-07 -6.668870e-09 -1.446293e-04 -1.128163e-04 -3.214782e-05 -9.121934e-05
 7614.000000 -2.385543e-05 -3.125851e-06 -4.892643e-07 -9.904329e-09 -2.169790e-04 -1.682560e-04 -5.264031e-05 -1.544603e-04
 7619.000000 -2.399741e-05 -3.160805e-06 -4.956966e-07 -1.000695e-08 -2.172995e-04 -1.675189e-04 -4.773396e-05 -1.548738e-04
 7624.000000 -2.402826e-05 -3.179917e-06 -4.997013e-07 -1.004496e-08 -2.146472e-04 -1.789544e-04 -4.710221e-05 -1.504760e-04
 7629.000000 -2.406622e-05 -3.202259e-06 -5.042924e-07 -1.008188e-08 -2.145929e-04 -1.695418e-04 -5.269050e-05 -1.438855e-04
 7634.000000 -2.406861e-05 -3.220210e-06 -5.082187e-07 -1.010853e-08 -2.131269e-04 -1.712004e-04 -4.967532e-05 -1.434090e-04
 7639.000000 -2.408911e-05 -3.238348e-06 -5.120652e-07 -1.015336e-08 -2.242924e-04 -1.721065e-04 -4.594728e-05 -1.418002e-04
 7644.000000 -2.413721e-05 -3.260605e-06 -5.165573e-07 -1.020209e-08 -2.233512e-04 -1.675051e-04 -4.266859e-05 -1.424646e-04
 7649.000000 -2.417191e-05 -3.281152e-06 -5.207002e-07 -1.023408e-08 -2.173236e-04 -1.663523e-04 -4.938539e-05 -1.425165e-04
 7654.000000 -2.415836e-05 -3.294601e-06 -5.238825e-07 -1.025912e-08 -2.099992e-04 -1.735944e-04 -5.352266e-05 -1.426362e-04
 7659.000000 -2.429343e-05 -3.330140e-06 -5.304760e-07 -1.033766e-08 -2.149536e-04 -1.879616e-04 -5.750561e-05 -1.438086e-04
 7664.000000 -2.433544e-05 -3.352009e-06 -5.348842e-07 -1.039955e-08 -2.094868e-04 -1.836272e-04 -5.813102e-05 -1.411833e-04
 7669.000000 -2.436757e-05 -3.371988e-06 -5.388245e-07 -1.044397e-08 -1.929249e-04 -1.774521e-04 -4.703382e-05 -1.348444e-04
 7674.000000 -2.437604e-05 -3.388864e-06 -5.423674e-07 -1.048394e-08 -1.984201e-04 -1.805557e-04 -4.078957e-05 -1.289190e-04
 7679.000000 -2.440869e-05 -3.410020e-06 -5.465155e-07 -1.053152e-08 -1.992875e-04 -1.803258e-04 -4.808170e-05 -1.331189e-04
 7683.000000 -2.439101e-05 -3.420423e-06 -5.486783e-07 -1.055604e-08 -1.984745e-04 -1.667856e-04 -3.510887e-05 -1.424201e-04
 7686.000000 -2.446668e-05 -3.443438e-06 -5.525799e-07 -1.062137e-08 -1.959497e-04 -1.665482e-04 -4.472386e-05 -1.465659e-04
 7688.000000 -2.440045e-05 -3.441778e-06 -5.525361e-07 -1.061392e-08 -2.016276e-04 -1.719837e-04 -2.620836e-05 -1.390987e-04
 7689.000000 -2.437546e-05 -3.441580e-06 -5.526813e-07 -1.060093e-08 -1.903856e-04 -1.692877e-04 -1.750594e-05 -1.424306e-04
 7689.200000 -2.438044e-05 -3.443824e-06 -5.530835e-07 -1.059650e-08 -1.843359e-04 -1.661479e-04 -1.492364e-05 -1.442888e-04
 7689.400000 -2.444098e-05 -3.453353e-06 -5.546342e-07 -1.062228e-08 -1.967850e-04 -1.726992e-04 -1.918602e-05 -1.440996e-04
