# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Mn
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.51144947342476
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 6539.0
# Scan.start_time: 02/22/2022  16:22:12
# Scan.end_time: 02/22/2022  16:22:36
# Scan.duration: 00:24
# Scan.transient_id: 197224
# Scan.uid: 826d0930-8dc2-471a-b841-64bf06b092ca
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 6439.000000 -8.307819e-06 -4.221201e-07 -3.276977e-08 -7.489734e-11 -1.274731e-04 -1.379543e-04 -3.496663e-05 -8.016653e-05
 6444.000000 -1.260854e-05 -6.443854e-07 -5.017300e-08 -1.186683e-10 -1.913824e-04 -2.077787e-04 -6.116977e-05 -1.184321e-04
 6449.000000 -1.270102e-05 -6.551800e-07 -5.119235e-08 -1.216953e-10 -2.026221e-04 -2.139348e-04 -7.039190e-05 -1.227077e-04
 6454.000000 -1.270804e-05 -6.609720e-07 -5.184191e-08 -1.252951e-10 -1.956215e-04 -2.121716e-04 -6.474610e-05 -1.187114e-04
 6459.000000 -1.281674e-05 -6.713597e-07 -5.285585e-08 -1.260280e-10 -1.978334e-04 -2.036522e-04 -6.054854e-05 -1.162674e-04
 6464.000000 -1.288405e-05 -6.795552e-07 -5.378176e-08 -1.297945e-10 -2.008183e-04 -2.000785e-04 -5.257548e-05 -1.109455e-04
 6469.000000 -1.290151e-05 -6.867950e-07 -5.455366e-08 -1.294956e-10 -1.993254e-04 -2.057030e-04 -5.309386e-05 -1.075647e-04
 6474.000000 -1.298586e-05 -6.967092e-07 -5.553029e-08 -1.354400e-10 -2.000827e-04 -2.115080e-04 -5.362855e-05 -1.052055e-04
 6479.000000 -1.306699e-05 -7.061321e-07 -5.651356e-08 -1.391161e-10 -1.922493e-04 -2.135408e-04 -4.602391e-05 -9.994925e-05
 6484.000000 -1.313552e-05 -7.151458e-07 -5.746858e-08 -1.442707e-10 -1.959287e-04 -2.013936e-04 -4.612443e-05 -9.763177e-05
 6489.000000 -1.320842e-05 -7.249825e-07 -5.843344e-08 -1.432448e-10 -1.954218e-04 -2.049174e-04 -4.001262e-05 -9.929445e-05
 6494.000000 -1.324847e-05 -7.323635e-07 -5.927826e-08 -1.507699e-10 -2.019003e-04 -2.005442e-04 -4.179310e-05 -1.063557e-04
 6499.000000 -1.330775e-05 -7.407956e-07 -6.021120e-08 -1.531805e-10 -2.017888e-04 -2.031743e-04 -4.510340e-05 -1.071977e-04
 6504.000000 -1.336047e-05 -7.489105e-07 -6.110338e-08 -1.573499e-10 -2.050313e-04 -2.132456e-04 -4.521741e-05 -1.130246e-04
 6509.000000 -1.338772e-05 -7.569057e-07 -6.199731e-08 -1.622898e-10 -2.031687e-04 -2.158763e-04 -4.710749e-05 -1.195814e-04
 6513.000000 -1.336173e-05 -7.608480e-07 -6.250289e-08 -1.672668e-10 -2.043836e-04 -2.067006e-04 -5.618898e-05 -1.125097e-04
 6516.000000 -1.349450e-05 -7.714808e-07 -6.353017e-08 -1.731284e-10 -2.109813e-04 -2.100380e-04 -5.668042e-05 -1.206188e-04
 6518.000000 -1.351849e-05 -7.745287e-07 -6.390343e-08 -1.711663e-10 -2.101343e-04 -2.093822e-04 -5.321115e-05 -1.317580e-04
 6519.000000 -1.348370e-05 -7.743833e-07 -6.392435e-08 -1.699661e-10 -2.158911e-04 -2.077095e-04 -5.336895e-05 -1.284545e-04
 6519.200000 -1.346128e-05 -7.734482e-07 -6.381471e-08 -1.697855e-10 -2.227980e-04 -2.093379e-04 -5.147975e-05 -1.231593e-04
 6519.400000 -1.347051e-05 -7.741844e-07 -6.399635e-08 -1.746843e-10 -2.214463e-04 -2.080902e-04 -4.322849e-05 -1.208708e-04
 6519.600000 -1.347792e-05 -7.751611e-07 -6.411337e-08 -1.789793e-10 -2.230467e-04 -2.054667e-04 -5.323602e-05 -1.180115e-04
 6519.800000 -1.348138e-05 -7.757091e-07 -6.411787e-08 -1.788808e-10 -2.307537e-04 -2.037036e-04 -6.143023e-05 -1.188847e-04
 6520.000000 -1.347560e-05 -7.751765e-07 -6.409655e-08 -1.728769e-10 -2.252764e-04 -2.019495e-04 -6.356290e-05 -1.205338e-04
 6520.200000 -1.348298e-05 -7.776149e-07 -6.427797e-08 -1.684264e-10 -2.149822e-04 -1.997448e-04 -5.755230e-05 -1.172185e-04
 6520.400000 -1.348744e-05 -7.777262e-07 -6.431264e-08 -1.668513e-10 -2.137575e-04 -2.022320e-04 -5.068870e-05 -1.274752e-04
 6520.600000 -1.348554e-05 -7.773847e-07 -6.425883e-08 -1.686315e-10 -2.257964e-04 -2.028959e-04 -4.508876e-05 -1.303325e-04
 6520.800000 -1.348701e-05 -7.769249e-07 -6.425863e-08 -1.737149e-10 -2.259918e-04 -2.063621e-04 -5.031305e-05 -1.231104e-04
 6521.000000 -1.347933e-05 -7.775087e-07 -6.438971e-08 -1.763628e-10 -2.138542e-04 -2.099194e-04 -4.995568e-05 -1.120904e-04
 6521.200000 -1.347075e-05 -7.773644e-07 -6.430801e-08 -1.630438e-10 -2.174722e-04 -1.989299e-04 -4.552583e-05 -1.093825e-04
 6521.400000 -1.346593e-05 -7.771438e-07 -6.431096e-08 -1.646030e-10 -2.253001e-04 -1.862305e-04 -6.059572e-05 -1.144110e-04
 6521.600000 -1.346411e-05 -7.772263e-07 -6.431720e-08 -1.812469e-10 -2.279256e-04 -1.961304e-04 -5.460725e-05 -1.163975e-04
 6521.800000 -1.347481e-05 -7.786463e-07 -6.444803e-08 -1.799234e-10 -2.233299e-04 -2.067554e-04 -6.312494e-05 -1.128040e-04
 6522.000000 -1.346158e-05 -7.772064e-07 -6.442506e-08 -1.801628e-10 -2.197200e-04 -2.090617e-04 -5.715509e-05 -1.085283e-04
 6522.200000 -1.346810e-05 -7.779102e-07 -6.452843e-08 -1.848752e-10 -2.248964e-04 -2.113457e-04 -6.072560e-05 -1.263016e-04
 6522.400000 -1.346971e-05 -7.781082e-07 -6.433224e-08 -1.778172e-10 -2.173525e-04 -1.957471e-04 -5.344495e-05 -1.290442e-04
 6522.600000 -1.347391e-05 -7.796847e-07 -6.461092e-08 -1.859293e-10 -2.027644e-04 -1.947468e-04 -5.234708e-05 -1.126419e-04
 6522.800000 -1.347835e-05 -7.797236e-07 -6.471459e-08 -1.791278e-10 -2.063389e-04 -1.963878e-04 -6.112994e-05 -1.220575e-04
