# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 5
# Detector.I1_amp_gain: 5
# Detector.I2_amp_gain: 6
# Detector.IF_amp_gain: 7
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 399.4289696642656
# Facility.GUP: 300010
# Facility.SAF: 300000
# Facility.cycle: 2022-1
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: NMC 712-2 2nd 4_8 V (pos   1) 0003
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: 88.809000731
# ISS.sample_y_position: 0.9670073765
# Scan.experimenters: Eli Stavitski
# Scan.edge_energy: 8333.0
# Scan.start_time: 02/22/2022  15:48:36
# Scan.end_time: 02/22/2022  15:49:01
# Scan.duration: 00:24
# Scan.transient_id: 197164
# Scan.uid: b03a883f-33a8-4cf3-9a19-7335a9278e0a
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8233.000000 -1.917098e-05 -3.431906e-06 -2.092140e-07 -2.400375e-08 -1.384286e-04 -1.357392e-04 -3.001292e-05 -8.382744e-05
 8238.000000 -2.763736e-05 -4.966073e-06 -3.031720e-07 -3.469985e-08 -1.934883e-04 -1.888523e-04 -3.844461e-05 -1.220209e-04
 8243.000000 -2.767019e-05 -4.989859e-06 -3.050237e-07 -3.483594e-08 -1.939539e-04 -1.819767e-04 -2.685662e-05 -1.325901e-04
 8248.000000 -2.761840e-05 -4.998911e-06 -3.057057e-07 -3.487410e-08 -2.097438e-04 -1.823679e-04 -3.570169e-05 -1.346295e-04
 8253.000000 -2.773588e-05 -5.045075e-06 -3.085191e-07 -3.512199e-08 -2.139814e-04 -1.873042e-04 -4.158680e-05 -1.328655e-04
 8258.000000 -2.773681e-05 -5.067444e-06 -3.098565e-07 -3.522666e-08 -2.109803e-04 -1.840487e-04 -3.400497e-05 -1.287704e-04
 8263.000000 -2.774840e-05 -5.089540e-06 -3.113643e-07 -3.533064e-08 -2.096791e-04 -1.906020e-04 -3.331157e-05 -1.246923e-04
 8268.000000 -2.771727e-05 -5.103166e-06 -3.128127e-07 -3.538157e-08 -2.053832e-04 -1.922643e-04 -4.435016e-05 -1.297565e-04
 8273.000000 -2.774598e-05 -5.129684e-06 -3.155824e-07 -3.550833e-08 -1.996471e-04 -1.921741e-04 -4.353986e-05 -1.367045e-04
 8278.000000 -2.774663e-05 -5.149912e-06 -3.183955e-07 -3.560353e-08 -2.026352e-04 -1.955726e-04 -4.205165e-05 -1.382563e-04
 8283.000000 -2.768556e-05 -5.154855e-06 -3.204029e-07 -3.568205e-08 -1.999961e-04 -1.844230e-04 -4.034195e-05 -1.326532e-04
